,confirm,heal,dead
2020.01.28,57,3,0
2020.01.29,74,3,0
2020.01.30,98,6,0
2020.01.31,124,11,0
2020.02.01,139,11,0
2020.02.02,149,11,1
2020.02.03,154,12,1
2020.02.04,177,19,1
2020.02.05,201,21,1
2020.02.06,225,25,1
2020.02.07,273,27,1
2020.02.08,299,29,1
2020.02.09,313,30,1
2020.02.10,385,36,1
2020.02.11,397,44,1
2020.02.12,444,50,1
2020.02.13,505,56,2
2020.02.14,516,59,2
2020.02.15,601,61,3
2020.02.16,687,84,3
2020.02.17,800,88,3
2020.02.18,904,114,3
2020.02.19,1018,127,3
2020.02.20,1096,127,8
2020.02.21,1231,142,11
2020.02.22,1528,154,14
2020.02.23,1895,155,22
2020.02.24,2286,173,32
2020.02.25,2575,192,40
2020.02.26,3085,220,51
2020.02.27,3945,310,64
2020.02.28,4947,360,80
2020.02.29,6305,455,95
2020.03.01,7342,1020,112
2020.03.02,9628,558,152
2020.03.03,12047,895,184
2020.03.04,13897,909,236
2020.03.05,16234,1087,296
2020.03.06,19378,1556,365
2020.03.07,22903,1720,451
2020.03.08,26959,3208,561
2020.03.09,30814,3614,766
2020.03.10,35796,4212,977
2020.03.11,41212,5274,1232
2020.03.12,48724,5779,1577
2020.03.13,58493,6544,1944
2020.03.14,67414,7947,2354
2020.03.15,79559,9304,2765
2020.03.16,92093,10413,3452
2020.03.17,106167,11680,4276
2020.03.18,122946,13496,4988
2020.03.19,147281,15402,6078
2020.03.20,169551,17687,6952
2020.03.21,204426,21255,8697
2020.03.22,235356,23726,10399
2020.03.23,270475,26726,12134
2020.03.24,313748,29315,14007
2020.03.25,356275,35350,16408
2020.03.26,407822,41244,18883
2020.03.27,466847,50313,21854
2020.03.28,537359,59258,25313
2020.03.29,600269,67976,28748
2020.03.30,659449,78354,31891
2020.03.31,723899,96623,36231
2020.04.01,802883,109027,40894
2020.04.02,882341,126381,45906
2020.04.03,958134,144442,51798
2020.04.04,1057294,156928,57549
2020.04.05,1143525,175378,63219
2020.04.06,1206183,192982,67247
2020.04.07,1281747,214977,73164
2020.04.08,1366952,230959,80219
2020.04.09,1450303,262129,86562
2020.04.10,1538640,287342,93911
2020.04.11,1637683,311623,101442
2020.04.12,1716963,334654,107534
2020.04.13,1788161,363735,112738
2020.04.14,1858355,386814,118361
2020.04.15,1934291,423376,125503
2020.04.16,2017483,449794,136057
2020.04.17,2098707,478319,142129
2020.04.18,2190113,501814,151484
2020.04.19,2271717,527171,157414
2020.04.20,2339647,558142,161600
2020.04.21,2416345,581623,167154
2020.04.22,2509897,619876,175122
2020.04.23,2574719,645090,180838
2020.04.24,2659664,674433,188326
2020.04.25,2756365,724555,194610
2020.04.26,2835787,750508,199014
2020.04.27,2908094,797349,202861
2020.04.28,2980553,828425,207725
2020.04.29,3059873,870215,214035
2020.04.30,3141226,914534,224299
2020.05.01,3240690,970742,229405
2020.05.02,3339282,1013416,235846
2020.05.03,3395941,1040310,240056
2020.05.04,3506189,1086279,244463
2020.05.05,3588157,1130967,248699
2020.05.06,3668152,1172769,254633
2020.05.07,3763009,1232323,261231
2020.05.08,3860594,1274306,266936
2020.05.09,3958892,1319939,272601
2020.05.10,4044639,1385267,276389
2020.05.11,4127234,1424467,280027
2020.05.12,4205093,1461448,284025
2020.05.13,4289731,1538463,289710
2020.05.14,4379103,1594521,294595
2020.05.15,4477725,1642422,299924
2020.05.16,4573159,1692348,304919
2020.05.17,4663087,1746400,308971
2020.05.18,4746857,1790852,312564
2020.05.19,4836178,1844422,316075
2020.05.20,4929628,1898592,320847
2020.05.21,5032360,1959880,325876
2020.05.22,5132438,2015946,330426
2020.05.23,5253256,2130809,335858
2020.05.24,5345699,2190948,339536
2020.05.25,5448370,2239185,342515
2020.05.26,5531463,2309677,345818
2020.05.27,5627372,2375228,348566
2020.05.28,5733681,2441074,353362
2020.05.29,5854300,2521804,358194
2020.05.30,5972350,2599578,362738
2020.05.31,6108396,2677877,367080
2020.06.01,6210041,2782602,369797
2020.06.02,6315311,2844119,373408
2020.06.03,6386214,2876315,377359
2020.06.04,6556454,3007773,383951
2020.06.05,6689166,3090922,389459
2020.06.06,6833081,3240721,393287
2020.06.07,6966334,3326420,398169
2020.06.08,7072988,3382493,400713
2020.06.09,7178904,3543084,404574
2020.06.10,7280933,3616909,409109
2020.06.11,7436665,3729975,414928
2020.06.12,7577330,3808203,419872
2020.06.13,7715414,3910560,424022
2020.06.14,7847532,3998708,428110
2020.06.15,7973787,4072881,431565
2020.06.16,8098293,4186405,435252
2020.06.17,8236018,4267863,441942
2020.06.18,8416451,4395687,447283
2020.06.19,8552443,4484462,452333
2020.06.20,8729804,4592199,458305
2020.06.21,8855537,4707010,462541
2020.06.22,9018053,4779085,466425
2020.06.23,9163341,4884904,470281
2020.06.24,9327731,4999059,475748
2020.06.25,9509393,5126992,481084
2020.06.26,9689712,5226191,488158
2020.06.27,9878786,5336305,492901
2020.06.28,10060911,5447401,497424
2020.06.29,10224925,5538848,500543
2020.06.30,10380136,5639211,504770
2020.07.01,10558100,5774353,510215
2020.07.02,10777104,5917947,514990
2020.07.03,10956618,6162217,520057
2020.07.04,11167650,6323547,524022
2020.07.05,11356550,6447084,529572
2020.07.06,11536202,6569443,532970
2020.07.07,11710288,6706365,536826
2020.07.08,11926929,6874838,542988
2020.07.09,12137764,7047448,548158
2020.07.10,12365469,7199235,553588
2020.07.11,12590886,7355049,558782
2020.07.12,12811740,7490846,563685
2020.07.13,13005323,7626890,567636
2020.07.14,13202960,7781916,571700
2020.07.15,13431839,7964545,577667
2020.07.16,13659498,8144254,582893
2020.07.17,13915343,8305358,588911
2020.07.18,14162835,8526425,595344
2020.07.19,14392098,8671480,600786
2020.07.20,14614511,8826002,604802
2020.07.21,14822081,9005509,608952
2020.07.22,15059888,9193218,615410
2020.07.23,15345966,9422581,622524
2020.07.24,15628024,9619649,632539
2020.07.25,15858719,9880816,638611
2020.07.26,16168257,10052933,643338
2020.07.27,16379816,10204233,647651
2020.07.28,16609335,10402813,652322
2020.07.29,16868882,10610911,659436
2020.07.30,17085666,10772335,664600
2020.07.31,17420475,11030364,672305
2020.08.01,17712830,11234297,678732
2020.08.02,17990118,11472433,684635
2020.08.03,18202259,11629660,688611
2020.08.04,18415042,11859329,693405
2020.08.05,18674281,12107687,700004
2020.08.06,18944114,12334656,706774
2020.08.07,19228449,12553767,713397
2020.08.08,19508000,12744433,719659
2020.08.09,19771870,12935418,725332
2020.08.10,20001674,13125522,729661
2020.08.11,20224894,13404618,734868
2020.08.12,20493232,13642002,741874
2020.08.13,20770927,13897236,748337
2020.08.14,21057439,14079852,758413
2020.08.15,21345517,14338480,764711
2020.08.16,21589534,14526330,769619
2020.08.17,21811490,14766756,773977
2020.08.18,22011066,15000227,772964
2020.08.19,22271790,15238244,780086
2020.08.20,22546429,15485175,786856
2020.08.21,22801070,15701599,793106
2020.08.22,23088608,15901590,798948
2020.08.23,23339500,16110888,804212
2020.08.24,23552150,16311400,808200
2020.08.25,23772621,16550627,812682
2020.08.26,24023751,16788670,819169
2020.08.27,24302697,17040345,825511
2020.08.28,24591193,17258787,831244
2020.08.29,24874662,17466177,836989
2020.08.30,25134770,17708469,842406
2020.08.31,25339645,17889280,845845
2020.09.01,25601774,18107974,850410
2020.09.02,25878271,18385297,856999
2020.09.03,26143490,18623978,862872
2020.09.04,26445557,18841490,868912
2020.09.05,26764246,19094216,874688
2020.09.06,27022914,19372540,879455
2020.09.07,27253420,19539331,888605
2020.09.08,27455318,19773040,892615
