,confirm,heal,dead
01.13,41,0,1
01.14,41,0,1
01.15,41,5,2
01.16,45,8,2
01.17,62,12,2
01.18,198,17,3
01.19,275,18,4
01.20,291,25,6
01.21,440,25,9
01.22,574,25,17
01.23,835,34,25
01.24,1297,38,41
01.25,1985,49,56
01.26,2761,51,80
01.27,4535,60,106
01.28,5997,103,132
01.29,7736,124,170
01.30,9720,171,213
01.31,11821,243,259
02.01,14411,328,304
02.02,17238,475,361
02.03,20471,632,425
02.04,24363,892,491
02.05,28060,1153,564
02.06,31211,1542,637
02.07,34598,2052,723
02.08,37251,2651,812
02.09,40235,3283,909
02.10,42708,3998,1017
02.11,44730,4742,1114
02.12,59882,5915,1368
02.13,63932,6728,1381
02.14,66576,8101,1524
02.15,68584,9425,1666
02.16,70635,10853,1772
02.17,72528,12561,1870
02.18,74279,14387,2006
02.19,75002,16157,2121
02.20,75993,18266,2239
02.21,76392,20673,2348
02.22,77041,22907,2445
02.23,77262,24757,2595
02.24,77779,27353,2666
02.25,78190,29775,2718
02.26,78630,32531,2747
02.27,78959,36157,2791
02.28,79389,39049,2838
02.29,79968,41675,2873
03.01,80174,44518,2915
03.02,80302,47260,2946
03.03,80422,49914,2984
03.04,80565,52109,3015
03.05,80710,53793,3045
03.06,80813,55477,3073
03.07,80859,57143,3100
03.08,80904,58684,3123
03.09,80924,59982,3140
03.10,80955,61567,3162
03.11,80992,62887,3173
03.12,81003,64216,3180
03.13,81021,65649,3194
03.14,81048,67022,3204
03.15,81077,67863,3218
03.16,81116,68799,3231
03.17,81151,69725,3242
03.18,81235,70547,3250
03.19,81300,71284,3253
03.20,81416,71876,3261
03.21,81498,72382,3267
03.22,81600,72841,3276
03.23,81747,73299,3283
03.24,81846,73791,3287
03.25,81960,74196,3293
03.26,82078,74737,3298
03.27,82213,75122,3301
03.28,82341,75600,3306
03.29,82447,75937,3311
03.30,82545,76225,3314
03.31,82631,76415,3321
04.01,82724,76610,3327
04.02,82802,76785,3331
04.03,82861,76984,3335
