,confirm,heal,dead
2020.01.19,217,25,4
2020.01.20,291,25,6
2020.01.21,440,25,9
2020.01.22,571,28,17
2020.01.23,835,34,25
2020.01.24,1297,38,41
2020.01.25,1985,49,56
2020.01.26,2762,51,80
2020.01.27,4535,60,106
2020.01.28,5999,103,132
2020.01.29,7736,124,170
2020.01.30,9720,171,213
2020.01.31,11821,243,259
2020.02.01,14411,328,304
2020.02.02,17238,475,361
2020.02.03,20528,635,425
2020.02.04,24437,895,491
2020.02.05,28158,1159,564
2020.02.06,31335,1553,637
2020.02.07,34737,2063,723
2020.02.08,37400,2662,813
2020.02.09,40328,3295,910
2020.02.10,42818,4017,1018
2020.02.11,44857,4763,1115
2020.02.12,61146,5940,1369
2020.02.13,64205,6755,1382
2020.02.14,66875,8130,1525
2020.02.15,68897,9455,1667
2020.02.16,71020,10889,1773
2020.02.17,72925,12605,1871
2020.02.18,74723,14437,2007
2020.02.19,75606,16226,2123
2020.02.20,76509,18338,2241
2020.02.21,76993,20734,2351
2020.02.22,77728,22991,2448
2020.02.23,78062,24845,2598
2020.02.24,78683,27467,2669
2020.02.25,79208,29902,2721
2020.02.26,79726,32658,2755
2020.02.27,80190,36299,2802
2020.02.28,80917,39203,2852
2020.02.29,81863,41830,2895
2020.03.01,82460,44691,2947
2020.03.02,82877,47452,2986
2020.03.03,83507,50134,3035
2020.03.04,84510,52419,3079
2020.03.05,85657,54153,3125
2020.03.06,87118,55932,3168
2020.03.07,88201,58163,3212
2020.03.08,90532,59242,3275
2020.03.09,92971,60877,3324
2020.03.10,94852,62476,3398
2020.03.11,97214,63974,3469
2020.03.12,100381,65772,3545
2020.03.13,103924,67369,3645
2020.03.14,108007,70230,3765
2020.03.15,111891,71477,3984
2020.03.16,116912,73011,4208
2020.03.17,122363,74999,4474
2020.03.18,129959,76326,4827
2020.03.19,139793,77828,5197
2020.03.20,148830,79823,5615
2020.03.21,161057,81686,6032
2020.03.22,173693,83254,6728
2020.03.23,187914,84979,7559
2020.03.24,204793,87287,8275
2020.03.25,229241,89598,9371
2020.03.26,251629,92424,10250
2020.03.27,286639,96377,11998
2020.03.28,317697,99326,13705
2020.03.29,352922,102663,15445
2020.03.30,396293,105540,17321
2020.03.31,438906,111765,19729
2020.04.01,490546,117854,22210
2020.04.02,549649,127098,25185
2020.04.03,620234,136242,28648
2020.04.04,683199,145186,32086
2020.04.05,742454,155702,35231
2020.04.06,806970,174073,39571
2020.04.07,886040,186613,44236
2020.04.08,965590,204092,49250
2020.04.09,1041439,222280,55143
2020.04.10,1140663,234863,60898
2020.04.11,1227007,253398,66568
