,confirm,heal,dead,confirm_add
02.19,2,0,0,0
02.20,5,0,2,2
02.21,18,0,4,3
02.22,28,0,4,13
02.23,43,0,8,10
02.24,61,0,12,15
02.25,95,0,16,18
02.26,139,0,19,34
02.27,245,49,26,46
02.28,388,49,34,104
02.29,593,123,43,143
03.01,593,123,43,205
03.02,1501,175,66,385
03.03,2336,435,77,523
03.04,2922,435,92,835
03.05,3513,435,107,586
03.06,4747,739,124,591
03.07,5823,739,145,1234
03.08,6566,2134,194,1076
03.09,7161,2394,237,743
03.10,8042,2731,291,595
03.11,9000,2959,354,881
03.12,10075,3276,429,958
03.13,11364,3529,514,1075
03.14,12729,4339,611,1289
03.15,13938,4590,724,1365
03.16,14991,4996,853,2262
03.17,16169,5389,988,1178
03.18,17361,5710,1135,1178
03.19,18407,5979,1284,1192
03.20,19644,6745,1433,1046
03.21,20610,7635,1556,1237
03.22,21638,7913,1685,966
03.23,23049,8376,1812,1028
03.24,24811,8913,1934,1411
03.25,27017,9625,2077,1762
03.26,27017,9625,2077,0
