,confirm
不丹,1
东帝汶,0
中非共和国,13
丹麦,1050
乌克兰,11033
乌兹别克斯坦,228
乌干达,214
乌拉圭,71
乍得,5
也门,3
亚美尼亚,2476
以色列,547
伊拉克,2880
伊朗,9450
伯利兹,60
佛得角,67
俄罗斯,20109
保加利亚,2301
克罗地亚,2399
冈比亚,3
冰岛,24
几内亚,37
几内亚比绍,0
列支敦士登公国,24
刚果（布）,31
刚果（金）,33
利比亚,595
利比里亚,2
加拿大,4346
加纳,116
加蓬,17
匈牙利,5318
北马其顿,1283
南非,1731
博茨瓦纳,0
卡塔尔,202
卢旺达,5
卢森堡,659
印度,45674
印度尼西亚,4262
危地马拉,1201
厄瓜多尔,978
厄立特里亚,7
叙利亚,45
古巴,39
吉尔吉斯斯坦,556
吉布提,1
哈萨克斯坦,723
哥伦比亚,8714
哥斯达黎加,946
喀麦隆,239
土耳其,2483
圣卢西亚,13
圣基茨和尼维斯,0
圣文森特和格林纳丁斯,0
圣马力诺,0
圭亚那,27
坦桑尼亚,0
埃及,208
埃塞俄比亚,455
塔吉克斯坦,38
塞内加尔,17
塞尔维亚,2677
塞拉利昂,8
塞浦路斯,314
塞舌尔,1
墨西哥,6810
多哥,23
多米尼克,6
多米尼加,345
奥地利,8241
委内瑞拉,393
孟加拉,1289
安哥拉,112
安提瓜和巴布达,1
安道尔,184
尼加拉瓜,0
尼日利亚,59
尼日尔,12
尼泊尔,2753
巴勒斯坦,431
巴哈马,65
巴基斯坦,1436
巴巴多斯,3
巴布亚新几内亚,0
巴拉圭,460
巴拿马,746
巴林,241
巴西,22380
布基纳法索,3
布隆迪,6
希腊,2555
德国,14122
意大利,39809
拉脱维亚,404
挪威,408
捷克,7723
摩尔多瓦,1174
摩洛哥,5836
摩纳哥,29
文莱,0
斐济,0
斯威士兰,13
斯洛伐克,2579
斯洛文尼亚,1612
斯里兰卡,192
新加坡,7
新西兰,6
日本本土,1331
智利,1587
柬埔寨,1
格林纳达,0
格鲁吉亚,2859
梵蒂冈,0
比利时,6124
毛里塔尼亚,10
毛里求斯,0
沙特阿拉伯,407
法国,57
波兰,27875
波黑,1785
泰国,7
津巴布韦,27
洪都拉斯,465
海地,18
澳大利亚,6
爱尔兰,317
爱沙尼亚,228
牙买加,99
特立尼达和多巴哥,40
玻利维亚,84
瑞典,0
瑞士,0
白俄罗斯,997
科威特,742
科摩罗,6
科特迪瓦,12
秘鲁,2781
突尼斯,1625
立陶宛,1972
索马里,0
约旦,8938
纳米比亚,80
缅甸,1071
罗马尼亚,9937
美国,124232
老挝,0
肯尼亚,1065
芬兰,0
苏丹,0
苏里南,7
英国,24962
荷兰,44
莫桑比克,186
莱索托,0
菲律宾,2152
萨尔瓦多,179
葡萄牙,6640
蒙古,1
西班牙,22516
贝宁,0
赞比亚,89
赤道几内亚,0
越南,1
钻石号邮轮,0
阿塞拜疆,1410
阿富汗,58
阿尔及利亚,581
阿尔巴尼亚,495
阿曼,0
阿根廷,8037
阿联酋,1141
韩国,143
马尔代夫,30
马拉维,8
马提尼克岛,5
马来西亚,1168
马耳他,146
马达加斯加,0
马里,19
黎巴嫩,1769
黑山,300
