,confirm,heal,dead,confirm_add
01.28,2,0,0,0
01.29,2,0,0,0
01.30,3,1,0,1
01.31,3,1,0,0
02.01,4,0,0,1
02.02,4,0,0,0
02.03,4,0,0,0
02.04,4,0,0,0
02.05,5,0,0,1
02.06,5,0,0,0
02.07,5,0,0,0
02.08,5,0,0,0
02.09,7,0,0,2
02.10,7,0,0,0
02.11,7,0,0,0
02.12,7,0,0,0
02.13,7,0,0,0
02.14,7,0,0,0
02.15,8,1,0,1
02.16,8,1,0,0
02.17,8,1,0,0
02.18,8,1,0,0
02.19,8,1,0,0
02.20,8,1,0,0
02.21,8,3,0,0
02.22,8,3,0,0
02.23,8,3,0,0
02.24,10,4,0,2
02.25,11,4,0,1
02.26,11,4,0,0
02.27,12,4,0,1
02.28,14,4,0,2
02.29,16,4,0,2
03.01,20,4,0,4
03.02,24,7,0,4
03.03,27,7,0,3
03.04,33,7,0,6
03.05,34,7,0,1
03.06,48,7,0,14
03.07,54,7,0,6
03.08,60,7,0,4
03.09,66,7,0,6
03.10,77,8,1,11
03.11,97,8,1,20
03.12,118,9,1,21
03.13,158,11,1,40
03.14,225,11,1,67
03.15,253,11,1,28
03.16,313,11,1,60
03.17,436,11,4,123
03.18,597,11,8,161
03.19,727,12,9,130
03.20,923,12,12,196
03.21,1146,14,12,223
03.22,1377,14,19,231
03.23,1472,14,21,95
03.24,2091,109,25,619
03.25,2892,110,35,801
03.26,3409,183,36,517
03.27,4043,197,39,634
03.28,4757,354,55,714
03.29,5867,466,63,1110
03.30,6280,466,65,413
