,confirm,heal,dead,confirm_add
2021.01.01,158,145,3,0
2021.01.02,158,145,3,0
2021.01.03,158,145,3,0
2021.01.04,158,145,3,0
2021.01.05,158,145,3,0
2021.01.06,158,145,3,0
2021.01.07,158,145,3,0
2021.01.08,158,145,3,0
2021.01.09,158,145,3,0
2021.01.10,158,147,3,0
2021.01.11,158,148,3,0
2021.01.12,158,150,3,0
2021.01.13,158,151,3,0
2021.01.14,158,154,3,0
2021.01.15,158,154,3,0
2021.01.16,158,154,3,0
2021.01.17,158,154,3,0
2021.01.18,158,154,3,0
2021.01.19,158,154,3,0
2021.01.20,158,154,3,0
2021.01.21,158,154,3,0
2021.01.22,158,154,3,0
2021.01.23,158,154,3,0
2021.01.24,158,154,3,0
2021.01.25,158,154,3,0
2021.01.26,158,154,3,0
2021.01.27,158,154,3,0
2021.01.28,158,154,3,0
2020.01.29,46,1,1,
2021.01.30,158,155,3,0
2020.01.31,69,1,1,
2020.02.01,72,3,1,
2020.02.02,73,9,1,
2020.02.03,77,9,1,
2020.02.04,87,9,1,
2020.02.05,92,16,1,
2020.02.06,97,19,1,5
2020.02.07,102,25,1,5
2020.02.08,109,33,1,7
2020.02.09,120,35,1,11
2020.02.10,123,39,1,3
2020.02.11,124,41,1,1
2020.02.12,125,41,1,1
2020.02.13,131,42,1,6
2020.02.14,135,43,1,4
2020.02.15,139,44,1,4
2020.02.16,140,49,3,1
2020.02.17,140,53,3,0
2020.02.18,140,56,3,0
2020.02.19,141,61,3,1
2020.02.20,141,69,3,0
2020.02.21,143,71,3,2
2020.02.22,143,75,3,0
2020.02.23,143,78,3,0
2020.02.24,143,78,3,0
2020.02.25,143,79,3,0
2020.02.26,143,81,3,0
2020.02.27,143,83,3,0
2020.02.28,143,85,3,0
2020.02.29,143,88,3,0
2020.03.01,143,88,3,0
2020.03.02,143,90,3,0
2020.03.03,143,92,3,0
2020.03.04,143,93,3,0
2020.03.05,144,97,3,1
2020.03.06,144,98,3,0
2020.03.07,144,100,3,0
2020.03.08,144,101,3,0
2020.03.09,144,102,3,0
2020.03.10,144,103,3,0
2020.03.11,144,108,3,0
2020.03.12,144,113,3,0
2020.03.13,144,115,3,0
2020.03.14,144,121,3,0
2020.03.15,144,122,3,0
2020.03.16,144,122,3,0
2020.03.17,144,126,3,0
2020.03.18,145,131,3,1
2020.03.19,145,137,3,0
2020.03.20,146,141,3,1
2020.03.21,147,141,3,1
2020.03.22,148,141,3,1
2020.03.23,148,141,3,0
2020.03.24,150,141,3,2
2020.03.25,152,141,3,2
2020.03.26,152,141,3,0
2020.03.27,153,141,3,1
2020.03.28,153,141,3,1
2020.03.29,155,141,3,2
2020.03.30,155,141,3,2
2020.03.31,144,141,3,0
2020.04.01,144,141,3,0
2020.04.02,144,141,3,0
2020.04.03,144,141,3,0
2020.04.04,144,141,3,0
2020.04.05,144,141,3,0
2020.04.06,144,141,3,0
2020.04.07,144,141,3,0
2020.04.08,144,141,3,0
2020.04.09,144,141,3,0
2020.04.10,144,141,3,0
2020.04.11,144,141,3,0
2020.04.12,144,141,3,0
2020.04.13,144,141,3,0
2020.04.14,144,141,3,0
2020.04.15,144,141,3,0
2020.04.16,144,141,3,0
2020.04.17,144,141,3,0
2020.04.18,145,141,3,1
2020.04.19,145,141,3,0
2020.04.20,145,141,3,0
2020.04.21,145,141,3,0
2020.04.22,145,141,3,0
2020.04.23,145,141,3,0
2020.04.24,145,142,3,0
2020.04.25,145,142,3,0
2020.04.26,145,142,3,0
2020.04.27,145,142,3,0
2020.04.28,145,142,3,0
2020.04.29,145,142,3,0
2020.04.30,145,142,3,0
2020.12.01,145,142,3,0
2020.12.02,145,142,3,0
2020.12.03,145,142,3,0
2020.12.04,145,142,3,0
2020.12.05,145,142,3,0
2020.12.06,145,142,3,0
2020.12.07,147,142,3,2
2020.12.08,151,142,3,4
2020.12.09,151,142,3,4
2020.12.10,153,142,3,2
2020.12.11,155,142,3,4
2020.12.12,156,142,3,1
2020.12.13,156,142,3,1
2020.12.14,156,142,3,1
2020.12.15,157,142,3,1
2020.12.16,157,142,3,1
2020.12.17,157,142,3,1
2020.12.18,158,142,3,1
2020.12.19,158,142,3,1
2020.12.20,158,142,3,1
2020.12.21,158,142,3,1
2020.12.22,158,142,3,1
2020.12.23,158,142,3,1
2020.12.24,158,142,3,1
2020.12.25,158,142,3,1
2020.12.26,158,143,3,0
2020.12.27,158,143,3,0
2020.12.28,158,144,3,0
