,confirm,heal,dead,confirm_add
01.28,51,0,0,
01.29,63,0,0,
01.30,94,3,0,
01.31,112,3,0,
02.01,150,3,0,
02.02,179,3,0,
02.03,189,3,0,
02.04,216,3,0,
02.05,237,3,0,
02.06,270,3,0,33
02.07,285,21,0,30
02.08,301,27,0,17
02.09,307,36,0,9
02.10,314,43,0,10
02.11,317,49,0,4
02.12,323,70,0,6
02.13,327,78,0,4
02.14,328,93,0,1
02.15,335,93,0,7
02.16,338,115,0,3
02.17,339,121,0,1
02.18,339,142,0,0
02.19,339,148,0,0
02.20,339,158,0,0
02.21,339,173,0,0
02.22,343,191,0,4
02.23,345,197,0,2
02.24,345,205,0,0
02.25,346,211,1,1
02.26,346,223,1,0
02.27,346,231,1,0
02.28,346,241,1,0
02.29,346,249,1,0
03.01,346,260,1,0
03.02,346,264,1,0
03.03,346,271,1,0
03.04,346,283,1,0
03.05,347,292,1,1
03.06,347,309,1,1
03.07,347,318,1,0
03.08,347,321,1,0
03.09,347,322,1,0
03.10,347,324,1,0
03.11,347,326,1,0
03.12,347,326,1,0
03.13,347,330,1,0
03.14,347,330,1,0
03.15,348,330,1,1
03.16,348,330,1,1
03.17,351,330,1,3
03.18,354,331,1,3
03.19,359,332,1,5
03.20,366,334,1,7
03.21,366,335,1,2
03.22,369,335,3,3
03.23,369,335,3,3
03.24,384,336,1,12
03.25,388,337,1,4
03.26,400,338,1,12
