,confirm,heal,dead,confirm_add
01.28,57,4,0,
01.29,80,4,0,
01.30,98,4,0,
01.31,110,4,0,
02.01,170,5,0,
02.02,207,5,0,
02.03,226,10,0,
02.04,269,10,0,
02.05,289,16,0,
02.06,316,22,0,27
02.07,339,31,0,25
02.08,354,39,0,20
02.09,366,56,0,15
02.10,369,56,0,5
02.11,375,56,0,7
02.12,386,66,0,11
02.13,391,81,0,5
02.14,400,94,0,9
02.15,406,104,0,6
02.16,414,121,0,8
02.17,415,131,2,1
02.18,416,152,2,1
02.19,416,163,2,0
02.20,416,199,2,0
02.21,416,222,2,0
02.22,417,222,2,1
02.23,417,226,3,0
02.24,417,237,3,0
02.25,417,249,3,0
02.26,417,262,3,0
02.27,417,271,3,0
02.28,417,281,3,0
02.29,417,299,3,0
03.01,417,308,3,0
03.02,417,320,3,0
03.03,417,332,3,0
03.04,417,341,3,0
03.05,417,350,3,0
03.06,417,358,3,0
03.07,417,361,3,1
03.08,417,368,3,0
03.09,417,373,3,0
03.10,417,381,3,0
03.11,417,387,3,0
03.12,417,392,3,1
03.13,417,395,3,0
03.14,417,396,3,0
03.15,417,399,3,0
03.16,417,401,3,0
03.17,417,402,3,0
03.18,417,403,3,0
03.19,417,407,3,0
03.20,417,409,3,6
03.21,417,410,3,4
03.22,417,410,3,4
03.23,417,410,3,4
03.24,417,414,3,1
03.25,417,414,3,0
03.26,417,414,3,0
03.27,417,414,3,0
03.28,417,414,3,0
03.29,417,414,3,0
03.30,417,414,3,0
03.31,417,414,3,0
04.01,418,414,3,1
04.02,418,414,3,0
04.03,418,414,3,0
04.04,418,414,3,0
04.05,418,414,3,0
04.06,419,414,3,1
04.07,419,414,3,0
04.08,419,414,3,0
04.09,419,414,3,0
04.10,419,414,3,0
04.11,419,414,3,0
04.12,419,414,3,0
04.13,419,414,3,0
04.14,419,414,3,0
04.15,419,415,3,0
04.16,419,415,3,0
04.17,420,415,3,1
04.18,421,415,3,1
04.19,422,415,3,1
04.20,422,415,3,0
04.21,422,415,3,0
04.22,422,415,3,0
04.23,422,415,3,0
04.24,422,416,3,0
04.25,422,416,3,0
04.26,422,416,3,0
04.27,422,416,3,0
04.28,422,416,3,0
04.29,423,417,3,1
04.30,423,417,3,0
05.01,423,418,3,0
05.02,423,418,3,0
05.03,423,418,3,0
05.04,423,418,3,0
05.05,423,419,3,0
05.06,423,419,3,0
05.07,423,419,3,0
05.08,423,419,3,0
05.09,423,419,3,0
05.10,423,419,3,0
05.11,423,419,3,0
05.12,423,419,3,0
05.13,423,419,3,0
05.14,423,419,3,0
05.15,423,419,3,0
05.16,423,419,3,0
05.17,423,419,3,0
05.18,423,419,3,0
05.19,423,419,3,0
05.20,423,419,3,0
05.21,423,419,3,0
05.22,423,420,3,0
05.23,423,420,3,0
05.24,423,420,3,0
05.25,423,420,3,0
