,confirm,heal,dead,confirm_add
01.28,7,0,0,
01.29,9,0,0,
01.30,11,0,0,
01.31,11,1,0,
02.01,13,1,0,
02.02,14,1,0,
02.03,14,1,0,
02.04,15,1,0,
02.05,18,1,0,
02.06,19,1,0,1
02.07,20,4,0,1
02.08,20,6,0,1
02.09,21,6,0,1
02.10,21,7,0,0
02.11,21,7,0,0
02.12,21,9,0,0
02.13,21,9,0,0
02.14,22,11,0,1
02.15,22,11,0,0
02.16,22,11,0,0
02.17,22,11,0,0
02.18,22,11,0,0
02.19,22,11,0,0
02.20,22,11,0,0
02.21,22,12,0,0
02.22,22,12,0,0
02.23,22,12,0,0
02.24,22,14,0,0
02.25,22,14,0,0
02.26,22,14,0,0
02.27,22,14,0,0
02.28,22,17,0,0
02.29,22,17,0,0
03.01,22,17,0,0
03.02,22,17,0,0
03.03,22,19,0,0
03.04,22,19,0,0
03.05,22,20,0,0
03.06,22,22,0,0
03.07,22,22,0,0
03.08,22,22,0,0
03.09,22,22,0,0
03.10,22,22,0,0
03.11,22,22,0,0
03.12,22,22,0,0
03.13,22,22,0,0
03.14,22,22,0,0
03.15,22,22,0,0
03.16,22,22,0,0
03.17,22,22,0,0
03.18,22,22,0,0
03.19,22,22,0,0
03.20,22,22,0,0
03.21,22,22,0,0
03.22,22,22,0,0
03.23,22,22,0,0
03.24,23,22,0,0
03.25,23,22,0,0
03.26,23,22,0,0
