,confirm,heal,dead,confirm_add
01.21,26,0,0,9
01.22,32,0,0,6
01.23,53,2,0,21
01.24,78,2,0,25
01.26,146,2,0,48
01.27,188,4,0,42
01.28,241,5,0,53
01.29,311,6,0,70
01.30,393,9,0,82
01.31,520,9,0,127
02.01,604,12,0,84
02.02,683,14,0,79
02.03,797,20,0,114
02.04,870,32,0,73
02.05,944,49,0,74
02.06,1018,68,0,74
02.07,1075,97,1,57
02.08,1120,125,1,45
02.09,1151,143,1,31
02.10,1177,181,1,26
02.11,1219,241,1,42
02.12,1241,284,1,22
02.13,1241,284,2,22
02.14,1294,386,2,33
02.15,1316,436,2,22
02.16,1322,473,4,6
02.17,1328,530,4,6
02.18,1331,571,5,3
02.19,1332,619,5,1
02.20,1333,664,5,1
02.21,1339,720,5,6
02.22,1342,740,6,3
02.23,1345,772,6,3
02.24,1347,805,7,2
02.25,1347,841,7,0
02.26,1347,873,7,0
02.27,1348,919,7,1
02.28,1349,972,7,1
02.29,1349,1009,7,0
03.01,1350,1034,7,1
03.02,1350,1081,7,0
03.03,1350,1129,7,0
03.04,1350,1159,7,0
03.05,1351,1181,7,1
03.06,1352,1233,7,1
03.07,1352,1250,7,0
03.08,1352,1260,8,0
03.09,1353,1270,8,1
03.10,1353,1282,8,0
03.11,1356,1288,8,3
03.12,1356,1296,8,0
03.13,1356,1299,8,0
03.14,1357,1299,8,1
03.15,1361,1306,8,4
03.16,1364,1307,8,3
03.17,1370,1312,8,6
03.18,1378,1318,8,8
03.19,1392,1322,8,14
03.20,1399,1325,8,7
03.21,1407,1329,8,8
03.22,1413,1332,8,6
03.23,1428,1333,8,15
03.24,1433,1334,8,5
03.25,1444,1336,8,11
03.26,1456,1337,8,12
03.27,1467,1341,8,11
03.28,1475,1349,8,8
03.29,1484,1351,8,9
03.30,1490,1353,8,6
03.31,1501,1357,8,11
04.01,1507,1365,8,6
04.02,1514,1368,8,7
04.03,1516,1378,8,2
04.04,1524,1387,8,8
04.05,1532,1395,8,8
04.06,1533,1401,8,1
04.07,1536,1411,8,3
04.08,1539,1423,8,3
04.09,1544,1434,8,5
04.10,1548,1437,8,4
04.11,1552,1443,8,4
04.12,1555,1454,8,3
04.13,1564,1458,8,9
04.14,1566,1462,8,2
04.15,1571,1471,8,5
04.16,1577,1475,8,6
04.17,1579,1482,8,2
04.18,1580,1490,8,1
04.19,1581,1494,8,1
04.20,1582,1501,8,1
04.21,1582,1511,8,0
04.22,1584,1518,8,2
04.23,1585,1528,8,1
04.24,1585,1534,8,0
04.25,1586,1542,8,1
04.26,1587,1542,8,1
04.27,1587,1547,8,0
04.28,1588,1554,8,1
04.29,1588,1557,8,0
04.30,1588,1565,8,0
05.01,1588,1567,8,0
05.02,1588,1567,8,0
05.03,1588,1569,8,0
05.04,1588,1571,8,0
05.05,1588,1575,8,0
05.06,1589,1575,8,1
05.07,1589,1575,8,0
05.08,1589,1576,8,0
05.09,1589,1576,8,0
05.10,1589,1577,8,0
05.11,1589,1578,8,0
05.12,1589,1578,8,0
05.13,1589,1579,8,0
05.14,1589,1579,8,0
05.15,1589,1579,8,0
05.16,1590,1579,8,1
05.17,1590,1579,8,0
05.18,1590,1579,8,0
05.19,1590,1579,8,0
05.20,1591,1579,8,1
05.21,1591,1579,8,1
