,confirm,heal,dead,confirm_add
01.28,1,0,0,1
01.29,4,0,0,3
01.30,4,0,0,0
01.31,6,0,0,1
02.01,7,0,0,2
02.02,10,0,0,1
02.03,10,0,0,2
02.04,12,0,0,2
02.05,12,0,0,0
02.06,12,0,0,0
02.07,13,0,0,1
02.08,13,0,0,1
02.09,14,0,0,0
02.10,14,0,0,0
02.11,14,0,0,0
02.12,16,0,0,2
02.13,16,0,0,0
02.14,16,1,0,0
02.15,16,1,0,0
02.16,16,1,0,0
02.17,16,1,0,0
02.18,16,7,0,0
02.19,16,7,0,0
02.20,16,7,0,0
02.21,16,7,0,0
02.22,16,7,0,0
02.23,16,7,0,0
02.24,16,14,0,0
02.25,16,14,0,0
02.26,19,14,0,2
02.27,27,14,0,3
02.28,60,14,0,5
02.29,66,16,0,31
03.01,117,16,0,0
03.02,157,16,0,72
03.03,196,16,0,28
03.04,240,16,0,39
03.05,349,16,0,66
03.06,565,16,0,272
03.07,684,16,0,105
03.08,847,18,0,156
03.09,1151,18,0,317
03.10,1224,18,2,27
03.11,1565,18,3,157
03.12,2078,25,3,271
03.13,3117,46,7,802
03.14,3675,46,8,693
03.15,5142,46,9,733
03.16,5813,46,13,1043
03.17,7272,135,17,1174
03.18,10082,135,26,1144
03.19,13944,135,43,1042
03.20,17653,115,44,2801
03.21,20099,180,70,3709
03.22,23921,266,92,3140
03.23,27181,422,113,3311
03.24,31370,453,132,4438
03.25,35353,3243,181,2342
03.26,37323,3547,206,0
