,confirm
不丹,3
东帝汶,0
中非共和国,0
丹麦,1169
乌克兰,11227
乌兹别克斯坦,161
乌干达,301
乌拉圭,135
乍得,9
也门,14
亚美尼亚,485
以色列,790
伊拉克,2136
伊朗,12460
伯利兹,73
佛得角,42
俄罗斯,24891
保加利亚,1123
克罗地亚,1973
冈比亚,0
冰岛,8
几内亚,15
几内亚比绍,0
列支敦士登公国,3
刚果（布）,0
刚果（金）,0
利比亚,650
利比里亚,0
加拿大,4726
加纳,67
加蓬,0
匈牙利,3334
北马其顿,1112
南非,2270
博茨瓦纳,0
卡塔尔,186
卢旺达,45
卢森堡,0
印度,44059
印度尼西亚,4442
危地马拉,305
厄瓜多尔,767
厄立特里亚,0
叙利亚,71
古巴,48
吉尔吉斯斯坦,304
吉布提,7
哈萨克斯坦,716
哥伦比亚,7924
哥斯达黎加,0
喀麦隆,0
土耳其,6017
圣卢西亚,16
圣基茨和尼维斯,1
圣文森特和格林纳丁斯,0
圣马力诺,33
圭亚那,40
坦桑尼亚,0
埃及,351
埃塞俄比亚,433
塔吉克斯坦,78
塞内加尔,15
塞尔维亚,5067
塞拉利昂,6
塞浦路斯,187
塞舌尔,0
墨西哥,15906
多哥,14
多米尼克,5
多米尼加,1059
奥地利,3145
委内瑞拉,400
孟加拉,2419
安哥拉,80
安提瓜和巴布达,0
安道尔,49
尼加拉瓜,0
尼日利亚,155
尼日尔,17
尼泊尔,1980
巴勒斯坦,1552
巴哈马,18
巴基斯坦,2756
巴巴多斯,4
巴布亚新几内亚,8
巴拉圭,619
巴拿马,1206
巴林,114
巴西,18615
布基纳法索,32
布隆迪,6
希腊,1498
德国,11437
意大利,28337
所罗门群岛,0
拉脱维亚,116
挪威,312
捷克,1513
摩尔多瓦,1252
摩洛哥,3979
摩纳哥,1
文莱,1
斐济,0
斯威士兰,14
斯洛伐克,231
斯洛文尼亚,470
斯里兰卡,429
新加坡,5
新西兰,2
日本本土,1520
智利,1440
柬埔寨,0
格林纳达,0
格鲁吉亚,3958
梵蒂冈,0
比利时,1875
毛里塔尼亚,32
毛里求斯,0
沙特阿拉伯,231
法国,13157
波兰,15002
波黑,547
泰国,7
津巴布韦,48
洪都拉斯,480
海地,3
澳大利亚,14
爱尔兰,318
爱沙尼亚,232
牙买加,103
特立尼达和多巴哥,126
玻利维亚,56
瑞典,0
瑞士,9751
瓦努阿图,0
白俄罗斯,1483
科威特,337
科摩罗,0
科特迪瓦,12
秘鲁,1994
突尼斯,1240
立陶宛,1179
索马里,63
约旦,5268
纳米比亚,86
缅甸,1259
罗马尼亚,4207
美国,9801
老挝,0
肯尼亚,968
芬兰,297
苏丹,213
苏里南,1
英国,18672
荷兰,5255
莫桑比克,56
莱索托,1
菲律宾,1796
萨尔瓦多,0
葡萄牙,8832
蒙古,11
西班牙,15156
贝宁,0
赞比亚,30
赤道几内亚,0
越南,5
钻石号邮轮,0
阿塞拜疆,2187
阿富汗,282
阿尔及利亚,1088
阿尔巴尼亚,565
阿曼,275
阿根廷,4184
阿联酋,1065
韩国,271
马尔代夫,30
马拉维,0
马提尼克岛,5
马来西亚,1884
马绍尔群岛,0
马耳他,80
马达加斯加,31
马里,49
黎巴嫩,1193
黑山,409
