,confirm,heal,dead,confirm_add
01.28,57,4,0,
01.29,80,4,0,
01.30,98,4,0,
01.31,110,4,0,
02.01,170,5,0,
02.02,207,5,0,
02.03,226,10,0,
02.04,269,10,0,
02.05,289,16,0,
02.06,316,22,0,27
02.07,339,31,0,25
02.08,354,39,0,20
02.09,366,56,0,15
02.10,369,56,0,5
02.11,375,56,0,7
02.12,386,66,0,11
02.13,391,81,0,5
02.14,400,94,0,9
02.15,406,104,0,6
02.16,414,121,0,8
02.17,415,131,2,1
02.18,416,152,2,1
02.19,416,163,2,0
02.20,416,199,2,0
02.21,416,222,2,0
02.22,417,222,2,1
02.23,417,226,3,0
02.24,417,237,3,0
02.25,417,249,3,0
02.26,417,262,3,0
02.27,417,271,3,0
02.28,417,281,3,0
02.29,417,299,3,0
03.01,417,308,3,0
03.02,418,320,3,1
03.03,418,332,3,0
03.04,418,341,3,0
03.05,418,350,3,0
03.06,419,358,3,1
03.07,419,361,3,1
03.08,419,368,3,0
03.09,419,373,3,0
03.10,419,381,3,0
03.11,420,387,3,1
03.12,420,392,3,1
03.13,420,395,3,0
03.14,420,396,3,0
03.15,422,399,3,2
03.16,423,401,3,2
03.17,423,402,3,0
03.18,425,403,3,2
03.19,427,407,3,2
03.20,433,409,3,6
03.21,436,410,3,4
03.22,436,410,3,4
03.23,436,410,3,4
03.24,440,414,3,1
03.25,441,414,3,1
03.26,443,414,3,2
