,confirm,heal,dead,confirm_add
01.21,258,25,3,60
01.22,363,25,3,105
01.23,425,25,3,62
01.24,495,31,23,70
01.25,572,32,38,77
01.26,618,40,45,46
01.27,698,42,63,80
01.28,1590,44,85,892
01.29,1905,51,104,315
01.30,2261,54,129,356
01.31,2639,98,159,378
02.01,3215,106,192,576
02.02,4109,181,224,894
02.03,5142,224,265,1033
02.04,6384,303,313,1242
02.05,8351,373,362,1967
02.06,10117,459,414,1766
02.07,11618,534,478,1501
02.08,13603,743,545,1985
02.09,14982,877,608,1379
02.10,16902,1034,681,1921
02.11,18454,1206,748,1552
02.12,19558,1377,820,1104
02.13,32994,1915,1036,13436
02.14,35991,2285,1124,3910
02.15,37914,2502,1123,1923
02.16,39462,2915,1233,1548
02.17,41152,3458,1309,1690
02.18,42752,4219,1381,1600
02.19,44412,4895,1497,1660
02.20,45027,5448,1585,615
02.21,45346,6214,1684,319
02.22,45660,7206,1774,314
02.23,46201,8171,1856,541
02.24,46607,8946,1987,348
02.25,47071,10337,2043,464
02.26,47441,11793,2085,370
02.27,47824,13328,2104,383
02.28,48137,15826,2132,313
02.29,48557,17552,2169,420
03.01,49122,19227,2195,565
03.02,49426,23031,2251,111
03.03,49540,24890,2282,114
03.04,49671,26316,2305,131
03.05,49797,27354,2328,126
03.06,49871,28511,2349,74
03.07,49871,28511,2349,74
03.08,49912,29770,2370,41
03.09,49948,30933,2388,36
03.10,49965,31829,2404,17
03.11,49978,33041,2423,13
03.12,49986,34094,2430,8
03.13,49991,35197,2436,5
03.14,49995,36451,2446,4
03.15,49999,37632,2456,4
03.16,50003,38384,2469,4
03.17,50004,39220,2480,1
03.18,50005,40032,2490,1
03.19,50005,40765,2496,0
03.20,50005,41389,2498,0
03.21,50005,41891,2504,0
03.22,50005,42354,2508,0
03.23,50005,42788,2517,0
03.24,50006,43214,2524,1
03.25,50006,43686,2526,0
03.26,50006,44068,2531,0
03.27,50006,44591,2535,0
03.28,50006,44951,2538,0
03.29,50006,45418,2543,0
03.30,50006,45733,2547,0
03.31,50006,46002,2548,0
04.01,50007,46175,2553,1
04.02,50007,46320,2559,0
04.03,50007,46461,2563,0
04.04,50008,46611,2567,1
04.05,50008,46794,2570,0
04.06,50008,46863,2571,0
04.07,50008,46922,2571,0
04.08,50008,46991,2572,0
04.09,50008,47036,2574,0
04.10,50008,47085,2575,0
04.11,50008,47112,2577,0
04.12,50008,47129,2577,0
04.13,50008,47186,2579,0
04.14,50008,47211,2579,0
04.15,50008,47250,2579,0
04.16,50008,47283,2579,0
04.17,50333,46335,3869,0
04.18,50333,46342,3869,0
04.19,50333,46355,3869,0
04.20,50333,46359,3869,0
04.21,50333,46362,3869,0
04.22,50333,46367,3869,0
04.23,50333,46395,3869,0
04.24,50333,46417,3869,0
04.25,50333,46441,3869,0
04.26,50333,46464,3869,0
04.27,50333,46464,3869,0
04.28,50333,46464,3869,0
04.29,50333,46464,3869,0
04.30,50333,46464,3869,0
05.01,50333,46464,3869,0
05.02,50333,46464,3869,0
05.03,50333,46464,3869,0
05.04,50333,46464,3869,0
05.05,50333,46464,3869,0
05.06,50333,46464,3869,0
05.07,50333,46464,3869,0
05.08,50333,46464,3869,0
05.09,50333,46464,3869,0
05.10,50334,46464,3869,1
05.11,50339,46464,3869,5
05.12,50339,46464,3869,0
05.13,50339,46464,3869,0
05.14,50339,46464,3869,0
05.15,50339,46464,3869,0
05.16,50339,46464,3869,0
05.17,50339,46464,3869,0
05.18,50339,46464,3869,0
05.19,50340,46464,3869,1
05.20,50340,46464,3869,0
05.21,50340,46464,3869,0
05.22,50340,46464,3869,0
05.23,50340,46464,3869,0
05.24,50340,46464,3869,0
05.25,50340,46465,3869,0
05.26,50340,46465,3869,0
05.27,50340,46466,3869,0
05.28,50340,46466,3869,0
05.29,50340,46466,3869,0
05.30,50340,46467,3869,0
05.31,50340,46467,3869,0
06.01,50340,46468,3869,0
06.02,50340,46468,3869,0
06.03,50340,46468,3869,0
06.04,50340,46468,3869,0
06.05,50340,46471,3869,0
06.06,50340,46471,3869,0
06.07,50340,46471,3869,0
06.08,50340,46471,3869,0
06.09,50340,46471,3869,0
