,confirm,heal,dead,confirm_add
01.20,270,25,6,72
01.21,375,28,9,105
01.22,444,28,17,69
01.23,549,31,24,105
01.24,729,32,39,180
01.25,1052,42,52,323
01.26,1423,44,76,371
01.27,2714,47,100,1291
01.28,3554,80,125,840
01.29,4586,90,162,1032
01.30,5806,116,204,1220
01.31,7153,166,249,1347
02.01,9074,215,294,1921
02.02,11177,295,350,2103
02.03,13522,396,414,2345
02.04,16678,520,479,3156
02.05,19655,633,549,2987
02.06,22112,817,618,2447
02.07,24953,1115,699,2841
02.08,27100,1439,780,2147
02.09,29631,1795,871,2618
02.10,31728,2222,974,2097
02.11,33366,2639,1068,1638
02.12,48206,3441,1310,14840
02.13,51986,4131,1318,4823
02.14,54406,4774,1457,2420
02.15,56249,5623,1596,1843
02.16,58182,6639,1696,1933
02.17,59989,7862,1789,1807
02.18,61682,9128,1921,1693
02.19,62457,10337,2029,775
02.20,63088,11788,2144,631
02.21,63454,13557,2250,366
02.22,64084,15299,2346,630
02.23,64287,16738,2495,398
02.24,64786,18854,2563,499
02.25,65187,20912,2615,401
02.26,65596,23200,2641,409
02.27,65914,26403,2682,318
02.28,66337,28895,2727,423
02.29,66907,31187,2761,570
03.01,67103,33757,2803,196
03.02,67217,36167,2834,114
03.03,67332,38556,2871,115
03.04,67466,40479,2902,134
03.05,67592,41966,2931,126
03.06,67666,43468,2959,74
03.07,67707,45011,2986,41
03.08,67743,46433,3007,36
03.09,67760,47585,3024,17
03.10,67773,49056,3046,13
03.11,67781,50298,3056,8
03.12,67786,51553,3062,5
03.13,67790,52943,3075,4
03.14,67794,54278,3085,4
03.15,67798,55094,3099,4
03.16,67798,55987,3111,4
03.17,67800,56883,3122,1
03.18,67800,57678,3130,0
03.19,67800,58381,3132,0
03.20,67800,58942,3139,0
03.21,67800,59432,3144,0
03.22,67800,59879,3153,0
03.23,67801,60323,3160,1
03.24,67801,60810,3163,0
03.25,67801,61201,3169,0
03.26,67801,61731,3174,0
03.27,67801,62098,3177,0
03.28,67801,62565,3177,0
03.29,67801,62882,3186,0
03.30,67801,63153,3187,0
03.31,67802,63326,3193,1
04.01,67802,63471,3199,0
04.02,67802,63612,3203,0
04.03,67803,63762,3207,1
