,confirm,heal,dead,confirm_add
01.28,5,0,0,1
01.29,7,0,0,2
01.30,8,2,0,0
01.31,9,2,0,2
02.01,12,2,0,3
02.02,12,2,0,0
02.03,12,2,0,0
02.04,13,2,0,0
02.05,14,2,0,1
02.06,15,5,0,1
02.07,15,5,0,1
02.08,15,5,0,0
02.09,15,5,0,0
02.10,15,5,0,0
02.11,15,5,0,0
02.12,15,5,0,0
02.13,15,5,0,0
02.14,15,5,0,0
02.15,15,5,0,0
02.16,15,5,0,0
02.17,15,5,0,0
02.18,15,5,0,0
02.19,15,5,0,0
02.20,15,5,0,0
02.21,17,5,0,2
02.22,17,5,0,4
02.23,17,5,0,1
02.24,22,10,0,0
02.25,23,10,0,0
02.26,23,15,0,1
02.27,23,15,0,0
02.28,24,15,0,0
02.29,25,15,0,1
03.01,28,15,1,1
03.02,33,15,1,2
03.03,40,21,1,6
03.04,44,21,2,10
03.05,57,21,2,23
03.06,60,21,2,0
03.07,64,21,2,5
03.08,76,21,3,12
03.09,83,22,3,3
03.10,101,22,3,15
03.11,117,22,3,20
03.12,159,24,3,10
03.13,159,24,3,18
03.14,236,24,3,57
03.15,272,24,5,52
03.16,368,27,6,0
03.17,449,27,6,77
03.18,556,27,6,78
03.19,636,27,6,96
03.20,877,46,7,199
03.21,1051,46,7,164
03.22,1353,46,7,208
03.23,1709,88,7,315
03.24,2136,118,8,313
03.25,2423,118,8,543
03.26,2423,118,8,0
