,confirm,heal,dead,confirm_add
2020.01.28,5,0,0,0
2020.01.29,5,0,0,0
2020.01.30,6,0,0,1
2020.01.31,6,0,0,0
2020.02.01,7,0,0,1
2020.02.02,8,0,0,1
2020.02.03,11,1,0,3
2020.02.04,11,1,0,0
2020.02.05,11,1,0,0
2020.02.06,12,1,0,1
2020.02.07,12,1,0,0
2020.02.08,12,1,0,0
2020.02.09,12,1,0,0
2020.02.10,12,1,0,0
2020.02.11,13,1,0,1
2020.02.12,13,3,0,0
2020.02.13,14,3,0,1
2020.02.14,15,3,0,1
2020.02.15,15,3,0,0
2020.02.16,15,3,0,0
2020.02.17,15,3,0,0
2020.02.18,15,3,0,0
2020.02.19,15,3,0,0
2020.02.20,15,3,0,0
2020.02.21,15,3,0,0
2020.02.22,34,3,0,19
2020.02.23,34,3,0,0
2020.02.24,35,3,0,1
2020.02.25,53,3,0,18
2020.02.26,57,3,0,4
2020.02.27,60,3,0,3
2020.02.28,60,3,0,0
2020.02.29,64,3,0,4
2020.03.01,69,3,1,9
2020.03.02,89,3,2,20
2020.03.03,105,3,6,16
2020.03.04,126,3,9,21
2020.03.05,161,8,11,35
2020.03.06,234,8,14,73
2020.03.07,337,10,17,103
2020.03.08,455,10,19,118
2020.03.09,582,10,22,127
2020.03.10,755,10,26,173
2020.03.11,1052,15,31,297
2020.03.12,1329,15,38,269
2020.03.13,1880,31,41,551
2020.03.14,2236,31,49,356
2020.03.15,2943,48,60,697
2020.03.16,3774,73,69,831
2020.03.17,4687,74,93,913
2020.03.18,6522,106,116,1835
2020.03.19,10259,106,152,3737
2020.03.20,14365,125,212,4106
2020.03.21,20176,147,277,5811
2020.03.22,26856,178,346,6680
2020.03.23,35224,178,471,8368
2020.03.24,46443,314,586,11219
2020.03.25,55242,354,801,8799
2020.03.26,69223,619,1054,13981
2020.03.27,86043,753,1304,16820
2020.03.28,104839,869,1716,18794
2020.03.29,124676,1095,2196,19837
2020.03.30,143071,4856,2513,17954
2020.03.31,165874,5995,3178,22803
2020.04.01,190089,7141,4102,24215
2020.04.02,217263,8710,5151,27174
2020.04.03,245658,9311,6069,28395
2020.04.04,278568,9920,7163,32910
2020.04.05,312481,15021,8503,33913
2020.04.06,337971,17582,9654,25490
2020.04.07,369069,20003,11018,31098
2020.04.08,399979,22539,12912,30910
2020.04.09,432579,24213,14830,32600
2020.04.10,467184,26522,16736,34605
2020.04.11,501701,29192,18781,34517
2020.04.12,530830,32314,20646,29129
2020.04.13,558999,42009,22154,28169
