,confirm,heal,dead,confirm_add
2020.01.31,2,0,0,0
2020.02.01,2,0,0,0
2020.02.02,2,0,0,0
2020.02.03,2,0,0,0
2020.02.04,2,0,0,0
2020.02.05,2,0,0,0
2020.02.06,3,0,0,1
2020.02.07,3,0,0,0
2020.02.08,3,0,0,0
2020.02.09,3,0,0,0
2020.02.10,8,0,0,5
2020.02.11,8,0,0,0
2020.02.12,8,0,0,0
2020.02.13,9,0,0,1
2020.02.14,9,0,0,0
2020.02.15,9,0,0,0
2020.02.16,9,8,0,0
2020.02.17,9,8,0,0
2020.02.18,9,8,0,0
2020.02.19,9,8,0,0
2020.02.20,9,8,0,0
2020.02.21,9,8,0,0
2020.02.22,9,8,0,0
2020.02.23,9,8,0,0
2020.02.24,13,8,0,4
2020.02.25,13,8,0,0
2020.02.26,13,8,0,0
2020.02.27,15,8,0,2
2020.02.28,19,8,0,4
2020.02.29,23,8,0,3
2020.03.01,35,8,0,12
2020.03.02,40,8,0,5
2020.03.03,51,8,0,11
2020.03.04,85,8,0,34
2020.03.05,206,8,2,43
2020.03.06,163,8,2,73
2020.03.07,163,8,2,0
2020.03.08,319,18,3,46
2020.03.09,373,18,6,55
2020.03.10,456,18,6,83
2020.03.11,590,18,10,134
2020.03.12,798,18,10,208
2020.03.13,1140,18,21,342
2020.03.14,1140,18,21,342
2020.03.15,1543,18,35,403
2020.03.16,1543,18,35,403
2020.03.17,2626,52,71,676
2020.03.18,2626,65,104,676
2020.03.19,3269,79,144,643
2020.03.20,3983,79,177,714
2020.03.21,5027,98,234,1044
2020.03.22,5683,98,281,656
2020.03.23,6650,98,335,967
2020.03.24,8077,98,422,1427
2020.03.25,9529,140,465,1452
2020.03.26,11658,140,578,2129
2020.03.27,14579,140,759,2921
2020.03.28,17089,151,1019,2510
2020.03.29,19522,151,1228,2433
2020.03.30,22141,151,1408,2619
2020.03.31,22472,179,1793,331
2020.04.01,29842,179,2356,7370
2020.04.02,34123,191,2926,4281
2020.04.03,38681,205,3611,4558
2020.04.04,42433,209,4320,3752
2020.04.05,48388,215,4941,5955
2020.04.06,48451,229,4943,63
2020.04.07,52302,312,5385,3851
2020.04.08,55957,332,6171,3655
2020.04.09,61497,353,7111,5540
2020.04.10,65872,367,7993,4375
2020.04.11,79841,599,9891,13969
2020.04.12,85173,625,10629,5332
2020.04.13,89554,303,11346,4381
2020.04.14,94823,323,12125,5269
2020.04.15,99455,365,12892,4632
2020.04.16,104133,370,13755,4678
2020.04.17,104145,375,13759,4617
2020.04.18,115299,414,15497,11154
2020.04.19,121168,427,16095,5869
2020.04.20,121174,444,16095,6
2020.04.21,125856,603,16550,4682
2020.04.22,134635,644,18141,8779
2020.04.23,139243,701,18790,4608
2020.04.24,144632,712,19559,5389
2020.04.25,149554,737,20380,4922
2020.04.26,149569,778,20381,15
2020.04.27,154038,781,20795,4469
2020.04.28,158353,809,21158,4315
2020.04.29,162350,813,21745,3997
2020.04.30,166443,857,26166,4093
2020.05.01,172481,861,26842,6038
2020.05.02,178689,892,27583,6208
2020.05.03,183500,896,28205,4811
2020.05.04,187842,902,28520,4342
2020.05.05,191832,910,28809,3990
2020.05.06,196244,926,29501,4412
2020.05.07,202359,957,30150,6115
2020.05.08,207977,987,30689,5618
2020.05.09,216525,1001,31662,8548
2020.05.10,216526,1002,31662,1
2020.05.11,224327,1007,32140,7801
2020.05.12,227735,1015,32768,3408
2020.05.13,230984,1025,33263,3249
2020.05.14,234431,1032,33692,3447
2020.05.15,238001,1045,34077,3570
2020.05.16,241454,1049,34546,3453
2020.05.17,241461,1058,34546,7
2020.05.18,244995,1058,34716,3534
2020.05.19,247709,1090,34876,2714
2020.05.20,250141,1101,35422,2432
2020.05.21,252234,1116,36124,2093
2020.05.22,252246,1134,36124,12
2020.05.23,255544,1142,36475,3298
2020.05.24,258511,1142,36757,2967
2020.05.25,260916,1151,36875,2405
2020.05.26,266590,1161,37130,5674
2020.05.27,268615,1162,37542,2025
2020.05.28,268620,1166,37542,5
2020.05.29,270511,1171,37919,1891
2020.05.30,272615,1173,38243,2104
2020.05.31,276156,1187,38571,3541
2020.06.01,276156,1181,38571,0
2020.06.02,277738,1221,39127,1582
2020.06.03,279392,1224,39452,1654
2020.06.04,281270,1212,39811,1878
2020.06.05,284730,1219,40344,3460
2020.06.06,286292,1230,40548,1562
2020.06.07,287621,1239,40625,1329
2020.06.08,288827,1240,40680,1206
2020.06.09,288834,1255,40680,7
2020.06.10,290581,1257,40968,1747
2020.06.11,292854,1269,41364,2273
2020.06.12,294401,1279,41566,1547
2020.06.13,294402,1283,41566,1
2020.06.14,297342,1283,41783,2940
2020.06.15,297342,1284,41783,0
2020.06.16,299594,1284,42054,2252
2020.06.17,299600,1295,42054,6
2020.06.18,301935,1304,42373,2335
2020.06.19,303281,1313,42546,1346
2020.06.20,304580,1319,42674,1299
2020.06.21,305801,1319,42717,1221
2020.06.22,305803,1319,42717,2
2020.06.23,306761,1322,42731,958
2020.06.24,307682,1330,43011,921
2020.06.25,308337,1345,43165,655
2020.06.26,310836,1361,43498,2499
2020.06.27,310837,1363,43498,1
2020.06.28,312640,1364,43634,1803
2020.06.29,313467,1364,43659,827
2020.06.30,313470,1368,43660,3
2020.07.01,314991,1370,43991,1521
2020.07.02,314992,1372,43991,1
2020.07.03,285268,1373,44080,-29724
2020.07.04,285788,1375,44216,520
2020.07.05,286931,1375,44305,1143
2020.07.06,287290,1375,44321,359
2020.07.07,287291,1375,44321,1
2020.07.08,288510,1375,44602,1219
2020.07.09,288512,1378,44602,2
2020.07.10,293015,1378,44735,4503
2020.07.11,289679,1378,44735,-3336
2020.07.12,290504,1378,44883,825
2020.07.13,291155,1378,44904,651
2020.07.14,291691,1384,44915,536
2020.07.15,293469,1386,45138,1778
2020.07.16,293469,1386,45138,0
2020.07.17,294803,1403,45318,1334
2020.07.18,295631,1403,45358,828
2020.07.19,295632,1413,45358,1
2020.07.20,296364,1413,45385,732
2020.07.21,297389,1413,45507,1025
2020.07.22,297391,1414,45507,2
2020.07.23,298721,1416,45639,1330
2020.07.24,299499,1425,45762,778
2020.07.25,300270,1427,45823,771
2020.07.26,300275,1434,45823,5
2020.07.27,301020,1434,45837,745
2020.07.28,301709,1437,45844,689
2020.07.29,303092,1438,46046,1383
2020.07.30,303064,1438,46046,-28
2020.07.31,303913,1439,46084,849
2020.08.01,305572,1441,46278,1659
2020.08.02,306315,1442,46286,743
2020.08.03,306319,1444,46286,4
2020.08.04,307252,1445,46295,933
2020.08.05,307258,1445,46295,6
2020.08.06,307272,1447,46295,14
2020.08.07,309796,1447,46498,2524
2020.08.08,310703,1448,46596,907
2020.08.09,311488,1449,46651,785
2020.08.10,313390,1451,46659,1902
2020.08.11,313393,1464,46611,3
2020.08.12,315560,1465,46791,2167
2020.08.13,315583,1473,46791,23
2020.08.14,315600,1479,46791,17
2020.08.15,318193,1483,46791,2593
2020.08.16,319238,1486,46791,1045
2020.08.17,320345,1490,46791,1107
2020.08.18,321071,1492,41454,726
2020.08.19,322990,1495,41482,1919
2020.08.20,324190,1495,41489,1200
2020.08.21,325239,1544,41491,1049
2020.08.22,326559,1545,41509,1320
2020.08.23,327636,1547,41515,1077
2020.08.24,328617,1549,41519,981
2020.08.25,328628,1550,41519,11
2020.08.26,329883,1551,41535,1255
2020.08.27,332491,1564,41564,2608
2020.08.28,332511,1569,41564,20
2020.08.29,334915,1620,41585,2404
2020.08.30,336641,1624,41586,1726
2020.08.31,338079,1680,41588,1438
2020.09.01,338085,1687,41589,6
2020.09.02,339420,1712,41592,1335
2020.09.03,342684,1750,41615,3264
2020.09.04,342715,1752,41616,31
2020.09.05,346506,1763,41638,3791
2020.09.06,349504,1824,41640,2998
2020.09.07,352448,1824,41643,2944
2020.09.08,354876,1827,41673,2428
2020.09.09,357593,1828,41683,2717
2020.09.10,357614,1841,41697,21
2020.09.11,360544,1847,41697,2930
2020.09.12,367590,1873,41712,7046
2020.09.13,370928,1890,41717,3338
2020.09.14,370930,2152,41717,2
2020.09.15,373559,2156,41726,2629
2020.09.16,376676,2186,41753,3117
2020.09.17,380680,2194,41773,4004
2020.09.18,384090,2203,41794,3410
2020.09.19,388420,2220,41821,4330
2020.09.20,392845,2228,41848,4425
2020.09.21,396744,2228,41877,3899
2020.09.22,401127,2228,41877,4383
2020.09.23,406060,2239,41914,4933
2020.09.24,412249,2254,41951,6189
2020.09.25,425765,2284,41991,13516
2020.09.26,431816,2330,42060,6051
2020.09.27,431824,2339,42060,8
