,confirm,heal,dead,confirm_add
02.01,2,0,0,0
02.02,2,0,0,0
02.03,2,0,0,0
02.04,2,0,0,0
02.05,2,0,0,0
02.06,2,0,0,0
02.07,2,0,0,0
02.08,2,0,0,0
02.09,2,0,0,0
02.10,2,0,0,0
02.11,2,0,0,0
02.12,2,0,0,0
02.13,2,0,0,0
02.14,2,0,0,0
02.15,2,0,0,0
02.16,2,0,0,0
02.17,2,0,0,0
02.18,2,0,0,0
02.19,2,0,0,0
02.20,2,0,0,0
02.21,2,0,0,0
02.22,2,0,0,0
02.23,2,0,0,0
02.24,2,0,0,0
02.25,3,2,0,1
02.26,9,2,0,6
02.27,13,2,0,4
02.28,25,2,0,12
02.29,41,2,0,16
03.01,74,2,0,33
03.02,74,2,0,0
03.03,150,3,0,76
03.04,179,3,1,29
03.05,248,3,2,69
03.06,345,3,5,166
03.07,441,30,8,46
03.08,613,30,17,97
03.09,1046,32,26,433
03.10,1648,32,35,602
03.11,2174,183,49,526
03.12,2968,189,84,794
03.13,4209,189,120,1241
03.14,5753,193,136,1544
03.15,7753,571,195,2000
03.16,9191,571,309,3438
03.17,11178,571,491,3425
03.18,13716,1081,558,2538
03.19,17147,1081,767,3431
03.20,17147,1081,767,0
03.21,25374,2125,1375,8227
03.22,28572,2575,1720,3646
03.23,33089,2575,2182,4517
03.24,39673,3355,2696,6584
03.25,47610,3355,3434,7937
03.26,56188,5367,4089,8578
03.27,64059,7015,4858,7871
03.28,72248,9357,5690,8189
03.29,78797,12285,6528,6549
03.30,85195,14709,7340,6398
03.31,94417,19259,8269,9222
04.01,102136,22647,9053,7719
04.02,110238,26743,10003,8102
04.03,117710,30513,10935,7472
04.04,124736,34219,11744,7026
04.05,130759,38080,12418,6023
04.06,135032,40437,13055,4273
04.07,140510,43208,13798,5478
04.08,146690,48021,14555,6180
04.09,152446,52165,15238,5756
04.10,157022,55668,15843,4576
04.11,161852,59109,16353,4830
04.12,166019,62391,16972,4167
04.13,169496,64727,17489,3477
04.14,172541,67504,18056,3045
04.15,177633,70853,18579,5092
04.16,182816,74797,19130,5183
04.17,184948,74797,19315,2132
04.18,191726,74797,20043,6778
04.19,195944,77357,20453,4218
04.20,200210,80587,20852,4266
04.21,204178,82514,21282,3968
04.22,208389,85915,21717,4211
04.23,213024,89250,22157,4635
04.24,213024,89250,22157,0
