,confirm,heal,dead,confirm_add
2020.01.21,6,0,0,0
2020.01.22,9,0,0,3
2020.01.23,27,0,0,18
2020.01.24,58,0,0,30
2020.01.25,75,0,0,18
2020.01.26,110,0,0,35
2020.01.27,132,0,0,22
2020.01.28,147,0,0,15
2020.01.29,165,1,0,18
2020.01.30,206,1,0,41
2020.01.31,238,1,1,32
2020.02.01,262,3,1,24
2020.02.02,300,7,2,38
2020.02.03,337,9,2,37
2020.02.04,366,14,2,29
2020.02.05,390,15,2,24
2020.02.06,411,24,2,22
2020.02.07,426,31,2,15
2020.02.08,446,39,2,20
2020.02.09,468,51,2,22
2020.02.10,473,60,2,5
2020.02.11,505,79,3,19
2020.02.12,518,102,3,13
2020.02.13,529,128,4,11
2020.02.14,537,152,5,8
2020.02.15,544,184,5,7
2020.02.16,551,207,5,7
2020.02.17,553,225,5,2
2020.02.18,553,254,5,2
2020.02.19,560,274,5,5
2020.02.20,567,299,6,7
2020.02.21,572,316,6,5
2020.02.22,573,328,6,1
2020.02.23,575,335,6,2
2020.02.24,576,349,6,1
2020.02.25,576,372,6,0
2020.02.26,576,384,6,0
2020.02.27,576,401,6,0
2020.02.28,576,422,6,0
2020.02.29,576,438,6,0
2020.03.01,576,450,6,0
2020.03.02,576,469,6,0
2020.03.03,576,490,6,0
2020.03.04,576,502,6,0
2020.03.05,576,502,6,0
2020.03.06,576,520,6,0
2020.03.07,576,526,6,0
2020.03.08,576,527,6,0
2020.03.09,576,542,6,0
2020.03.10,576,547,6,0
2020.03.11,576,554,6,0
2020.03.12,576,564,6,0
2020.03.13,576,566,6,0
2020.03.14,576,569,6,0
2020.03.15,576,570,6,0
2020.03.16,576,570,6,0
2020.03.17,576,570,6,0
2020.03.18,576,570,6,0
2020.03.19,576,570,6,0
2020.03.20,576,570,6,0
2020.03.21,577,570,6,1
2020.03.22,577,570,6,0
2020.03.23,578,570,6,1
2020.03.24,578,570,6,0
2020.03.25,578,570,6,0
2020.03.26,578,570,6,0
2020.03.27,578,570,6,0
2020.03.28,579,570,6,1
2020.03.29,579,570,6,0
2020.03.30,579,570,6,0
2020.03.31,579,570,6,0
2020.04.01,579,570,6,0
2020.04.02,579,570,6,0
2020.04.03,579,570,6,0
