,confirm,heal,dead,confirm_add
01.20,0,0,0,0
01.21,0,0,0,0
01.22,1,0,0,1
01.23,2,0,0,1
01.24,5,0,0,3
01.25,5,0,0,0
01.26,8,0,0,3
01.27,8,0,0,0
01.28,8,0,0,0
01.29,10,0,0,2
01.30,12,0,0,2
01.31,13,0,0,1
02.01,14,0,0,1
02.02,15,0,0,1
02.03,15,0,0,0
02.04,18,0,1,3
02.05,21,0,1,4
02.06,24,0,1,3
02.07,26,0,1,1
02.08,26,0,1,2
02.09,36,0,1,10
02.10,38,0,1,9
02.11,50,1,1,8
02.12,50,1,1,8
02.13,53,1,1,3
02.14,56,1,1,3
02.15,56,1,1,0
02.16,57,2,1,1
02.17,60,2,1,3
02.18,62,4,2,0
02.19,65,5,2,3
02.20,68,5,2,3
02.21,68,6,2,0
02.22,69,11,2,0
02.23,74,11,2,5
02.24,81,19,2,7
02.25,85,18,2,4
02.26,91,24,2,9
02.27,93,26,2,2
02.28,94,30,2,1
02.29,95,33,2,1
03.01,98,36,2,2
03.02,100,36,2,2
03.03,100,37,2,0
03.04,104,43,2,4
03.05,104,46,2,0
03.06,108,51,2,1
03.07,114,58,3,6
03.08,115,59,3,1
03.09,115,60,3,1
03.10,120,65,3,5
03.11,129,67,3,9
03.12,131,75,4,2
03.13,137,78,4,6
03.14,141,81,4,4
03.15,148,84,4,7
03.16,157,88,4,9
03.17,167,92,4,10
03.18,192,95,4,25
03.19,208,98,4,16
03.20,256,98,4,48
03.21,273,100,4,17
03.22,317,100,4,83
03.23,356,101,4,39
03.24,386,102,4,30
03.25,410,106,4,24
03.26,453,110,4,43
03.27,518,111,4,65
03.28,582,112,4,64
03.29,641,118,4,59
03.30,682,124,4,41
03.31,714,128,4,32
04.01,765,147,4,51
04.02,802,154,4,37
04.03,845,173,4,43
04.04,862,186,4,17
04.05,890,206,4,28
04.06,914,216,4,24
04.07,935,236,4,21
04.08,960,264,4,25
04.09,973,293,4,13
04.10,989,309,4,16
04.11,1000,336,4,11
04.12,1004,360,4,4
04.13,1009,397,4,5
04.14,1012,434,4,3
04.15,1016,485,4,4
04.16,1017,485,4,1
04.17,1021,532,4,4
04.18,1023,568,4,2
04.19,1025,602,4,2
04.20,1025,630,4,0
04.21,1029,650,4,4
04.22,1033,678,4,4
04.23,1035,699,4,2
04.24,1035,725,4,0
04.25,1037,753,4,2
04.26,1037,772,4,0
04.27,1037,787,4,0
04.28,1037,811,4,0
04.29,1037,830,4,0
04.30,1037,846,4,0
05.01,1039,859,4,2
05.02,1039,864,4,0
05.03,1039,879,4,0
05.04,1040,900,4,1
05.05,1040,920,4,0
05.06,1040,932,4,0
05.07,1044,944,4,4
05.08,1044,960,4,0
05.09,1044,967,4,0
05.10,1047,982,4,3
05.11,1047,985,4,0
05.12,1047,991,4,0
05.13,1050,1008,4,3
05.14,1051,1009,4,1
05.15,1052,1019,4,1
05.16,1052,1022,4,0
05.17,1055,1024,4,3
05.18,1055,1025,4,0
05.19,1055,1025,4,0
05.20,1055,1026,4,0
05.21,1063,1029,4,8
05.22,1065,1029,4,2
05.23,1065,1029,4,0
05.24,1065,1030,4,0
05.25,1065,1030,4,0
05.26,1065,1033,4,0
05.27,1066,1034,4,1
05.28,1066,1035,4,0
05.29,1079,1035,4,13
05.30,1082,1036,4,3
05.31,1084,1037,4,2
06.01,1087,1037,4,3
06.02,1093,1038,4,6
06.03,1093,1039,4,0
06.04,1099,1042,4,6
06.05,1102,1045,4,3
06.06,1105,1048,4,3
06.07,1106,1049,4,1
06.08,1107,1049,4,1
06.09,1107,1050,4,0
06.10,1107,1051,4,0
06.11,1107,1055,4,0
06.12,1108,1060,4,1
06.13,1109,1061,4,1
06.14,1109,1067,4,0
06.15,1112,1067,4,3
06.16,1112,1069,4,0
06.17,1120,1071,4,8
06.18,1124,1072,4,4
06.19,1127,1074,4,3
06.20,1128,1077,4,1
06.21,1131,1078,5,3
06.22,1161,1078,5,30
06.23,1177,1083,6,16
06.24,1179,1086,6,2
