,confirm,heal,dead,confirm_add
2021.01.13,269,260,4,5
2021.01.14,269,260,4,2
2021.01.15,269,260,4,0
2021.01.16,269,260,4,0
2021.01.17,269,260,4,0
2021.01.18,269,260,4,0
2021.01.19,269,260,4,0
2021.01.20,270,260,4,1
2021.01.21,280,260,4,11
2021.01.22,280,260,4,10
2021.01.23,292,260,4,12
2021.01.24,292,260,4,3
2021.01.25,310,260,4,18
2021.01.26,330,260,4,20
2021.01.27,342,260,4,12
2021.01.28,353,260,4,11
2021.01.29,362,260,4,9
2021.01.30,379,260,4,17
2020.01.31,18,0,0,
2021.02.01,397,260,4,13
2020.02.02,34,2,0,
2021.02.03,407,260,4,4
2020.02.04,63,4,0,
2020.02.05,73,6,0,
2020.02.06,82,6,0,
2020.02.07,94,9,0,12
2021.02.08,410,267,4,0
2020.02.09,114,9,0,14
2021.02.10,410,299,4,0
2021.02.11,410,307,4,0
2021.02.12,410,322,4,0
2021.02.13,410,335,4,0
2021.02.14,410,353,4,0
2021.02.15,410,367,4,0
2021.02.16,410,376,4,0
2021.02.17,410,381,4,0
2021.02.18,410,385,4,0
2021.02.19,410,393,4,0
2021.02.20,410,397,4,0
2021.02.21,410,400,4,0
2021.02.22,410,401,4,0
2021.02.23,410,402,4,0
2021.02.24,410,402,4,0
2021.02.25,410,402,4,0
2021.02.26,410,402,4,0
2020.02.27,198,78,4,0
2020.02.28,198,85,4,
2020.02.29,198,94,4,0
2020.03.01,198,123,4,0
2020.03.02,198,140,4,0
2020.03.03,198,140,4,0
2020.03.04,198,146,4,0
2020.03.05,198,148,4,
2020.03.06,198,148,4,
2020.03.07,198,166,4,
2020.03.08,198,168,4,
2020.03.09,198,173,4,
2020.03.10,198,178,4,
2020.03.11,198,179,4,0
2020.03.12,198,182,4,
2020.03.13,198,186,4,0
2020.03.14,198,186,4,0
2020.03.15,198,187,4,0
2020.03.16,198,188,4,0
2020.03.17,198,189,4,0
2020.03.18,198,190,4,
2020.03.19,198,190,4,
2020.03.20,198,192,4,
2020.03.21,198,192,4,
2020.03.22,198,193,4,0
2020.03.23,198,193,4,0
2020.03.24,198,194,4,0
2020.03.25,198,194,4,0
2020.03.26,198,194,4,0
2020.03.27,198,194,4,0
2020.03.28,198,194,4,0
2020.03.29,198,194,4,0
2020.03.30,198,194,4,0
2020.03.31,198,194,4,0
2020.04.01,198,194,4,0
2020.04.02,198,194,4,0
2020.04.03,198,194,4,0
2020.04.04,198,194,4,0
2020.04.05,198,194,4,0
2020.04.06,198,194,4,0
2020.04.07,198,194,4,0
2020.04.08,198,194,4,0
2020.04.09,198,194,4,0
2020.04.10,199,194,4,1
2020.04.11,200,194,4,1
2020.04.12,202,194,4,2
2020.04.13,209,194,4,7
2020.04.14,209,194,4,7
2020.04.15,217,194,4,8
2020.04.16,221,194,4,4
2020.04.17,224,194,4,3
2020.04.18,231,195,4,7
2020.04.19,235,195,4,4
2020.04.20,238,195,4,3
2020.04.21,244,195,4,6
2020.04.22,251,195,4,7
2020.04.23,254,195,4,3
2020.04.24,256,195,4,2
2020.04.25,257,195,4,1
2020.04.26,259,195,4,2
2020.04.27,260,195,4,1
2020.04.28,263,195,4,3
2020.04.29,263,196,4,0
2020.04.30,263,196,4,0
2020.05.01,263,196,4,0
2020.05.02,263,196,4,0
2020.05.03,263,209,4,0
2020.05.04,263,209,4,0
2020.05.05,263,216,4,0
2020.05.06,263,216,4,0
2020.05.07,263,216,4,0
2020.05.08,263,237,4,0
2020.05.09,263,245,4,0
2020.05.10,264,253,4,1
2020.05.11,264,253,4,1
2020.05.12,264,256,4,0
2020.05.13,264,257,4,0
2020.05.14,264,258,4,0
2020.05.15,264,258,4,0
2020.05.16,264,259,4,0
2020.05.17,264,260,4,0
