,confirm,heal,dead,confirm_add
2020.01.31,80,0,0,21
2020.02.01,95,2,0,15
2020.02.02,118,2,0,23
2020.02.03,155,2,0,37
2020.02.04,190,4,0,35
2020.02.05,227,7,1,37
2020.02.06,277,8,3,50
2020.02.07,295,12,5,19
2020.02.08,307,13,6,26
2020.02.09,331,15,7,24
2020.02.10,360,27,8,29
2020.02.11,378,28,8,18
2020.02.12,395,31,9,17
2020.02.13,418,37,11,23
2020.02.14,425,48,11,7
2020.02.15,445,70,11,20
2020.02.16,457,80,11,12
2020.02.17,464,85,11,7
2020.02.18,470,108,12,6
2020.02.19,476,123,12,6
2020.02.20,479,141,12,3
2020.02.21,479,183,12,0
2020.02.22,480,215,12,1
2020.02.23,480,224,12,0
2020.02.24,480,232,12,0
2020.02.25,480,245,12,0
2020.02.26,480,262,13,0
2020.02.27,480,280,13,0
2020.02.28,480,295,13,0
2020.02.29,480,330,13,0
2020.03.01,480,350,13,0
2020.03.02,480,358,13,0
2020.03.03,480,372,13,0
2020.03.04,481,379,13,1
2020.03.05,481,380,13,0
2020.03.06,481,402,13,0
2020.03.07,481,409,13,0
2020.03.08,481,421,13,0
2020.03.09,481,434,13,0
2020.03.10,482,435,13,1
2020.03.11,482,440,13,0
2020.03.12,482,446,13,0
2020.03.13,482,447,13,0
2020.03.14,482,453,13,0
2020.03.15,482,454,13,0
2020.03.16,482,456,13,0
2020.03.17,482,459,13,0
2020.03.18,482,459,13,0
2020.03.19,484,463,13,1
2020.03.20,484,463,13,0
2020.03.21,484,463,13,0
2020.03.22,484,465,13,0
2020.03.23,484,468,13,0
2020.03.24,484,468,13,0
2020.03.25,484,469,13,0
2020.03.26,484,469,13,0
2020.03.27,484,469,13,0
2020.03.28,484,469,13,0
2020.03.29,484,469,13,0
2020.03.30,484,469,13,0
2020.03.31,484,469,13,0
2020.04.01,488,469,13,4
2020.04.02,489,469,13,1
2020.04.03,491,469,13,2
2020.04.04,504,469,13,13
2020.04.05,524,469,13,20
2020.04.06,544,469,13,20
2020.04.07,569,470,13,25
2020.04.08,609,470,13,40
2020.04.09,638,470,13,29
2020.04.10,661,470,13,23
2020.04.11,684,470,13,23
2020.04.12,740,470,13,56
2020.04.13,819,470,13,79
2020.04.14,841,470,13,22
2020.04.15,861,471,13,20
2020.04.16,872,471,13,11
2020.04.17,892,472,13,20
2020.04.18,898,472,13,6
2020.04.19,905,472,13,7
2020.04.20,913,475,13,8
2020.04.21,921,477,13,8
2020.04.22,925,485,13,4
2020.04.23,928,485,13,3
2020.04.24,930,508,13,2
2020.04.25,935,511,13,5
2020.04.26,936,556,13,1
2020.04.27,939,586,13,3
2020.04.28,939,587,13,0
2020.04.29,939,587,13,0
2020.04.30,944,587,13,5
2020.05.01,944,604,13,0
2020.05.02,944,620,13,0
2020.05.03,944,657,13,0
2020.05.04,944,719,13,0
2020.05.05,944,758,13,0
2020.05.06,944,793,13,0
2020.05.07,944,815,13,0
2020.05.08,944,835,13,0
2020.05.09,945,891,13,1
2020.05.10,945,904,13,1
2020.05.11,945,924,13,0
2020.05.12,945,929,13,0
2020.05.13,945,930,13,0
2020.05.14,945,930,13,0
2020.05.15,945,931,13,0
2020.05.16,945,932,13,0
2020.05.17,945,932,13,0
2020.05.18,945,932,13,0
2020.05.19,945,932,13,0
2020.05.20,945,932,13,0
2020.05.21,945,932,13,0
2020.05.22,945,932,13,0
2020.05.23,945,932,13,0
2020.05.24,945,932,13,0
2020.05.25,945,932,13,0
2020.05.26,945,932,13,0
2020.05.27,945,932,13,0
2020.05.28,945,932,13,0
2020.05.29,945,932,13,0
2020.05.30,945,932,13,0
2020.05.31,945,932,13,0
2020.06.01,945,932,13,0
2020.06.02,945,932,13,0
2020.06.03,947,934,13,0
2020.06.04,947,934,13,0
2020.06.05,947,934,13,0
2020.06.06,947,934,13,0
2020.06.07,947,934,13,0
2020.06.08,947,934,13,0
2020.06.09,947,934,13,0
2020.06.10,947,934,13,0
2020.06.11,947,934,13,0
2020.06.12,947,934,13,0
2020.06.13,947,934,13,0
2020.06.14,947,934,13,0
2020.06.15,947,934,13,0
2020.06.16,947,934,13,0
2020.06.17,947,934,13,0
2020.06.18,947,934,13,0
2020.06.19,947,934,13,0
2020.06.20,947,934,13,0
2020.06.21,947,934,13,0
2020.06.22,947,934,13,0
2020.06.23,947,934,13,0
2020.06.24,947,934,13,0
2020.06.25,947,934,13,0
2020.06.26,947,934,13,0
2020.06.27,947,934,13,0
2020.06.28,947,934,13,0
2020.06.29,947,934,13,0
2020.06.30,947,934,13,0
2020.07.01,947,934,13,0
2020.07.02,947,934,13,0
2020.07.03,947,934,13,0
2020.07.04,947,934,13,0
2020.07.05,947,934,13,0
2020.07.06,947,934,13,0
2020.07.07,947,934,13,0
2020.07.08,947,934,13,0
2020.07.09,947,934,13,0
2020.07.10,947,934,13,0
2020.07.11,947,934,13,0
2020.07.12,947,934,13,0
2020.07.13,947,934,13,0
2020.07.14,947,934,13,0
2020.07.15,947,934,13,0
2020.07.16,947,934,13,0
2020.07.17,947,934,13,0
2020.07.18,947,934,13,0
2020.07.19,947,934,13,0
2020.07.20,947,934,13,0
2020.07.21,947,934,13,0
2020.07.22,947,934,13,0
2020.07.23,947,934,13,0
