,confirm,heal,dead,confirm_add
02.24,1,0,0,0
02.25,1,0,0,0
02.26,1,0,0,0
02.27,1,0,0,0
02.28,1,0,0,0
03.01,1,0,0,0
03.02,1,0,0,0
03.03,1,0,0,0
03.04,1,0,0,0
03.05,1,0,0,0
03.06,1,0,0,0
03.07,4,0,0,3
03.08,4,0,0,0
03.09,4,0,0,0
03.10,5,0,0,1
03.11,7,0,0,2
03.12,7,0,0,0
03.13,7,0,0,0
03.14,10,0,0,3
03.15,16,0,0,6
03.16,21,0,0,5
03.17,22,0,0,1
03.18,22,0,0,0
03.19,22,0,0,0
03.20,24,0,0,2
03.21,24,1,0,0
03.22,34,0,0,10
03.23,40,0,1,6
03.24,42,0,1,2
03.25,80,0,2,38
03.26,84,0,2,4
03.27,95,0,2,11
03.28,110,0,2,15
03.29,117,2,4,7
03.30,145,2,4,28
03.31,174,5,4,29
04.01,196,5,4,22
04.02,239,10,4,43
04.03,273,10,6,34
04.04,299,10,7,26
04.05,337,15,7,38
04.06,367,17,7,30
04.07,423,18,14,56
04.08,423,18,14,0
04.09,484,32,15,61
04.10,521,32,15,37
04.11,555,32,18,34
04.12,607,32,18,52
04.13,665,32,21,58
04.14,714,40,23,49
04.15,784,43,25,70
04.16,840,54,30,56
04.17,906,99,30,66
04.18,933,112,30,27
04.19,993,131,32,60
04.20,1026,131,33,33
04.21,1092,150,36,66
04.22,1176,166,40,84
04.23,1279,179,42,103
04.24,1351,188,43,72
04.25,1463,188,47,112
04.26,1531,207,50,68
04.27,1703,220,57,172
04.28,1828,228,58,125
04.29,1939,252,60,111
04.30,2171,260,64,232
05.01,2335,310,68,164
05.02,2469,331,72,134
05.03,2469,331,72,0
05.04,2894,397,90,425
05.05,3224,421,95,330
05.06,3392,458,104,168
05.07,3563,468,106,171
05.08,3778,472,109,215
05.09,4033,502,115,255
05.10,4402,558,120,369
05.11,4687,558,122,285
05.12,4963,610,127,276
05.13,5226,648,132,263
05.14,5639,691,136,413
05.15,6053,745,153,414
05.16,6402,745,168,349
05.17,6664,778,169,262
05.18,7072,801,173,408
05.19,7653,850,178,581
05.20,8145,930,187,492
05.21,8676,938,193,531
05.22,9216,996,205,540
05.23,9998,1040,216,782
05.24,10582,1075,218,584
05.25,11173,1097,219,591
05.26,11831,1128,220,658
05.27,12456,1138,227,625
05.28,13036,1209,235,580
05.29,13659,1259,246,623
05.30,14525,1303,249,866
05.31,15205,1328,257,680
06.01,15750,1428,265,545
06.02,16492,1450,270,742
06.03,16509,1450,270,17
06.04,18054,1585,300,1545
06.05,18969,1762,309,915
06.06,19551,1820,320,582
06.07,20342,1875,357,791
06.08,20917,2171,369,575
06.09,21459,2651,384,542
06.10,22142,3013,405,683
06.11,22890,3326,426,748
06.12,23546,3928,446,656
06.13,24102,4201,451,556
06.14,24766,4725,471,664
06.15,25527,5164,476,761
06.16,26310,5508,491,783
06.17,26874,6158,504,564
06.18,27532,7660,546,658
06.19,27878,7962,548,346
06.20,28424,8292,569,546
06.21,28833,8764,581,409
06.22,29143,8841,598,310
06.23,29481,9260,618,338
06.24,29640,9869,639,159
06.25,30175,10174,675,535
06.26,30451,10306,683,276
06.27,30616,10674,703,165
06.28,30967,12604,721,351
06.29,31238,13934,733,271
06.30,31517,14131,746,279
07.01,31836,15651,774,319
07.02,32022,16041,807,186
07.03,32324,17331,819,302
07.04,32672,19164,826,348
07.05,32951,19366,864,279
07.06,33190,20103,898,239
07.07,33384,20179,920,194
07.08,33594,20305,936,210
07.09,33908,20847,957,314
07.10,34194,20882,971,286
07.11,34366,21135,994,172
07.12,34451,21216,1010,85
07.13,34455,21254,1012,4
07.14,34740,21454,1048,285
07.15,34994,22456,1094,254
07.16,35070,22824,1113,76
07.17,35229,23151,1147,159
07.18,35289,23243,1147,60
07.19,35475,23634,1181,186
07.20,35526,23741,1185,51
07.21,35615,23741,1186,89
07.22,35727,23924,1190,112
07.23,35915,24538,1211,188
07.24,35981,24602,1225,66
07.25,36036,24793,1248,55
07.26,36157,25180,1259,121
07.27,36263,25198,1269,106
07.28,36368,25358,1270,105
07.29,36471,25389,1271,103
07.30,36542,25471,1271,71
07.31,36675,25509,1272,133
08.01,36710,25509,1283,35
08.02,36710,25509,1283,0
08.03,36710,25510,1284,0
08.04,36747,25669,1288,37
08.05,36829,25742,1294,82
08.06,36896,25840,1298,67
08.07,37015,25903,1307,119
08.08,37054,25960,1312,39
08.09,37054,25960,1312,0
08.10,37162,26228,1328,108
08.11,37269,26415,1344,107
08.12,37345,26694,1354,76
08.13,37424,26714,1363,79
08.14,37431,26714,1363,7
08.15,37550,27166,1369,119
08.16,37596,27166,1375,46
08.17,37599,27166,1375,3
08.18,37599,27166,1375,0
08.19,37599,27166,1375,0
08.20,37856,27681,1385,257
08.21,37894,28016,1385,38
08.22,37953,28016,1385,59
08.23,37999,28180,1387,46
08.24,38054,28360,1389,55
08.25,38070,28440,1397,16
08.26,38113,29042,1401,43
08.27,38129,29046,1401,16
08.28,38140,29059,1402,11
08.29,38143,29063,1402,3
08.30,38162,29089,1402,19
08.31,38165,29089,1402,3
09.01,38196,29231,1406,31
09.02,38243,29315,1409,47
09.03,38288,29390,1409,45
09.04,38304,29713,1409,16
09.05,38324,30082,1409,20
09.06,38398,30537,1412,74
09.07,38494,30557,1415,96
09.08,38520,30715,1418,26
09.09,38544,31048,1420,24
09.10,38572,31129,1420,28
09.11,38606,31154,1420,34
09.12,38641,31234,1420,35
09.13,38716,31638,1420,75
09.14,38772,32073,1425,56
09.15,38815,32098,1426,43
09.16,38855,32503,1436,40
09.17,38872,32505,1436,17
09.18,38883,32576,1437,11
09.19,38919,32576,1437,36
09.20,39044,32576,1441,125
09.21,39074,32576,1444,30
09.22,39096,32576,1445,22
09.23,39145,32610,1446,49
09.24,39170,32619,1451,25
09.25,39186,32619,1451,16
09.26,39192,32635,1453,6
09.27,39227,32642,1453,35
09.28,39233,32642,1455,6
09.29,39254,32746,1458,21
09.30,39268,32789,1458,14
10.01,39285,32842,1458,17
10.02,39290,32842,1458,5
10.03,39297,32842,1462,7
10.04,39341,32852,1462,44
10.05,39422,32879,1466,81
10.06,39486,32977,1467,64
10.07,39548,33045,1469,62
10.08,39616,33058,1470,68
10.09,39693,33058,1472,77
10.10,39703,33064,1473,10
10.11,39799,33114,1477,96
10.12,39870,33118,1479,71
10.13,39928,33308,1480,58
10.14,39994,33354,1481,66
10.15,40026,33447,1481,32
10.16,40073,33516,1485,47
10.17,40141,33561,1488,68
10.18,40200,33614,1492,59
10.19,40287,33760,1497,87
10.20,40357,33790,1499,70
10.21,40510,33824,1501,153
10.22,40626,33831,1505,116
10.23,40687,34010,1507,61
10.24,40768,34023,1511,81
10.25,40833,34129,1514,65
10.26,40937,34150,1518,104
10.27,41032,34217,1523,95
10.28,41145,34237,1529,113
10.29,41268,34239,1532,123
10.30,41334,34258,1533,66
10.31,41425,34321,1536,91
11.01,41501,34326,1536,76
11.02,41633,34342,1541,132
11.03,41728,34355,1544,95
11.04,41814,34362,1548,86
11.05,41935,34440,1554,121
11.06,41975,34440,1554,40
11.07,42033,34446,1556,58
11.08,42092,34458,1558,59
11.09,42297,34721,1574,205
11.10,42297,34721,1574,0
11.11,42463,34954,1577,166
11.12,42795,35024,1591,332
11.13,42969,35036,1595,174
11.14,43035,35067,1605,66
11.15,43240,35092,1617,205
11.16,43403,35137,1626,163
11.17,43628,35160,1638,225
11.18,43851,35295,1645,223
11.19,44228,35350,1650,377
11.20,44443,35370,1661,215
11.21,44503,35422,1675,60
11.22,44706,35934,1687,203
11.23,44988,35976,1695,282
11.24,45280,36122,1712,292
11.25,45490,36145,1725,210
11.26,45716,36232,1737,226
11.27,45839,36295,1740,123
11.28,45966,36709,1752,127
11.29,46215,36731,1763,249
11.30,46498,36788,1774,283
12.01,46717,36907,1797,219
12.02,46980,37026,1822,263
12.03,46718,37218,1841,-262
12.04,46837,37260,1846,119
12.05,47072,37393,1864,235
12.06,47306,37685,1874,234
12.07,47516,37879,1900,210
12.08,47716,37920,1906,200
12.09,47851,38032,1919,135
12.10,48053,38099,1935,202
12.11,48116,38141,1945,63
12.12,48229,38200,1956,113
12.13,48527,38250,1965,298
12.14,48718,38252,1969,191
12.15,48952,38336,1995,234
12.16,49161,38475,2011,209
12.17,49378,38505,2025,217
12.18,49621,38540,2030,243
12.19,49681,38613,2047,60
12.20,49817,39006,2067,136
12.21,50013,39508,2082,196
12.22,50190,39585,2096,177
12.23,50433,39692,2117,243
12.24,50655,40359,2126,222
12.25,50810,40444,2139,155
12.26,50886,40784,2149,76
12.27,51039,41096,2160,153
12.28,51172,41366,2172,133
12.29,51350,41543,2179,178
12.30,51350,41543,2179,0
12.31,51526,41727,2191,176
01.01,51526,41727,2191,0
01.02,51526,41727,2191,0
01.03,51526,41727,2191,0
01.04,51526,41727,2191,0
01.05,53011,42530,2237,1485
01.06,53105,42666,2244,94
01.07,53105,42666,2244,0
01.08,53332,43440,2257,227
01.09,53400,43740,2264,68
01.10,53489,43948,2277,89
01.11,53538,44137,2288,49
01.12,53584,44608,2301,46
01.13,53584,44850,2301,0
01.14,53775,45298,2314,191
01.15,53831,45434,2324,56
01.16,53938,45465,2336,107
01.17,53984,45868,2339,46
01.18,53984,46359,2339,0
01.19,54141,46554,2346,157
01.20,54141,46759,2346,0
01.21,54403,46887,2363,262
01.22,54483,46912,2370,80
01.23,54559,46943,2373,76
01.24,54595,47298,2378,36
01.25,54672,47365,2385,77
01.26,54750,47459,2389,78
01.27,54854,47549,2389,104
01.28,54891,47583,2397,37
01.29,54939,47606,2399,48
01.30,55008,47609,2400,69
01.31,55023,47679,2400,15
02.01,55059,47723,2404,36
02.02,55121,47798,2405,62
02.03,55174,47982,2406,53
02.04,55231,47995,2407,57
02.05,55265,48018,2407,34
02.06,55265,48027,2407,0
02.07,55335,48041,2410,70
02.08,55359,48042,2413,24
02.09,55384,48109,2414,25
02.10,55402,48133,2418,18
02.11,55420,48279,2419,18
02.12,55445,48390,2424,25
02.13,55473,48392,2427,28
02.14,55492,48395,2427,19
02.15,55514,48433,2427,22
02.16,55518,48514,2428,4
02.17,55540,48626,2428,22
02.18,55557,48798,2430,17
02.19,55557,48803,2430,0
02.20,55580,48820,2430,23
02.21,55604,48834,2432,24
02.22,55617,48895,2433,13
02.23,55646,48967,2435,29
02.24,55664,49086,2436,18
02.25,55680,49281,2438,16
02.26,55696,49285,2442,16
02.27,55707,49285,2443,11
02.28,55714,49333,2443,7
03.01,55733,49344,2444,19
03.02,55759,49347,2446,26
03.03,55770,49359,2446,11
03.04,55775,49362,2446,5
03.05,55827,49362,2449,52
03.06,55840,49369,2449,13
03.07,55847,49378,2449,7
03.08,55876,49402,2451,29
03.09,55876,49409,2451,0
03.10,55894,49499,2451,18
03.11,55917,49499,2451,23
03.12,55959,49499,2454,42
03.13,55959,49471,2454,0
03.14,55985,49477,2457,26
03.15,55985,49481,2459,0
03.16,55995,49499,2460,10
03.17,56016,49536,2460,21
03.18,56044,49664,2462,28
03.19,56069,49681,2462,25
03.20,56093,49681,2462,24
03.21,56103,49737,2463,10
03.22,56153,49743,2464,50
03.23,56177,49752,2466,24
03.24,56192,49802,2466,15
03.25,56226,49937,2467,34
03.26,56254,49994,2467,28
03.27,56290,49994,2469,36
03.28,56294,50013,2470,4
03.29,56322,50666,2472,28
03.30,56384,51473,2476,62
03.31,56454,51550,2484,70
04.01,56517,51788,2489,63
04.02,56517,51798,2489,0
04.03,56595,51798,2496,78
04.04,56676,51802,2497,81
04.05,56676,51902,2497,0
04.06,56779,51928,2512,103
04.07,56873,51940,2512,94
04.08,56943,51956,2516,70
04.09,56943,51956,2516,0
04.10,57019,51961,2521,76
04.11,57144,51989,2521,125
04.12,57242,52005,2529,98
04.13,57364,52013,2529,122
04.14,57492,52022,2532,128
04.15,57534,52083,2533,42
04.16,57612,52105,2535,78
04.17,57612,52116,2535,0
04.18,57793,52168,2539,181
04.19,57898,52244,2546,105
