,confirm,heal,dead,confirm_add
03.10,6,0,0,4
03.11,12,0,1,6
03.12,15,0,1,3
03.13,33,0,1,17
03.14,33,0,1,0
03.15,38,0,1,5
03.16,42,0,1,4
03.17,42,0,1,0
03.18,55,0,1,13
03.19,55,0,1,0
03.20,64,0,1,9
03.21,70,0,1,6
03.22,76,0,2,6
03.23,89,2,4,13
03.24,104,5,4,15
03.25,123,10,5,19
03.26,146,10,5,23
03.27,186,10,8,30
03.28,197,10,8,11
03.29,212,10,8,15
03.30,212,33,10,0
03.31,243,52,13,31
04.01,259,67,15,16
04.02,277,67,16,18
04.03,304,89,16,27
04.04,333,99,18,29
04.05,361,104,20,28
04.06,377,116,21,16
04.07,383,131,22,6
04.08,400,154,22,17
04.09,409,165,22,9
04.10,416,182,23,7
04.11,433,197,23,17
04.12,446,217,23,13
04.13,467,232,23,21
04.14,475,248,24,8
04.15,494,251,25,19
04.16,518,277,26,24
04.17,539,283,26,21
04.18,548,302,26,9
04.19,562,314,26,14
04.20,584,327,26,22
04.21,609,345,26,25
04.22,634,356,27,25
04.23,663,385,27,29
04.24,678,394,27,15
04.25,712,403,27,34
04.26,726,410,28,14
04.27,726,410,28,0
04.28,750,431,30,24
04.29,766,455,30,16
04.30,773,470,31,7
05.01,773,470,31,0
05.02,789,519,31,16
05.03,789,519,31,0
05.04,803,543,31,14
05.05,820,570,31,17
05.06,832,595,31,12
05.07,842,605,31,10
05.08,850,620,31,8
05.09,856,627,31,6
05.10,868,650,31,12
05.11,872,654,31,4
05.12,876,682,31,4
05.13,880,688,31,4
05.14,898,694,31,18
05.15,916,705,31,18
05.16,933,714,31,17
05.17,946,715,31,13
05.18,948,727,31,2
05.19,949,742,31,1
05.20,964,758,31,15
05.21,969,771,31,5
05.22,981,777,31,12
05.23,989,783,31,8
05.24,998,789,32,9
05.25,1004,795,32,6
05.26,1029,803,33,25
05.27,1050,812,33,21
05.28,1076,823,33,26
05.29,1099,851,33,23
05.30,1122,857,33,23
05.31,1136,872,33,14
06.01,1143,877,33,7
06.02,1164,891,33,21
06.03,1164,891,33,0
06.04,1197,898,33,33
06.05,1212,910,33,15
06.06,1232,925,34,20
06.07,1246,938,34,14
06.08,1263,945,34,17
06.09,1299,960,34,36
06.10,1341,980,34,42
06.11,1385,1001,35,44
06.12,1416,1034,36,31
06.13,1464,1039,36,48
06.14,1521,1044,36,57
06.15,1590,1055,36,69
06.16,1672,1064,37,82
06.17,1722,1077,38,50
06.18,1788,1086,39,66
06.19,1838,1114,42,50
06.20,1891,1126,43,53
06.21,1962,1134,44,71
06.22,1995,1159,44,33
06.23,2047,1195,45,52
06.24,2114,1217,47,67
06.25,2192,1250,48,78
06.26,2269,1298,51,77
06.27,2330,1346,53,61
06.28,2402,1384,55,72
06.29,2466,1438,58,64
06.30,2535,1459,62,69
07.01,2580,1516,65,45
07.02,2662,1559,69,82
07.03,2752,1592,72,90
07.04,2819,1637,74,67
07.05,2893,1657,76,74
07.06,2964,1702,79,71
07.07,3038,1744,81,74
07.08,3106,1791,83,68
07.09,3188,1832,83,82
07.10,3278,1875,85,90
07.11,3371,1881,89,93
07.12,3454,1946,93,83
07.13,3571,2014,95,117
07.14,3667,2062,97,96
07.15,3752,2091,101,85
07.16,3851,2137,104,99
07.17,3906,2214,107,55
07.18,3906,2214,107,0
07.19,4008,2264,111,102
07.20,4090,2311,112,82
07.21,4290,2397,117,200
07.22,4290,2397,117,0
07.23,4466,2523,123,176
07.24,4570,2608,128,104
07.25,4637,2637,134,67
07.26,4637,2637,134,0
07.27,4763,2682,138,126
07.28,4880,2745,144,117
07.29,5105,2830,150,225
07.30,5105,2830,150,0
07.31,5197,2883,154,92
08.01,5396,2961,161,199
08.02,5519,3018,166,123
08.03,5519,3018,166,0
08.04,5750,3031,176,231
08.05,5889,3123,182,139
08.06,5889,3123,182,0
08.07,6016,3155,188,127
08.08,6151,3227,189,135
08.09,6275,3268,193,124
08.10,6536,3379,200,261
08.11,6676,3480,205,140
08.12,6676,3480,205,0
08.13,6971,3616,213,295
08.14,7117,3695,219,146
08.15,7117,3695,219,0
08.16,7260,3746,225,143
08.17,7380,3794,228,120
08.18,7499,3816,230,119
08.19,7654,3871,232,155
08.20,7967,3986,238,313
08.21,7967,3986,238,0
08.22,8119,4096,240,152
08.23,8275,4184,245,156
08.24,8427,4332,250,152
08.25,8759,4530,259,332
08.26,8927,4633,263,168
08.27,9083,4791,266,156
08.28,9083,4791,266,0
08.29,9279,5020,275,196
08.30,9279,5020,275,0
08.31,9380,5139,280,101
09.01,9513,5214,284,133
09.02,9606,5441,290,93
09.03,9728,5582,296,122
09.04,9967,5882,306,239
09.05,10102,5976,312,135
09.06,10102,5976,312,0
09.07,10406,6186,319,304
09.08,10406,6186,319,0
09.09,10553,6239,321,147
09.10,10704,6284,322,151
09.11,10860,6346,324,156
09.12,11021,6443,327,161
09.13,11185,6494,330,164
09.14,11353,6569,334,168
09.15,11520,6615,338,167
09.16,11816,6733,343,296
09.17,11816,6733,343,0
09.18,11948,6788,347,132
09.19,12226,6888,358,278
09.20,12385,6940,362,159
09.21,12385,6940,362,0
09.22,12656,6995,367,271
09.23,12787,7139,370,131
09.24,12787,7139,370,0
09.25,12921,7239,370,134
09.26,13153,7397,375,232
09.27,13259,7397,377,106
09.28,13259,7534,377,0
09.29,13518,7732,384,259
09.30,13649,7847,387,131
10.01,13806,8077,388,157
10.02,13965,8342,389,159
10.03,14117,8536,392,152
10.04,14117,8536,392,0
10.05,14410,8825,400,293
10.06,14410,8825,400,0
10.07,14730,9115,407,320
10.08,14730,9115,407,0
10.09,15066,9304,413,336
10.10,15231,9406,416,165
10.11,15399,9500,420,168
10.12,15570,9585,424,171
10.13,15752,9675,429,182
10.14,15955,9762,434,203
10.15,16212,9864,439,257
10.16,16501,9957,443,289
10.17,16774,10001,448,273
10.18,17055,10071,451,281
10.19,17350,10167,454,295
10.20,17651,10225,458,301
10.21,17948,10341,462,297
10.22,18250,10395,465,302
10.23,18556,10466,469,306
10.24,18858,10548,473,302
10.25,18858,10548,473,0
10.26,19157,10654,477,299
10.27,19445,10705,480,288
10.28,19729,10808,487,284
10.29,20040,10893,493,311
10.30,20315,11007,499,275
10.31,20634,11097,502,319
11.01,20875,11189,509,241
11.02,21202,11246,518,327
11.03,21523,11367,527,321
11.04,21904,11473,532,381
11.05,22300,11578,536,396
11.06,22721,11696,543,421
11.07,23210,11861,549,489
11.08,23705,12002,557,495
11.09,24206,12092,559,501
11.10,24731,12203,571,525
11.11,25294,12353,579,563
11.12,25801,12493,590,507
11.13,26211,12574,598,410
11.14,26701,12667,605,490
11.15,27233,12767,612,532
11.16,27830,12889,623,597
11.17,28432,13453,631,602
11.18,29126,13804,637,694
11.19,29837,14216,646,711
11.20,30623,14565,657,786
11.21,31459,15055,672,836
11.22,32196,15469,685,737
11.23,32761,15842,699,565
11.24,33556,16230,716,795
11.25,34300,16666,735,744
11.26,34944,17031,743,644
11.27,36245,17755,771,1301
11.28,36245,17755,771,0
11.29,36790,18152,787,545
11.30,37625,18481,798,835
12.01,38182,18849,810,557
12.02,39014,19384,822,832
12.03,39719,19912,839,705
12.04,40501,20974,870,782
12.05,42148,21286,889,1647
12.06,42148,21286,889,0
12.07,42988,21617,905,840
12.08,43683,22180,922,695
12.09,44436,22527,936,753
12.10,45188,23072,951,752
12.11,46061,23609,965,873
12.12,46863,24136,977,802
12.13,47742,24520,989,879
12.14,48530,24820,1003,788
12.15,49191,24820,1016,661
12.16,50000,25876,1028,809
12.17,50637,26381,1040,637
12.18,51424,26898,1055,787
12.19,52004,27426,1066,580
12.20,52542,27831,1074,538
12.21,53003,28121,1088,461
12.22,53425,28752,1098,422
12.23,53814,29249,1111,389
12.24,54317,29799,1117,503
12.25,54827,30276,1125,510
12.26,55380,30790,1134,553
12.27,55755,31181,1143,375
12.28,56254,31565,1153,499
12.29,56572,32122,1164,318
12.30,57146,32700,1170,574
12.31,57727,33185,1174,581
01.01,58316,33634,1181,589
01.02,58316,33634,1181,0
01.03,58991,34353,1190,675
01.04,59438,34648,1193,447
01.05,59623,34996,1199,185
01.06,60283,35551,1210,660
01.07,61008,36102,1217,725
01.08,61705,36535,1223,697
01.09,62378,36971,1230,673
01.10,63033,37327,1233,655
01.11,63595,37648,1241,562
01.12,63971,37981,1247,376
01.13,64627,38421,1252,656
01.14,65334,38860,1256,707
01.15,65994,39246,1261,660
01.16,66635,39625,1265,641
01.17,67216,40090,1270,581
01.18,67690,40453,1277,474
01.19,67982,40870,1281,292
01.20,68568,41464,1287,586
01.21,69238,41969,1291,670
01.22,69916,42426,1296,678
01.23,70655,42895,1303,739
01.24,71441,43384,1310,786
01.25,72274,43890,1315,833
01.26,72812,44291,1324,538
01.27,73691,44880,1332,879
01.28,74567,45383,1339,876
01.29,75454,45906,1350,887
01.30,76350,46420,1358,896
01.31,77251,46927,1369,901
02.01,78127,47424,1380,876
02.02,78992,47922,1393,865
02.03,79934,48377,1398,942
02.04,80941,48958,1404,1007
02.05,81993,49543,1418,1052
02.06,83082,50219,1433,1089
02.07,84212,50875,1446,1130
02.08,85336,51444,1460,1124
02.09,86289,52128,1472,953
02.10,87528,52933,1488,1239
02.11,88671,53616,1503,1143
02.12,89776,54362,1517,1105
02.13,90835,55243,1531,1059
02.14,91987,55983,1543,1152
02.15,93075,56764,1555,1088
02.16,93850,57736,1567,775
02.17,94651,58794,1582,801
02.18,95726,59684,1600,1075
02.19,96838,60675,1617,1112
02.20,97909,61605,1636,1071
02.21,99062,62533,1653,1153
02.22,100246,63329,1666,1184
02.23,101285,64318,1681,1039
02.24,102306,65403,1696,1021
02.25,103327,66309,1715,1021
02.26,104313,67158,1736,986
02.27,105229,68007,1756,916
02.28,106215,68969,1775,986
03.01,107167,69773,1796,952
03.02,107931,70413,1816,764
03.03,108823,71173,1835,892
03.04,109674,72076,1856,851
03.05,110521,72853,1876,847
03.06,111301,73610,1897,780
03.07,112078,74352,1918,777
03.08,112897,75190,1939,819
03.09,113580,75887,1956,683
03.10,114209,76784,1969,629
03.11,114840,77498,1986,631
03.12,115442,78259,2002,602
03.13,116123,79131,2018,681
03.14,116821,79821,2030,698
03.15,117474,80483,2045,653
03.16,118017,81061,2060,543
03.17,118492,81810,2077,475
03.18,118938,82554,2092,446
03.19,119528,83264,2106,590
03.20,120022,83954,2122,494
03.21,120541,84625,2133,519
03.22,121200,85147,2137,659
03.23,121544,85846,2145,344
03.24,121847,86497,2156,303
03.25,122295,87193,2171,448
03.26,122767,87760,2184,472
03.27,123216,88349,2192,449
03.28,123641,88899,2204,425
03.29,124134,89456,2210,493
03.30,124419,90024,2216,285
03.31,124723,90617,2227,304
04.01,125157,91271,2235,434
04.02,125506,91875,2241,349
04.03,125842,92500,2247,336
04.04,126183,93173,2256,341
04.05,126531,93842,2265,348
04.06,126795,94431,2274,264
04.07,126936,95035,2283,141
04.08,127192,95600,2291,256
04.09,127509,96129,2297,317
04.10,127795,96672,2304,286
04.11,128155,97206,2310,360
04.12,128393,97723,2317,238
04.13,128518,98269,2321,125
04.14,128752,98903,2326,234
04.15,128959,99441,2331,207
04.16,129128,100013,2335,169
04.17,129307,100600,2337,179
04.18,129456,101142,2340,149
04.19,129594,101584,2342,138
04.20,129694,102171,2347,100
04.21,129842,102601,2353,148
04.22,129980,103066,2358,138
