,confirm,heal,dead,confirm_add
02.26,1,0,0,1
02.27,1,0,0,0
02.28,1,0,0,0
02.29,1,0,0,0
03.01,1,0,0,0
03.02,3,0,0,2
03.03,5,0,0,2
03.04,8,0,0,3
03.05,17,0,0,9
03.06,17,0,0,0
03.07,19,0,0,2
03.08,20,0,0,1
03.09,20,0,0,0
03.10,20,0,0,0
03.11,20,0,0,0
03.12,25,8,1,5
03.13,26,10,2,1
03.14,37,12,3,10
03.15,48,12,4,11
03.16,54,12,4,6
03.17,60,12,4,6
03.18,72,12,6,18
03.19,82,32,8,10
03.20,90,32,9,8
03.21,102,32,9,12
03.22,139,32,15,37
03.23,201,32,17,62
03.24,230,32,17,29
03.25,264,32,19,34
03.26,302,32,21,38
03.27,367,32,25,62
03.28,409,32,26,42
03.29,454,32,29,45
03.30,511,32,31,57
03.31,584,37,35,73
04.01,716,46,44,132
04.02,847,61,58,131
04.03,986,61,86,139
04.04,1171,62,105,185
04.05,1251,90,130,80
04.06,1320,90,152,69
04.07,1423,90,173,103
04.08,1468,113,193,45
04.09,1572,237,205,104
04.10,1666,347,235,94
04.11,1761,405,256,95
04.12,1825,460,275,64
04.13,1914,591,293,89
04.14,1983,601,313,69
04.15,2070,691,326,87
04.16,2160,708,336,90
04.17,2268,783,348,108
04.18,2418,846,364,150
04.19,2534,894,367,116
04.20,2629,1047,375,95
04.21,2718,1099,384,89
04.22,2811,1152,392,93
04.23,2910,1204,402,99
04.24,3007,1355,407,97
04.25,3127,1408,415,120
04.26,3256,1479,419,129
04.27,3382,1508,425,126
04.28,3517,1558,432,135
04.29,3649,1651,437,132
04.30,4006,1779,450,357
05.01,4006,1779,450,0
05.02,4295,1872,459,289
05.03,4295,1872,459,0
05.04,4474,1936,463,179
05.05,4838,2067,470,364
05.06,4997,2197,476,159
05.07,4997,2197,476,0
05.08,5182,2323,483,185
05.09,5558,2546,494,376
05.10,5723,2678,502,165
05.11,5891,2841,507,168
05.12,5891,2841,507,0
05.13,6253,3058,522,362
05.14,6253,3058,522,0
05.15,6442,3158,529,189
05.16,6629,3271,536,187
05.17,7019,3507,548,390
05.18,7019,3507,548,0
05.19,7201,3625,555,182
05.20,7377,3746,561,176
05.21,7542,3968,568,165
05.22,7728,4062,575,186
05.23,7918,4256,582,190
05.24,8113,4426,592,195
05.25,8306,4578,600,193
05.26,8503,4747,609,197
05.27,8697,4918,617,194
05.28,8857,5129,623,160
05.29,8997,5277,630,140
05.30,9134,5422,638,137
05.31,9267,5549,646,133
06.01,9394,5748,653,127
06.02,9513,5894,661,119
06.03,9626,6067,667,113
06.04,9733,6218,673,107
06.05,9831,6297,681,98
06.06,9935,6453,690,104
06.07,10050,6631,698,115
06.08,10154,6717,707,104
06.09,10265,6799,715,111
06.10,10382,6951,724,117
06.11,10484,7074,732,102
06.12,10589,7255,741,105
06.13,10698,7322,751,109
06.14,10810,7420,760,112
06.15,10919,7606,767,109
06.16,11031,7735,777,112
06.17,11147,7842,788,116
06.18,11268,7943,799,121
06.19,11385,8078,811,117
06.20,11504,8196,825,119
06.21,11631,8324,837,127
06.22,11771,8422,845,140
06.23,11920,8559,852,149
06.24,12076,8674,861,156
06.25,12248,8792,869,172
06.26,12445,8920,878,197
06.27,12685,9066,885,240
06.28,12968,9202,892,283
06.29,13273,9371,897,305
06.30,13571,9674,905,298
07.01,13907,9897,912,336
07.02,14272,10040,920,365
07.03,14657,10342,928,385
07.04,15070,10832,937,413
07.05,15500,11181,946,430
07.06,15941,11492,952,441
07.07,16404,11884,959,463
07.08,16879,12094,968,475
07.09,17348,12329,978,469
07.10,17808,12637,988,460
07.11,18242,13124,996,434
07.12,18712,13124,1004,470
07.13,19195,13743,1011,483
07.14,19689,14019,1018,494
07.15,20216,14295,1028,527
07.16,20770,14792,1040,554
07.17,21355,15107,1052,585
07.18,21948,15430,1057,593
07.19,22549,15744,1068,601
07.20,23084,16051,1078,535
07.21,23691,16400,1087,607
07.22,24278,16646,1100,587
07.23,24872,16983,1111,594
07.24,25484,17369,1124,612
07.25,26159,17369,1136,675
07.26,26764,18076,1146,605
07.27,27357,18088,1155,593
07.28,27973,18837,1163,616
07.29,28615,19233,1174,642
07.30,29229,19592,1186,614
07.31,29831,20082,1200,602
08.01,30394,20537,1210,563
08.02,30950,20988,1223,556
08.03,31465,21419,1231,515
08.04,31972,21901,1239,507
08.05,33055,22375,1261,1083
08.06,33055,22802,1261,0
08.07,33626,23238,1273,571
08.08,34155,23667,1282,529
08.09,34693,24083,1293,538
08.10,35214,24506,1302,521
08.11,35712,24920,1312,498
08.12,36204,25263,1322,492
08.13,36699,25627,1333,495
08.14,37187,26004,1341,488
08.15,37664,26308,1351,477
08.16,38133,26644,1360,469
08.17,38583,27017,1370,450
08.18,39025,27347,1379,442
08.19,39444,27653,1391,419
08.20,39847,27971,1402,403
08.21,40258,28281,1411,411
08.22,40667,28587,1418,409
08.23,41068,28874,1424,401
08.24,41460,29142,1435,392
08.25,41858,29369,1446,398
08.26,42228,29587,1456,370
08.27,42619,29886,1465,391
08.28,43016,30157,1475,397
08.29,43403,30436,1483,387
08.30,43781,30717,1491,378
08.31,44146,30978,1501,365
09.01,44494,31244,1510,348
09.02,44833,31493,1518,339
09.03,45158,31746,1523,325
09.04,45469,32006,1529,311
09.05,45773,32259,1539,304
09.06,46071,32481,1549,298
09.07,46364,32745,1556,293
09.08,46653,32985,1562,289
09.09,46938,33183,1571,285
09.10,47216,33379,1581,278
09.11,47488,33562,1591,272
09.12,47752,33723,1599,264
09.13,48007,33875,1605,255
09.14,48254,34037,1612,247
09.15,48496,34204,1620,242
