,confirm,heal,dead,confirm_add
03.02,1,0,0,1
03.03,1,0,0,0
03.04,1,0,0,0
03.05,1,0,0,0
03.06,1,0,0,0
03.07,1,0,0,0
03.08,1,0,0,0
03.09,1,0,0,0
03.10,1,0,0,0
03.11,1,0,0,0
03.12,1,0,0,0
03.13,2,1,0,1
03.14,2,1,0,0
03.15,2,1,0,0
03.16,2,1,0,0
03.17,15,1,0,13
03.18,40,1,0,25
03.19,54,1,0,14
03.20,75,1,0,21
03.21,88,1,0,13
03.22,114,1,1,26
03.23,133,1,1,19
03.24,164,1,1,31
03.25,185,1,1,21
03.26,220,1,1,35
03.27,263,1,1,43
03.28,267,1,3,4
03.29,334,6,6,67
03.30,334,6,6,0
03.31,370,10,8,36
04.01,390,10,14,20
04.02,428,10,15,38
04.03,439,16,16,11
04.04,466,21,17,27
04.05,501,26,18,35
04.06,501,26,18,0
04.07,525,31,21,24
04.08,564,52,23,39
04.09,583,58,25,19
04.10,601,71,26,18
04.11,601,71,26,0
04.12,638,128,29,37
04.13,646,128,29,8
04.14,646,128,29,0
04.15,673,169,33,27
04.16,673,169,33,0
04.17,696,191,35,23
04.18,704,205,35,8
04.19,704,205,35,0
04.20,713,235,36,9
04.21,717,248,37,4
04.22,717,282,37,0
04.23,723,309,37,6
04.24,723,333,37,0
04.25,731,344,40,8
04.26,738,344,40,7
04.27,738,344,40,0
04.28,743,385,40,5
04.29,743,398,41,0
04.30,743,423,42,0
05.01,745,468,42,2
05.02,745,468,43,0
05.03,747,472,44,2
05.04,748,493,45,1
05.05,750,499,45,2
05.06,751,514,46,1
05.07,751,521,46,0
05.08,752,526,47,1
05.09,752,537,47,0
05.10,754,545,48,2
05.11,755,550,48,1
05.12,755,550,48,0
05.13,758,568,48,3
05.14,760,576,49,2
05.15,761,596,49,1
05.16,761,604,49,0
05.17,761,615,51,0
05.18,761,617,51,0
05.19,761,628,51,0
05.20,761,628,51,0
05.21,762,639,51,1
05.22,762,639,51,0
05.23,762,652,51,0
05.24,762,653,51,0
05.25,763,663,51,1
05.26,763,663,51,0
05.27,763,676,51,0
05.28,763,676,51,0
05.29,764,684,51,1
05.30,764,684,51,0
05.31,764,692,51,0
06.01,764,694,51,0
06.02,767,733,51,3
06.03,844,733,51,77
06.04,852,738,51,8
06.05,852,741,51,0
06.06,852,741,51,0
06.07,852,741,51,0
06.08,852,744,51,0
06.09,852,751,51,0
06.10,852,757,51,0
06.11,852,759,51,0
06.12,853,781,51,1
06.13,853,781,51,0
06.14,853,781,51,0
06.15,853,789,51,0
06.16,854,789,52,1
06.17,854,791,52,0
06.18,855,792,52,1
06.19,855,792,52,0
06.20,855,792,52,0
06.21,855,792,52,0
06.22,855,796,52,0
06.23,855,796,52,0
06.24,855,797,52,0
06.25,855,797,52,0
06.26,855,797,52,0
06.27,855,799,52,0
06.28,855,799,52,0
06.29,855,799,52,0
06.30,855,799,52,0
07.01,855,799,52,0
07.02,855,799,52,0
07.03,855,800,52,0
07.04,855,800,52,0
07.05,855,800,52,0
07.06,855,800,52,0
07.07,855,800,52,0
07.08,855,800,52,0
07.09,855,802,52,0
07.10,855,803,52,0
07.11,855,803,52,0
07.12,855,803,52,0
07.13,855,803,52,0
07.14,858,803,52,3
07.15,861,803,52,3
07.16,862,803,52,1
07.17,880,803,52,18
07.18,880,803,52,0
07.19,880,803,52,0
07.20,880,803,52,0
07.21,884,803,52,4
07.22,884,803,52,0
07.23,889,803,52,5
07.24,889,803,52,0
07.25,897,803,52,8
07.26,897,803,52,0
07.27,907,803,52,10
07.28,907,803,52,0
07.29,907,803,52,0
07.30,918,804,52,11
07.31,925,807,52,7
08.01,925,807,52,0
08.02,925,807,52,0
08.03,937,821,52,12
08.04,939,825,52,2
08.05,939,825,52,0
08.06,944,828,52,5
08.07,944,828,52,0
08.08,955,839,52,11
08.09,955,839,52,0
08.10,963,839,52,8
08.11,963,839,52,0
08.12,963,839,52,0
08.13,977,855,53,14
08.14,981,858,53,4
08.15,989,863,53,8
08.16,989,863,53,0
08.17,989,863,53,0
08.18,1005,869,53,16
08.19,1005,869,53,0
08.20,1024,875,53,19
08.21,1024,875,53,0
08.22,1045,875,53,21
08.23,1045,875,53,0
08.24,1045,875,53,0
08.25,1060,877,53,15
08.26,1098,893,53,38
08.27,1098,893,53,0
08.28,1098,893,53,0
08.29,1124,902,53,26
08.30,1124,902,53,0
08.31,1124,902,53,0
09.01,1176,908,53,52
09.02,1184,908,53,8
09.03,1199,909,53,15
09.04,1199,909,53,0
09.05,1215,928,53,16
09.06,1215,928,53,0
09.07,1215,928,53,0
09.08,1261,934,53,46
09.09,1261,934,53,0
09.10,1301,938,53,40
09.11,1344,943,53,43
09.12,1344,943,53,0
09.13,1344,943,53,0
09.14,1344,943,53,0
09.15,1438,945,53,94
09.16,1438,945,53,0
09.17,1483,1054,53,45
09.18,1483,1054,53,0
09.19,1564,1164,53,81
09.20,1564,1164,53,0
09.21,1564,1164,53,0
09.22,1681,1199,53,117
09.23,1681,1199,53,0
09.24,1753,1203,53,72
09.25,1836,1263,53,83
09.26,1836,1263,53,0
09.27,1836,1263,53,0
09.28,1966,1265,53,130
09.29,1966,1265,53,0
09.30,1966,1265,53,0
10.01,2050,1432,53,84
10.02,2050,1432,53,0
10.03,2110,1540,53,60
10.04,2110,1540,53,0
10.05,2110,1540,53,0
10.06,2370,1615,53,260
10.07,2370,1615,53,0
10.08,2568,1715,53,198
10.09,2696,1814,55,128
10.10,2696,1814,55,0
10.11,2696,1814,55,0
10.12,2696,1814,55,0
10.13,2995,1928,57,299
10.14,2995,1928,57,0
10.15,3190,2011,59,195
10.16,3190,2011,59,0
10.17,3377,2057,59,187
10.18,3377,2057,59,0
10.19,3377,2057,59,0
10.20,3623,2273,62,246
10.21,3623,2273,62,0
10.22,3811,2470,63,188
10.23,3811,2470,63,0
10.24,4038,2729,69,227
10.25,4038,2729,69,0
10.26,4038,2729,69,0
10.27,4325,2957,72,287
10.28,4410,3029,72,85
10.29,4517,3144,72,107
10.30,4567,3260,73,50
10.31,4665,3377,75,98
11.01,4756,3475,75,91
11.02,4825,3475,75,69
11.03,4888,3548,75,63
11.04,4910,3627,75,22
11.05,5045,3734,75,135
11.06,5135,3858,75,90
11.07,5135,3858,75,0
11.08,5319,4043,75,184
11.09,5383,4248,75,64
11.10,5437,4332,75,54
11.11,5477,4405,75,40
11.12,5567,4488,75,90
11.13,5616,4585,75,49
11.14,5725,4675,75,109
11.15,5725,4675,75,0
11.16,5872,4747,76,147
11.17,5914,4830,76,42
11.18,5951,4965,76,37
11.19,6018,5055,76,67
11.20,6066,5127,76,48
11.21,6142,5239,76,76
11.22,6207,5290,76,65
11.23,6256,5358,76,49
11.24,6304,5405,76,48
11.25,6351,5503,76,47
11.26,6428,5542,76,77
11.27,6534,5649,76,106
11.28,6610,5710,76,76
11.29,6610,5710,76,0
11.30,6712,5794,76,102
12.01,6745,5873,76,33
12.02,6790,5940,76,45
12.03,6842,5988,76,52
12.04,6904,6066,77,62
12.05,6955,6130,77,51
12.06,7005,6171,78,50
12.07,7050,6238,78,45
12.08,7084,6293,78,34
12.09,7127,6367,78,43
12.10,7162,6452,78,35
12.11,7190,6505,78,28
12.12,7236,6598,78,46
12.13,7288,6629,78,52
12.14,7338,6629,79,50
12.15,7382,6706,79,44
12.16,7382,6706,79,0
12.17,7446,6819,79,64
12.18,7466,6875,79,20
12.19,7519,6919,80,53
12.20,7560,6963,80,41
12.21,7577,6997,81,17
12.22,7602,7028,81,25
12.23,7633,7073,82,31
12.24,7669,7106,82,36
12.25,7699,7171,83,30
12.26,7756,7203,83,57
12.27,7806,7252,83,50
12.28,7821,7288,83,15
12.29,7875,7318,83,54
12.30,7919,7360,84,44
12.31,7983,7384,84,64
01.01,8049,7432,84,66
01.02,8117,7463,84,68
01.03,8166,7463,84,49
