,confirm,heal,dead,confirm_add
03.21,2,0,0,2
03.22,2,0,0,0
03.23,2,0,0,0
03.24,3,0,0,1
03.25,3,0,0,0
03.26,3,0,0,0
03.27,4,0,0,1
03.28,4,0,0,1
03.29,5,0,0,1
03.30,7,0,2,2
03.31,7,1,2,0
04.01,7,1,2,0
04.02,8,1,2,1
04.03,8,1,2,0
04.04,8,1,2,0
04.05,10,2,2,2
04.06,14,2,2,4
04.07,16,2,2,2
04.08,17,2,2,1
04.09,19,2,2,2
04.10,19,2,2,0
04.11,19,2,2,0
04.12,19,4,2,0
04.13,19,4,2,0
04.14,19,4,2,0
04.15,19,5,2,0
04.16,19,5,2,0
04.17,19,5,2,0
04.18,19,5,2,0
04.19,24,6,2,5
04.20,24,6,2,0
04.21,24,6,2,0
04.22,24,6,2,0
04.23,25,6,2,1
04.24,25,6,2,0
04.25,25,6,2,0
04.26,25,6,2,0
04.27,26,6,2,1
04.28,27,6,2,1
04.29,27,6,2,0
04.30,27,7,2,0
05.01,27,7,2,0
05.02,30,11,2,3
05.03,35,11,2,5
05.04,35,11,2,0
05.05,35,11,2,0
05.06,36,11,2,1
05.07,36,11,2,0
05.08,36,11,2,0
05.09,43,11,2,7
05.10,43,13,2,0
05.11,45,13,2,2
05.12,45,13,2,0
05.13,45,13,2,0
05.14,45,14,2,0
05.15,48,14,2,3
05.16,48,17,2,0
05.17,48,17,2,0
05.18,48,17,2,0
05.19,50,17,3,2
05.20,52,17,3,2
05.21,58,17,3,6
05.22,58,17,3,0
05.23,60,17,3,2
05.24,61,18,4,1
05.25,69,18,4,8
05.26,70,18,4,1
05.27,71,18,4,1
05.28,71,18,4,0
05.29,74,18,4,3
05.30,81,18,4,7
05.31,84,18,4,3
06.01,86,18,4,2
06.02,86,18,4,0
06.03,86,18,4,0
06.04,86,18,4,0
06.05,86,18,4,0
06.06,86,21,4,0
06.07,88,24,4,2
06.08,91,24,4,3
06.09,92,38,4,1
06.10,96,38,4,4
06.11,113,40,4,17
06.12,118,41,5,5
06.13,130,42,5,12
06.14,138,61,6,8
06.15,140,61,6,2
06.16,142,64,6,2
06.17,148,64,6,6
06.18,155,64,7,7
06.19,166,64,8,11
06.20,172,66,8,6
06.21,176,66,9,4
06.22,183,77,9,7
06.23,186,77,10,3
06.24,189,77,10,3
06.25,197,77,10,8
06.26,212,81,10,15
06.27,212,81,10,0
06.28,259,81,10,47
06.29,267,93,11,8
06.30,276,93,11,9
07.01,284,93,13,8
07.02,291,97,15,7
07.03,315,97,17,24
07.04,328,107,18,13
07.05,346,108,19,18
07.06,346,108,19,0
07.07,346,108,19,0
07.08,386,117,21,40
07.09,396,117,22,10
07.10,396,117,22,0
07.11,462,118,23,66
07.12,483,118,25,21
07.13,506,118,26,23
07.14,525,118,26,19
07.15,541,118,26,16
07.16,576,124,27,35
07.17,607,124,28,31
07.18,638,199,29,31
07.19,687,210,29,49
07.20,705,221,29,18
07.21,749,221,29,44
07.22,779,221,30,30
07.23,812,221,33,33
07.24,851,236,33,39
07.25,880,241,35,29
07.26,916,242,39,36
07.27,932,242,40,16
07.28,950,242,41,18
07.29,1000,266,47,50
07.30,1078,301,48,78
07.31,1109,395,51,31
08.01,1148,437,52,39
08.02,1164,460,54,16
08.03,1199,461,55,35
08.04,1280,476,58,81
08.05,1344,503,59,64
08.06,1395,506,62,51
08.07,1483,520,64,88
08.08,1538,544,67,55
08.09,1572,564,70,34
08.10,1672,567,75,100
08.11,1679,569,78,7
08.12,1735,575,80,56
08.13,1762,577,80,27
08.14,1815,577,80,53
08.15,1852,584,86,37
08.16,1879,628,86,27
08.17,1906,628,88,27
08.18,1935,632,88,29
08.19,1966,667,90,31
08.20,2015,698,92,49
08.21,2044,742,93,29
08.22,2068,804,94,24
08.23,2134,814,94,66
08.24,2171,818,96,37
08.25,2222,877,100,51
08.26,2283,977,102,61
08.27,2332,977,103,49
08.28,2415,1335,105,83
08.29,2471,1028,106,56
08.30,2551,1041,107,80
