,confirm,heal,dead,confirm_add
03.14,1,0,0,1
03.15,1,0,0,0
03.16,1,0,0,0
03.17,1,0,0,0
03.18,1,0,0,0
03.19,1,0,0,0
03.20,1,0,0,0
03.21,1,0,0,0
03.22,1,0,0,0
03.23,1,0,0,0
03.24,3,0,0,2
03.25,3,0,0,0
03.26,3,0,0,0
03.27,7,0,0,4
03.28,7,0,0,6
03.29,7,0,0,0
03.30,7,0,0,0
03.31,7,0,0,0
04.01,7,0,0,0
04.02,7,0,0,0
04.03,9,0,0,2
04.04,15,0,0,6
04.05,15,0,0,0
04.06,15,0,0,0
04.07,15,0,0,0
04.08,19,0,2,4
04.09,19,0,2,0
04.10,19,0,2,0
04.11,21,0,2,2
04.12,21,0,2,0
04.13,23,0,2,2
04.14,23,3,2,0
04.15,23,3,2,0
04.16,23,3,3,0
04.17,23,3,3,0
04.18,23,3,3,0
04.19,23,3,3,0
04.20,23,3,3,0
04.21,23,7,3,0
04.22,24,7,3,1
04.23,24,10,3,0
04.24,24,10,3,0
04.25,24,11,3,0
04.26,24,11,3,0
04.27,24,11,3,0
04.28,24,11,3,0
04.29,24,11,3,0
04.30,24,11,3,0
05.01,24,11,3,0
05.02,25,15,3,1
05.03,25,15,3,0
05.04,25,15,3,0
05.05,25,16,3,0
05.06,25,16,3,0
05.07,25,16,3,0
05.08,25,16,3,0
05.09,25,19,3,0
05.10,25,19,3,0
05.11,25,19,3,0
05.12,25,19,3,0
05.13,25,19,3,0
05.14,25,19,3,0
05.15,25,19,3,0
05.16,25,19,3,0
05.17,25,19,3,0
05.18,25,19,3,0
05.19,25,19,3,0
05.20,25,19,3,0
05.21,25,19,3,0
05.22,25,19,3,0
05.23,25,19,3,0
05.24,25,19,3,0
05.25,25,19,3,0
05.26,25,19,3,0
05.27,25,19,3,0
05.28,25,19,3,0
05.29,25,19,3,0
05.30,25,19,3,0
05.31,25,19,3,0
06.01,26,19,3,1
06.02,26,19,3,0
06.03,26,19,3,0
06.04,26,20,3,0
06.05,26,20,3,0
06.06,26,20,3,0
06.07,26,20,3,0
06.08,26,20,3,0
06.09,26,20,3,0
06.10,26,20,3,0
06.11,26,20,3,0
06.12,26,20,3,0
06.13,26,20,3,0
06.14,26,20,3,0
06.15,26,20,3,0
06.16,26,22,3,0
06.17,26,22,3,0
06.18,26,22,3,0
06.19,26,22,3,0
06.20,26,22,3,0
06.21,26,22,3,0
06.22,26,22,3,0
06.23,26,22,3,0
06.24,26,22,3,0
06.25,65,22,3,39
06.26,65,22,3,0
06.27,65,22,3,0
06.28,65,22,3,0
06.29,69,22,3,4
06.30,69,22,3,0
07.01,69,22,3,0
07.02,69,23,3,0
07.03,69,23,3,0
07.04,68,23,3,-1
07.05,68,23,3,0
07.06,68,23,3,0
07.07,70,23,3,2
07.08,70,23,3,0
07.09,70,23,3,0
07.10,73,57,3,3
07.11,74,57,3,1
07.12,74,57,3,0
07.13,74,57,3,0
07.14,74,57,3,0
07.15,74,57,3,0
07.16,74,57,3,0
07.17,74,57,3,0
07.18,76,57,3,2
07.19,76,57,3,0
07.20,76,57,3,0
07.21,76,57,3,0
07.22,76,57,3,0
07.23,76,58,3,0
07.24,76,58,3,0
07.25,82,60,3,6
07.26,82,60,3,0
07.27,82,60,3,0
07.28,86,65,3,4
07.29,86,65,3,0
07.30,91,67,3,5
07.31,91,67,3,0
08.01,91,67,3,0
08.02,91,67,3,0
08.03,91,67,3,0
08.04,92,75,3,1
08.05,92,75,3,0
08.06,92,76,3,0
08.07,92,76,3,0
08.08,92,76,3,0
08.09,92,76,3,0
08.10,92,76,3,0
08.11,92,76,3,0
08.12,92,76,3,0
08.13,92,76,3,0
08.14,93,83,3,1
08.15,93,83,3,0
08.16,93,83,3,0
08.17,93,88,3,0
08.18,93,88,3,0
08.19,93,88,3,0
08.20,94,88,3,1
08.21,94,89,3,0
08.22,94,89,3,0
08.23,94,89,3,0
08.24,94,89,3,0
08.25,94,89,3,0
08.26,94,89,3,0
08.27,94,89,3,0
08.28,94,89,3,0
08.29,94,89,3,0
08.30,94,91,3,0
08.31,94,91,3,0
09.01,94,91,3,0
09.02,94,91,3,0
09.03,95,91,3,1
09.04,95,91,3,0
09.05,95,91,3,0
09.06,95,91,3,0
09.07,95,91,3,0
09.08,95,91,3,0
09.09,95,91,3,0
09.10,95,91,3,0
09.11,95,91,3,0
09.12,95,91,3,0
09.13,95,91,3,0
09.14,95,91,3,0
09.15,95,91,3,0
09.16,95,91,3,0
09.17,95,91,3,0
09.18,95,92,3,0
09.19,95,92,3,0
09.20,96,92,3,1
09.21,96,92,3,0
09.22,96,92,3,0
09.23,96,92,3,0
09.24,97,92,3,1
09.25,97,92,3,0
09.26,98,92,3,1
09.27,98,92,3,0
09.28,101,92,3,3
09.29,101,92,3,0
09.30,101,92,3,0
10.01,101,92,3,0
10.02,106,94,3,5
10.03,106,94,3,0
10.04,107,96,3,1
10.05,107,96,3,0
10.06,107,96,3,0
10.07,108,97,3,1
10.08,108,97,3,0
10.09,111,97,3,3
10.10,111,97,3,0
10.11,111,97,3,0
10.12,111,97,3,0
10.13,111,97,3,0
10.14,112,100,3,1
10.15,112,100,3,0
10.16,112,100,3,0
10.17,112,100,3,0
10.18,119,101,3,7
10.19,119,101,3,0
10.20,119,101,3,0
10.21,122,101,3,3
10.22,122,101,3,0
10.23,122,107,3,0
