,confirm,heal,dead,confirm_add
03.12,4,0,0,3
03.13,6,0,0,2
03.14,13,0,0,5
03.15,20,0,0,7
03.16,28,0,0,8
03.17,64,1,0,36
03.18,78,1,0,14
03.19,122,1,0,44
03.20,136,1,0,14
03.21,160,1,0,24
03.22,160,1,0,24
03.23,194,2,0,37
03.24,235,2,0,41
03.25,265,16,0,30
03.26,290,18,0,25
03.27,329,18,1,39
03.28,372,28,1,43
03.29,424,30,3,52
03.30,481,30,3,57
03.31,532,30,3,51
04.01,571,31,3,39
04.02,663,33,5,92
04.03,736,43,7,73
04.04,770,43,7,34
04.05,822,57,7,52
04.06,833,62,8,11
04.07,853,87,8,20
04.08,881,114,9,28
04.09,921,138,10,40
04.10,937,149,12,16
04.11,967,173,13,30
04.12,1013,197,13,46
04.13,1039,211,14,26
04.14,1067,265,16,28
04.15,1111,297,17,44
04.16,1159,358,18,48
04.17,1201,402,19,42
04.18,1248,523,20,47
04.19,1291,545,20,43
04.20,1339,580,22,48
04.21,1401,609,24,62
04.22,1473,633,24,72
04.23,1523,659,24,50
04.24,1596,728,27,73
04.25,1677,803,28,81
04.26,1746,833,28,69
04.27,1808,848,29,62
04.28,1867,866,30,59
04.29,1932,900,30,65
04.30,2066,929,32,134
05.01,2148,977,33,82
05.02,2273,1010,33,125
05.03,2273,1010,33,0
05.04,2507,1071,39,234
05.05,2619,1111,40,112
05.06,2782,1135,40,163
05.07,2884,1185,42,102
05.08,3029,1218,43,145
05.09,3175,1267,44,146
05.10,3313,1325,45,138
05.11,3392,1359,46,79
05.12,3538,1430,47,146
05.13,3718,1500,48,180
05.14,3860,1572,49,142
05.15,4044,1666,52,184
05.16,4283,1791,55,239
05.17,4472,1925,60,189
05.18,4823,2019,61,351
05.19,5041,2164,64,218
05.20,5271,2419,67,230
05.21,5606,2581,70,335
05.22,5928,2874,74,322
05.23,6302,2936,77,374
05.24,6661,3064,81,359
05.25,7113,3145,87,452
05.26,7402,3220,91,289
05.27,7774,3255,98,372
05.28,8216,3287,113,442
05.29,8676,3297,120,460
05.30,8927,3317,127,251
05.31,9282,3386,131,355
