,confirm,heal,dead,confirm_add
01.28,5,0,0,0
01.29,7,0,0,2
01.30,8,2,0,1
01.31,9,2,0,1
02.01,12,2,0,3
02.02,12,2,0,0
02.03,12,2,0,0
02.04,13,2,0,1
02.05,14,2,0,1
02.06,15,5,0,1
02.07,15,5,0,0
02.08,15,5,0,0
02.09,15,5,0,0
02.10,15,5,0,0
02.11,15,5,0,0
02.12,15,5,0,0
02.13,15,5,0,0
02.14,15,5,0,0
02.15,15,5,0,0
02.16,15,5,0,0
02.17,15,5,0,0
02.18,15,5,0,0
02.19,15,5,0,0
02.20,15,5,0,0
02.21,17,5,0,2
02.22,17,5,0,0
02.23,17,5,0,0
02.24,22,10,0,5
02.25,23,10,0,1
02.26,23,15,0,0
02.27,23,15,0,0
02.28,24,15,0,1
02.29,25,15,0,1
03.01,28,15,1,3
03.02,33,15,1,5
03.03,40,21,1,7
03.04,44,21,2,4
03.05,57,21,2,13
03.06,60,21,2,3
03.07,64,21,2,4
03.08,76,21,3,12
03.09,83,22,3,7
03.10,101,22,3,18
03.11,117,22,3,16
03.12,159,24,3,42
03.13,159,24,3,0
03.14,236,24,3,29
03.15,272,24,5,36
03.16,368,27,6,96
03.17,449,27,6,81
03.18,556,27,6,107
03.19,636,27,6,80
03.20,877,46,7,241
03.21,1051,46,7,174
03.22,1353,46,7,301
03.23,1709,88,7,356
03.24,2136,118,8,427
03.25,2423,118,8,287
03.26,2799,170,12,376
03.27,3166,170,13,367
03.28,3635,170,14,469
03.29,3969,244,16,334
03.30,4245,244,18,276
03.31,4559,358,18,314
04.01,4862,422,20,303
04.02,5116,520,24,254
04.03,5330,649,28,214
04.04,5550,701,30,220
04.05,5687,757,35,137
04.06,5797,1080,40,110
04.07,5895,1080,45,98
04.08,6010,1080,50,115
04.09,6108,1472,51,98
04.10,6204,1472,54,96
04.11,6292,1806,56,88
04.12,6315,1806,60,23
04.13,6351,1806,61,36
04.14,6494,2186,61,143
04.15,6440,2186,63,-54
04.16,6462,2355,63,22
04.17,6522,3808,66,60
04.18,6547,4124,67,25
04.19,6547,4124,67,0
04.20,6547,4124,67,0
04.21,6547,4124,67,0
04.22,6547,4124,67,0
04.23,6547,4124,67,0
04.24,6661,4124,75,114
04.25,6677,4124,79,16
04.26,6694,5364,80,17
04.27,6714,5541,83,20
04.28,6721,5588,83,7
04.29,6746,5670,90,25
04.30,6754,5717,92,8
05.01,6765,5747,93,11
05.02,6781,5796,93,16
05.03,6781,5796,93,0
05.04,6823,5863,96,42
05.05,6851,5890,97,28
05.06,6875,5986,97,24
05.07,6897,6035,97,22
05.08,6914,6079,97,17
05.09,6929,6134,97,15
05.10,6941,6163,97,12
05.11,6948,6179,97,7
05.12,6966,6231,97,18
05.13,6975,6271,98,9
05.14,6989,6301,98,14
05.15,7020,6338,98,31
05.16,7036,6363,98,16
05.17,7045,6367,98,9
05.18,7060,6394,99,15
05.19,7068,6413,100,8
05.20,7079,6444,100,11
05.21,7081,6472,100,2
05.22,7095,6479,101,14
05.23,7111,6494,102,16
05.24,7114,6509,102,3
05.25,7118,6532,102,4
05.26,7133,6553,102,15
05.27,7139,6566,103,6
05.28,7157,6580,103,18
05.29,7173,6582,103,16
05.30,7185,6606,103,12
05.31,7195,6614,103,10
06.01,7204,6619,102,9
06.02,7221,6625,102,17
06.03,7228,6632,102,7
06.04,7240,6664,102,12
06.05,7251,6683,102,11
06.06,7255,6693,102,4
06.07,7260,6703,102,5
06.08,7265,6706,102,5
06.09,7267,6720,102,2
06.10,7276,6744,102,9
06.11,7285,6761,102,9
06.12,7290,6783,102,5
06.13,7302,6812,102,12
06.14,7320,6838,102,18
06.15,7335,6851,102,15
06.16,7347,6856,102,12
06.17,7370,6868,102,23
06.18,7391,6877,102,21
06.19,7409,6880,102,18
06.20,7436,6888,102,27
06.21,7461,6896,102,25
06.22,7474,6903,102,13
06.23,7492,6915,102,18
06.24,7521,6924,103,29
06.25,7558,6942,104,37
06.26,7595,6958,104,37
06.27,7641,6979,104,46
06.28,7686,6993,104,45
06.29,7767,7008,104,81
06.30,7834,7037,104,67
07.01,7920,7063,104,86
07.02,8001,7090,104,81
07.03,8255,7319,104,254
07.04,8362,7355,104,107
07.05,8449,7399,104,87
07.06,8586,7420,106,137
07.07,8755,7455,106,169
07.08,8886,7488,106,131
07.09,9059,7575,106,173
07.10,9359,7626,106,300
07.11,9553,7724,107,194
07.12,9797,7728,108,244
07.13,9980,7769,108,183
07.14,10251,7835,110,271
07.15,10495,7928,111,244
07.16,10810,8036,113,315
07.17,11235,8117,116,425
07.18,11441,8162,119,206
07.19,11802,8274,122,361
07.20,12070,8395,123,268
07.21,12428,8544,126,358
07.22,12896,8653,128,468
07.23,13306,8775,133,410
07.24,13595,8929,140,289
07.25,13950,9017,145,355
07.26,14403,9170,155,453
07.27,14935,9311,161,532
07.28,15304,9431,167,369
07.29,15583,9619,176,279
07.30,16303,9758,190,720
07.31,16906,9982,197,603
08.01,17282,10202,201,376
08.02,17923,10423,208,641
08.03,18318,10622,221,395
08.04,18730,10795,232,412
08.05,19444,10941,247,714
08.06,19863,11146,255,419
08.07,20272,11320,266,409
08.08,20698,11561,278,426
08.09,21084,11875,295,386
08.10,21397,12141,313,313
08.11,21714,12392,331,317
08.12,22127,12779,352,413
08.13,22358,13001,361,231
08.14,22743,13350,375,385
08.15,23035,13632,379,292
08.16,23288,14083,396,253
08.17,23559,14536,421,271
08.18,23773,14927,438,214
08.19,23993,15244,450,220
08.20,24236,17851,463,243
08.21,24407,18458,472,171
08.22,24602,18757,485,195
08.23,24812,19231,502,210
08.24,24916,19601,517,104
08.25,25053,19812,525,137
08.26,25204,20098,549,151
08.27,25322,20364,572,118
08.28,25448,20631,583,126
08.29,25547,20854,600,99
08.30,25670,21114,611,123
08.31,25746,21348,652,76
09.01,25819,21501,657,73
09.02,25923,21688,663,104
09.03,26049,21910,678,126
09.04,26137,22169,737,88
09.05,26207,22328,748,70
09.06,26279,22465,753,72
09.07,26322,22601,762,43
09.08,26374,22722,770,52
09.09,26465,22861,781,91
09.10,26524,22861,788,59
09.11,26565,23215,797,41
09.12,26607,23327,803,42
09.13,26651,23460,810,44
09.14,26692,23576,816,41
09.15,26738,23650,816,46
09.16,26779,23724,824,41
09.17,26813,23790,832,34
09.18,26861,23853,837,48
09.19,26885,23960,844,24
09.20,26898,24060,849,13
09.21,26912,24155,851,14
09.22,26942,24216,854,30
09.23,26974,24414,859,32
09.24,26983,24446,861,9
09.25,27000,24521,869,17
09.26,27016,24569,870,16
09.27,27040,24630,872,24
09.28,27044,24674,875,4
09.29,27063,24715,882,19
09.30,27078,24752,886,15
10.01,27096,24782,888,18
10.02,27113,24822,890,17
10.03,27121,24848,893,8
10.04,27136,24864,894,15
10.05,27149,24890,894,13
