,confirm,heal,dead,confirm_add
02.25,2,0,0,2
02.26,2,0,0,0
02.27,3,0,0,1
02.28,5,0,0,2
02.29,5,0,0,0
03.01,10,0,0,5
03.02,14,0,0,4
03.03,16,0,0,2
03.04,24,0,0,8
03.05,24,0,0,0
03.06,41,0,0,17
03.07,55,0,0,14
03.08,104,0,0,25
03.09,104,0,0,0
03.10,157,2,0,53
03.11,182,4,0,25
03.12,302,4,1,120
03.13,361,4,1,59
03.14,504,6,1,143
03.15,655,6,1,151
03.16,860,6,2,205
03.17,1016,6,3,156
03.18,1332,9,3,316
03.19,1646,9,4,314
03.20,2196,9,6,550
03.21,2695,9,7,499
03.22,2695,9,7,499
03.23,3627,9,16,932
03.24,4486,9,25,859
03.25,4876,9,30,390
03.26,6001,9,42,1125
03.27,6847,9,49,846
03.28,7697,225,58,850
03.29,8271,225,68,574
03.30,9377,636,108,1106
03.31,10038,1095,128,661
04.01,10501,1436,146,463
04.02,10996,1749,158,495
04.03,11412,2022,168,416
04.04,11781,2507,186,369
04.05,11920,2998,204,139
04.06,12206,3463,220,286
04.07,12547,4046,243,341
04.08,12881,4512,273,334
04.09,13163,5240,295,282
04.10,13494,6064,319,331
04.11,13782,6604,337,288
04.12,13945,6987,350,163
04.13,14018,7343,368,73
04.14,14159,7633,384,141
04.15,14325,8098,393,166
04.16,14451,8986,393,126
04.17,14476,8986,410,126
04.18,14671,10214,443,195
04.19,14699,10501,443,28
04.20,14795,10631,470,96
04.21,14873,10971,491,78
04.22,14925,11328,510,52
04.23,15002,11694,522,77
04.24,15071,11872,530,69
04.25,15148,12103,536,77
04.26,15225,12282,542,77
04.27,15274,12362,549,49
04.28,15357,12580,569,83
04.29,15402,12779,580,45
04.30,15452,12907,584,50
05.01,15561,13110,589,109
05.02,15558,13180,596,-3
05.03,15558,13180,596,0
05.04,15621,13316,600,63
05.05,15650,13462,606,29
05.06,15684,13639,608,34
05.07,15752,13698,609,68
05.08,15774,13836,614,22
05.09,15833,13928,615,59
05.10,15871,13991,618,38
05.11,15882,14061,620,11
05.12,15961,14148,623,79
05.13,15997,14304,624,36
05.14,16058,14405,626,61
05.15,16109,14471,628,51
05.16,16201,14524,629,92
05.17,16242,14563,629,41
05.18,16269,14614,629,27
05.19,16321,14678,632,52
05.20,16353,14882,633,32
05.21,16404,14951,633,51
05.22,16436,15005,635,32
05.23,16486,15037,639,50
05.24,16503,15063,640,17
05.25,16539,15138,641,36
05.26,16557,15182,643,18
05.27,16591,15228,645,34
05.28,16628,15286,668,37
05.29,16655,15347,668,27
05.30,16685,15520,668,30
05.31,16731,15593,668,46
06.01,16733,15596,668,2
06.02,16759,15629,669,26
06.03,16759,15629,669,0
06.04,16805,15717,670,46
06.05,16843,15742,672,38
06.06,16898,15789,672,55
06.07,16898,15789,672,0
06.08,16968,15839,672,70
06.09,16979,15875,672,11
06.10,16979,15875,672,0
06.11,17034,15949,674,55
06.12,17064,15985,675,30
06.13,17078,16012,677,14
06.14,17109,16059,677,31
06.15,17135,16066,678,26
06.16,17189,16089,681,54
06.17,17203,16099,687,14
06.18,17223,16101,688,20
06.19,17271,16141,688,48
06.20,17323,16175,688,52
06.21,17341,16197,690,18
06.22,17380,16241,690,39
06.23,17408,16261,693,28
06.24,17449,16282,693,41
06.25,17477,16320,698,28
06.26,17522,16348,698,45
06.27,17580,16371,700,58
06.28,17654,16401,702,74
06.29,17723,16420,703,69
06.30,17766,16478,705,43
07.01,17873,16491,705,107
07.02,17941,16514,705,68
07.03,18050,16558,705,109
07.04,18165,16607,705,115
07.05,18280,16615,706,115
07.06,18365,16647,706,85
07.07,18421,16686,706,56
07.08,18513,16721,706,92
07.09,18615,16758,706,102
07.10,18709,16808,706,94
07.11,18783,16864,706,74
07.12,18897,16952,708,114
07.13,18948,17000,708,51
07.14,19021,17073,709,73
07.15,19154,17175,710,133
07.16,19270,17244,711,116
07.17,19439,17335,711,169
07.18,19573,17501,711,134
07.19,19655,17599,711,82
07.20,19743,17659,711,88
07.21,19827,17716,710,84
07.22,19929,17849,711,102
07.23,20099,17943,711,170
07.24,20214,18042,711,115
07.25,20338,18124,712,124
07.26,20472,18209,712,134
07.27,20558,18246,713,86
07.28,20677,18379,713,119
07.29,20850,18528,716,173
07.30,20955,18628,718,105
07.31,21130,18758,718,175
08.01,21212,18911,718,82
08.02,21304,18984,718,92
08.03,21385,19063,718,81
08.04,21481,19336,719,96
08.05,21566,19464,719,85
08.06,21696,19596,719,130
08.07,21837,19690,720,141
08.08,21919,19812,721,82
08.09,22033,19923,721,114
08.10,22106,20010,723,73
08.11,22245,20123,723,139
08.12,22439,20268,724,194
08.13,22594,20346,725,155
08.14,22876,20499,725,282
08.15,23179,20627,728,303
08.16,23370,20681,728,191
08.17,23534,20765,729,164
08.18,23829,20870,729,295
08.19,24084,20958,729,255
08.20,24431,21093,729,347
08.21,24762,21260,730,331
08.22,25062,21406,732,300
08.23,25253,21558,732,191
08.24,25495,21657,733,242
08.25,25706,21888,733,211
08.26,26033,22145,733,327
08.27,26361,22317,733,328
08.28,26590,22594,733,229
08.29,26985,22866,733,395
08.30,27166,23070,733,181
08.31,27438,23226,733,272
09.01,27642,23565,734,204
09.02,27969,23820,734,327
09.03,28372,24171,735,403
09.04,28729,24513,735,357
09.05,29087,24828,735,358
09.06,29271,25043,736,184
09.07,29561,25300,746,290
09.08,30081,25629,747,520
09.09,30583,25764,747,502
09.10,31247,26043,748,664
09.11,31827,26257,750,580
09.12,32696,26579,754,869
09.13,33159,26760,756,463
09.14,33541,27010,757,382
09.15,34305,27354,757,764
09.16,35073,27655,758,768
09.17,35853,28044,758,780
09.18,36661,28451,763,808
09.19,37474,28961,765,813
09.20,38095,29229,766,621
09.21,38658,29516,767,563
09.22,39303,30312,771,645
09.23,39984,30949,777,681
09.24,40816,31661,783,832
09.25,41500,32301,786,684
09.26,42214,33154,787,714
09.27,42876,33589,787,662
09.28,43432,34052,790,556
09.29,44041,34916,796,609
09.30,44813,35644,799,772
10.01,45686,36476,802,873
10.02,46374,37186,803,688
10.03,47432,38045,809,1058
10.04,48146,38629,813,714
10.05,48896,39058,818,750
10.06,49819,39790,822,923
10.07,50848,40499,830,1029
10.08,52057,41289,838,1209
10.09,53188,42039,842,1131
10.10,54423,42829,852,1235
10.11,55319,43448,851,896
10.12,56298,44065,855,979
10.13,57326,44949,861,1028
10.14,58672,45846,872,1346
10.15,60224,46798,877,1552
10.16,61387,47618,882,1163
10.17,63134,48771,889,1747
10.18,64806,49561,893,1672
10.19,65927,50359,904,1121
