,confirm,heal,dead,confirm_add
02.28,1,0,0,1
02.29,3,0,0,2
03.01,3,0,0,0
03.02,3,0,0,0
03.03,3,0,0,0
03.04,3,0,0,0
03.05,3,0,0,0
03.06,3,0,0,0
03.07,6,0,0,0
03.08,6,0,0,0
03.09,9,0,0,3
03.10,11,0,0,2
03.11,13,3,0,2
03.12,15,3,1,2
03.13,19,3,1,4
03.14,19,3,1,0
03.15,23,6,1,4
03.16,25,6,1,2
03.17,28,7,1,3
03.18,28,7,1,0
03.19,28,7,1,0
03.20,28,7,1,0
03.21,44,10,1,16
03.22,53,11,1,9
03.23,72,11,1,19
03.24,87,10,1,15
03.25,93,10,2,21
03.26,122,15,3,29
03.27,165,15,3,43
03.28,182,15,4,17
03.29,182,15,4,17
03.30,273,26,4,91
03.31,298,26,5,25
04.01,359,26,5,61
04.02,400,26,5,41
04.03,443,32,5,43
04.04,521,32,5,78
04.05,584,32,5,63
04.06,641,44,7,57
04.07,717,44,8,76
04.08,822,63,8,105
04.09,926,101,9,104
04.10,926,101,9,0
04.11,991,159,10,65
04.12,1098,250,11,107
04.13,1148,289,12,50
04.14,1197,351,13,49
04.15,1253,404,13,56
04.16,1283,460,15,30
04.17,1340,528,15,57
04.18,1373,590,18,33
04.19,1398,712,19,25
04.20,1436,791,19,38
04.21,1480,865,20,44
04.22,1518,907,20,38
04.23,1548,948,20,30
04.24,1592,1013,21,44
04.25,1617,1080,21,25
04.26,1645,1139,21,28
04.27,1678,1162,22,33
04.28,1717,1221,22,39
04.29,1766,1267,23,49
04.30,1804,1325,24,38
05.01,1804,1325,24,0
05.02,1894,1411,25,90
05.03,1894,1411,25,0
05.04,1932,1441,25,38
05.05,2060,1508,26,128
05.06,2127,1536,28,67
05.07,2204,1551,28,77
05.08,2279,1576,28,75
05.09,2422,1620,31,143
05.10,2422,1620,31,0
05.11,2519,1650,32,97
05.12,2589,1680,32,70
05.13,2758,1789,35,169
05.14,2879,1833,35,121
05.15,2980,1886,36,101
05.16,3138,1944,36,158
05.17,3274,2015,39,136
05.18,3387,2055,40,113
05.19,3387,2055,40,0
05.20,3631,2253,43,244
05.21,3749,2340,44,118
05.22,3749,2340,44,0
05.23,3982,2506,49,233
05.24,4122,2607,49,140
05.25,4271,2741,51,149
05.26,4271,2741,51,0
05.27,4568,2897,54,297
05.28,4759,3022,56,191
05.29,4989,3125,58,230
05.30,5246,3327,61,257
05.31,5494,3428,63,248
06.01,5662,3508,68,168
06.02,5935,3564,71,273
06.03,5935,3564,71,0
06.04,6522,3737,78,587
06.05,6860,3871,82,338
06.06,7239,4024,84,379
06.07,7553,4149,88,314
06.08,7876,4377,93,323
06.09,8191,4606,98,315
06.10,8191,4606,98,0
06.11,8882,4930,108,691
06.12,9218,5116,113,336
06.13,9218,5116,113,0
06.14,9957,5583,119,739
06.15,9957,5583,119,0
06.16,10662,5948,126,705
06.17,10662,5948,126,0
06.18,11329,6192,139,667
06.19,11329,6192,139,0
06.20,12238,6516,148,909
06.21,12238,6516,148,0
06.22,12729,6799,154,491
06.23,13207,7168,161,478
06.24,13715,7503,167,508
06.25,14852,8059,180,1137
06.26,15369,8364,187,517
06.27,15890,8719,193,521
06.28,16424,9026,198,534
06.29,16424,9026,198,0
06.30,16968,9369,206,544
07.01,17524,9715,213,556
07.02,18112,10061,220,588
07.03,19267,10820,235,1155
07.04,19267,10820,235,0
07.05,20324,11742,250,1057
07.06,20837,12182,258,513
07.07,20837,12182,258,0
07.08,21916,13100,274,1079
07.09,21916,13100,274,0
07.10,22990,14093,292,1074
07.11,23521,14607,298,531
07.12,24041,15093,306,520
07.13,24570,15640,313,529
07.14,24570,15640,313,0
07.15,25672,16695,326,1102
07.16,26165,17256,334,493
07.17,26636,17805,341,471
07.18,27133,18450,349,497
07.19,27133,18450,349,0
07.20,27521,18967,354,388
07.21,27890,19490,363,369
07.22,28633,20443,385,743
07.23,28980,20974,391,347
07.24,29312,21547,400,332
07.25,29633,22082,408,321
07.26,30050,22684,417,417
07.27,30446,23242,423,396
07.28,30858,23873,430,412
07.29,31221,24495,438,363
07.30,31560,25168,441,339
07.31,31878,25882,448,318
08.01,32157,26474,454,279
08.02,32157,26474,454,0
08.03,32684,27760,468,527
08.04,32910,28348,473,226
08.05,33103,28840,476,193
08.06,33247,29275,479,144
08.07,33376,29696,483,129
08.08,33481,30056,488,105
08.09,33568,30364,490,87
08.10,33647,30642,492,79
08.11,33731,30856,495,84
08.12,33824,31058,497,93
08.13,33915,31269,500,91
08.14,34018,31490,504,103
08.15,34107,31697,506,89
08.16,34219,31875,506,112
08.17,34343,32042,508,124
08.18,34343,32042,508,0
08.19,34620,32363,510,277
08.20,34759,32511,510,139
08.21,34921,32682,512,162
08.22,35105,32842,515,184
08.23,35274,32993,518,169
08.24,35426,33104,519,152
08.25,35559,33190,521,133
08.26,35559,33190,521,0
08.27,35844,33364,524,285
08.28,35844,33364,524,0
08.29,36174,33576,529,330
08.30,36309,33703,531,135
08.31,36435,33847,534,126
09.01,36578,33977,536,143
09.02,36732,34116,538,154
09.03,36732,34116,538,0
09.04,37031,34419,543,299
09.05,37192,34565,545,161
09.06,37329,34705,548,137
09.07,37418,34837,551,89
09.08,37557,34965,552,139
09.09,37732,35119,555,175
09.10,37874,35269,556,142
09.11,38037,35440,557,163
09.12,38172,35607,559,135
09.13,38327,35756,562,155
09.14,38403,35860,564,76
09.15,38517,35998,566,114
09.16,38658,36149,569,141
09.17,38777,36289,571,119
09.18,38894,36424,572,117
09.19,39042,36601,574,148
09.20,39188,36755,575,146
09.21,39280,36836,576,92
09.22,39378,36949,578,98
09.23,39524,37122,580,146
09.24,39686,37255,581,162
09.25,39787,37392,583,101
09.26,39895,37523,585,108
09.27,40023,37655,586,128
09.28,40061,37725,588,38
09.29,40119,37827,590,58
09.30,40229,37954,591,110
10.01,40309,38068,593,80
10.02,40453,38217,594,144
10.03,40561,38354,595,108
10.04,40561,38354,595,0
10.05,40788,38587,598,227
10.06,40931,38713,600,143
10.07,41113,38858,602,182
10.08,41304,39012,603,191
10.09,41519,39129,605,215
10.10,41752,39235,608,233
10.11,41982,39357,609,230
10.12,42104,39404,609,122
10.13,42381,39468,612,277
10.14,42750,39570,616,369
10.15,42750,39570,616,0
10.16,43789,39800,621,1039
10.17,44317,39903,623,528
10.18,44964,40037,626,647
10.19,45295,40144,630,331
10.20,45879,40272,635,584
10.21,46593,40448,642,714
10.22,47418,40619,648,825
10.23,48221,40831,656,803
10.24,49013,41051,664,792
10.25,49959,41279,671,946
10.26,50486,41410,679,527
10.27,51149,41693,688,663
10.28,52137,42033,699,988
10.29,53152,42516,708,1015
10.30,54174,42996,718,1022
10.31,55269,43543,730,1095
11.01,56444,44157,740,1175
11.02,57040,44479,753,596
11.03,58282,45030,768,1242
11.04,59509,45697,780,1227
11.05,60873,46465,794,1364
11.06,62338,47270,811,1465
11.07,63748,48049,824,1410
11.08,65411,48908,840,1663
11.09,65411,48908,840,0
11.10,66046,49411,852,635
11.11,67392,50009,867,1346
11.12,70216,51986,905,2824
11.13,71580,53001,927,1364
11.14,73429,54049,946,1849
11.15,75688,55150,967,2259
11.16,77083,55755,985,1395
11.17,79158,56894,1005,2075
11.18,81397,58111,1030,2239
11.19,83994,59465,1053,2597
11.20,87163,60869,1079,3169
11.21,87163,60869,1079,0
11.22,93094,63841,1131,5931
11.23,95281,64475,1160,2187
11.24,98927,65734,1194,3646
11.25,98927,65734,1194,0
11.26,106101,68572,1256,7174
11.27,109813,69931,1291,3712
11.28,114025,71691,1323,4212
11.29,118195,73676,1361,4170
11.30,119217,74156,1371,1022
12.01,125602,76897,1433,6385
12.02,129544,79162,1470,3942
12.03,133733,81234,1510,4189
12.04,138000,83800,1551,4267
12.05,142323,85980,1593,4323
12.06,146679,88497,1632,4356
12.07,149765,90278,1675,3086
12.08,154152,93411,1713,4387
12.09,158555,96330,1755,4403
12.10,162774,99892,1793,4219
12.11,167155,103550,1840,4381
12.12,171423,107635,1883,4268
12.13,175874,111918,1922,4451
12.14,178986,114841,1966,3112
12.15,183259,119005,2007,4273
12.16,187336,122859,2050,4077
12.17,191460,127064,2088,4124
