,confirm,heal,dead,confirm_add
03.21,4,0,0,0
03.22,4,0,0,0
03.23,4,0,0,0
03.24,4,0,0,0
03.25,5,1,0,1
03.26,5,1,0,0
03.27,9,1,0,4
03.28,10,1,0,1
03.29,10,1,0,0
03.30,14,1,0,4
03.31,14,1,0,0
04.01,15,1,0,1
04.02,21,1,1,6
04.03,24,1,1,3
04.04,24,0,3,0
04.05,28,0,4,4
04.06,29,4,5,1
04.07,33,5,5,4
04.08,36,5,6,3
04.09,40,5,7,4
04.10,41,5,8,1
04.11,42,5,8,1
04.12,46,5,8,4
04.13,47,6,8,1
04.14,49,6,8,2
04.15,49,6,8,0
04.16,53,6,8,4
04.17,53,6,8,0
04.18,54,9,9,1
04.19,55,10,9,1
04.20,60,11,9,5
04.21,60,11,9,0
04.22,65,12,9,5
04.23,70,12,9,5
04.24,72,14,11,2
04.25,73,15,11,1
04.26,78,15,11,5
04.27,80,22,11,2
04.28,80,22,11,0
04.29,80,23,11,0
04.30,80,25,11,0
05.01,81,25,11,1
05.02,82,24,11,1
05.03,82,24,11,0
05.04,83,24,11,1
05.05,83,25,11,0
05.06,89,26,11,6
05.07,92,26,11,3
05.08,92,26,11,0
05.09,92,31,11,0
05.10,92,37,11,0
05.11,92,37,11,0
05.12,93,39,11,1
05.13,93,39,11,0
05.14,94,41,11,1
05.15,96,41,11,2
05.16,96,41,11,0
05.17,96,42,11,0
05.18,96,42,11,0
05.19,96,43,11,0
05.20,96,43,11,0
05.21,97,43,11,1
05.22,97,44,11,0
05.23,97,44,11,0
05.24,100,45,11,3
05.25,100,46,11,0
05.26,100,46,11,0
05.27,100,46,11,0
05.28,100,46,11,0
05.29,101,47,11,1
05.30,102,48,11,1
05.31,102,48,11,0
06.01,102,48,11,0
06.02,102,49,11,0
06.03,102,49,11,0
06.04,102,55,11,0
06.05,102,55,11,0
06.06,102,55,11,0
06.07,103,62,11,1
06.08,103,62,11,0
06.09,103,64,11,0
06.10,103,64,11,0
06.11,103,67,11,0
06.12,103,68,11,0
06.13,103,68,11,0
06.14,103,68,11,0
06.15,103,68,11,0
06.16,103,68,11,0
06.17,104,72,11,1
06.18,104,72,11,0
06.19,104,74,11,0
06.20,104,74,11,0
06.21,104,74,11,0
06.22,104,77,11,0
06.23,104,77,11,0
06.24,104,83,11,0
06.25,104,83,11,0
06.26,104,84,11,0
06.27,104,84,11,0
06.28,104,87,11,0
06.29,104,87,11,0
06.30,104,87,11,0
07.01,104,87,11,0
07.02,104,89,11,0
07.03,104,89,11,0
07.04,104,89,11,0
