,confirm,heal,dead,confirm_add
02.04,1,0,0,0
02.05,1,0,0,0
02.06,1,0,0,0
02.07,1,0,0,0
02.08,1,0,0,0
02.09,1,0,0,0
02.10,1,0,0,0
02.11,1,0,0,0
02.12,1,0,0,0
02.13,1,0,0,0
02.14,1,0,0,0
02.15,1,0,0,0
02.16,1,0,0,0
02.17,1,0,0,0
02.18,1,1,0,0
02.19,1,1,0,0
02.20,1,1,0,0
02.21,1,1,0,0
02.22,1,1,0,0
02.23,1,1,0,0
02.24,1,1,0,0
02.25,1,1,0,0
02.26,1,1,0,0
02.27,1,1,0,0
02.28,1,1,0,0
03.01,2,1,0,1
03.02,8,1,0,6
03.03,13,1,0,5
03.04,23,1,0,10
03.05,50,1,0,27
03.06,109,1,0,59
03.07,169,1,0,60
03.08,200,1,0,31
03.09,239,1,0,39
03.10,267,1,0,28
03.11,314,1,1,75
03.12,399,1,3,85
03.13,556,1,3,157
03.14,689,1,4,133
03.15,886,1,4,197
03.16,1085,1,4,199
03.17,1486,1,14,243
03.18,1486,1,14,401
03.19,1795,1,21,309
03.20,2257,1,37,771
03.21,2815,1,67,558
03.22,3401,1,75,586
03.23,3743,350,88,342
03.24,4269,350,122,526
03.25,4937,350,122,668
03.26,6235,350,220,1298
03.27,7284,675,289,1049
03.28,9134,675,353,1850
03.29,10836,1063,431,1702
03.30,11899,1527,513,1063
03.31,12775,1696,705,876
04.01,13964,2132,828,1189
04.02,15348,2495,1011,1384
04.03,16770,2872,1143,1422
04.04,18431,3247,1283,1661
04.05,19691,3751,1447,1260
04.06,20814,3986,1632,1123
04.07,22194,4157,2035,1380
04.08,23403,4681,2240,1209
04.09,24983,5164,2523,1580
04.10,26667,5568,3019,1684
04.11,28018,5986,3346,1351
04.12,29647,6463,3600,1629
04.13,30589,6707,3903,942
04.14,31119,6868,4157,530
04.15,33573,7107,4440,2454
04.16,34809,7562,4857,1236
04.17,36138,7961,5163,1329
04.18,37183,8348,5453,1045
04.19,38496,8757,5683,1313
04.20,39983,8895,5828,1487
04.21,40956,9002,5998,973
04.22,41889,9433,6262,933
04.23,42797,9800,6490,908
04.24,44293,10122,6679,1496
04.25,45325,10417,6917,1032
04.26,46134,10785,7094,809
04.27,46687,10878,7207,553
04.28,47334,10943,7331,647
04.29,47859,11283,7501,525
04.30,48519,11576,7594,660
05.01,49032,11892,7703,513
05.02,49517,12211,7765,485
05.03,49517,12211,7765,0
05.04,50267,12378,7924,750
05.05,50509,12441,8016,242
05.06,50781,12731,8339,272
05.07,51420,12980,8415,639
05.08,52011,13201,8521,591
05.09,52596,13411,8581,585
05.10,53081,13642,8656,485
05.11,53449,13697,8707,368
05.12,53779,13732,8761,330
05.13,53981,13937,8843,202
05.14,54288,14111,8903,307
05.15,54644,14301,8959,356
05.16,54989,14460,9005,345
05.17,55280,14630,9052,291
05.18,55559,14657,9080,279
05.19,55791,14687,9108,232
05.20,55983,14847,9150,192
05.21,56235,14988,9186,252
05.22,56511,15123,9212,276
05.23,56810,15155,9237,299
05.24,57092,15272,9280,282
05.25,57342,15297,9312,250
05.26,57455,15320,9334,113
05.27,57592,15465,9364,137
05.28,57849,15572,9388,257
05.29,58061,15682,9430,212
05.30,58186,15769,9453,125
05.31,58381,15887,9467,195
06.01,58517,15919,9486,136
06.02,58615,15934,9505,98
06.03,58615,15934,9505,0
06.04,58767,16048,9548,152
06.05,58907,16112,9566,140
06.06,59072,16190,9580,165
06.07,59226,16291,9595,154
06.08,59348,16315,9606,122
06.09,59437,16324,9619,89
06.10,59569,16392,9629,132
06.11,59711,16453,9636,142
06.12,59819,16498,9646,108
06.13,59918,16547,9650,99
06.14,60029,16589,9655,111
06.15,60100,16610,9661,71
06.16,60155,16625,9663,55
06.17,60244,16684,9675,89
06.18,60348,16724,9683,104
06.19,60476,16751,9695,128
06.20,60550,16771,9696,74
06.21,60550,16771,9696,0
06.22,60550,16771,9696,0
06.23,60810,16771,9713,260
06.24,60898,16771,9722,88
06.25,61007,16890,9726,109
06.26,61106,16918,9731,99
06.27,61209,16941,9732,103
06.28,61295,16941,9732,86
06.29,61361,16941,9732,66
06.30,61427,16984,9747,66
07.01,61509,17021,9754,82
07.02,61598,17044,9761,89
07.03,61727,17073,9765,129
07.04,61838,17091,9771,111
07.05,61838,17091,9771,0
07.06,62016,17091,9771,178
07.07,62058,17122,9774,42
07.08,62123,17138,9776,65
07.09,62210,17159,9778,87
07.10,62357,17179,9781,147
07.11,62469,17196,9782,112
07.12,62606,17196,9782,137
07.13,62707,17196,9782,101
07.14,62781,17223,9787,74
07.15,62872,17242,9788,91
07.16,63039,17253,9792,167
07.17,63238,17269,9795,199
07.18,63499,17289,9800,261
07.19,63706,17289,9800,207
07.20,63893,17289,9800,187
07.21,64094,17321,9805,201
07.22,64258,17330,9805,164
07.23,64627,17347,9808,369
07.24,64847,17369,9812,220
07.25,65199,17394,9817,352
07.26,65727,17425,9821,528
07.27,66026,17439,9821,299
07.28,66428,17452,9822,402
07.29,66662,17476,9833,234
07.30,67335,17492,9836,673
07.31,68006,17513,9840,671
08.01,68751,17546,9841,745
08.02,69402,17573,9845,651
08.03,69849,17590,9845,447
08.04,70314,17598,9850,465
08.05,70648,17639,9852,334
08.06,71158,17661,9859,510
08.07,72016,17700,9861,858
08.08,72784,17728,9866,768
08.09,73401,17766,9870,617
08.10,74152,17780,9872,751
08.11,74620,17792,9879,468
08.12,75008,17841,9885,388
08.13,75647,17883,9900,639
08.14,76191,17913,9916,544
08.15,77113,17941,9924,922
08.16,77869,17981,9935,756
08.17,78323,17994,9939,454
08.18,78534,18003,9944,211
08.19,78897,18048,9959,363
08.20,79479,18078,9969,582
08.21,80178,18131,9976,699
08.22,80894,18165,9985,716
08.23,81468,18204,9988,574
08.24,81936,18225,9992,468
08.25,82092,18242,9996,156
08.26,82447,18291,9996,355
08.27,83030,18331,9879,583
