,confirm,heal,dead,confirm_add
03.06,1,0,0,1
03.07,1,0,0,0
03.08,1,0,0,0
03.09,1,0,0,0
03.10,1,0,0,0
03.11,1,0,0,0
03.12,1,0,0,0
03.13,1,0,0,0
03.14,1,0,0,0
03.15,1,0,0,0
03.16,1,0,0,0
03.17,1,0,0,0
03.18,1,0,0,0
03.19,1,0,0,0
03.20,1,0,0,0
03.21,2,0,0,1
03.22,2,0,0,0
03.23,2,0,0,0
03.24,2,0,0,0
03.25,2,0,0,0
03.26,2,0,0,0
03.27,3,0,0,1
03.28,3,0,0,1
03.29,4,0,0,1
03.30,4,0,0,1
03.31,4,0,0,0
04.01,4,0,0,0
04.02,5,1,0,1
04.03,5,2,0,0
04.04,5,2,0,0
04.05,5,2,0,0
04.06,5,2,0,0
04.07,5,2,0,0
04.08,5,2,0,0
04.09,5,2,0,0
04.10,5,2,0,0
04.11,5,2,0,0
04.12,5,2,0,0
04.13,5,2,0,0
04.14,5,2,0,0
04.15,5,2,0,0
04.16,5,2,0,0
04.17,5,2,0,0
04.18,5,2,0,0
04.19,5,2,0,0
04.20,5,2,0,0
04.21,6,2,0,1
04.22,6,2,0,0
04.23,7,3,0,1
04.24,7,3,0,0
04.25,7,3,0,0
04.26,7,4,0,0
04.27,7,4,0,0
04.28,7,5,0,0
04.29,7,5,0,0
04.30,7,5,0,0
05.01,7,5,0,0
05.02,7,5,0,0
05.03,7,5,0,0
05.04,7,5,0,0
05.05,7,5,0,0
05.06,7,5,0,0
05.07,7,5,0,0
05.08,7,5,0,0
05.09,7,5,0,0
05.10,7,5,0,0
05.11,9,5,0,2
05.12,11,5,0,2
05.13,11,5,0,0
05.14,19,5,0,8
05.15,21,5,0,2
05.16,21,5,0,0
05.17,21,5,0,0
05.18,21,5,0,0
05.19,21,5,0,0
05.20,21,5,0,0
05.21,21,6,0,0
05.22,21,6,0,0
05.23,24,6,0,3
05.24,24,6,0,0
05.25,27,6,0,3
05.26,27,6,0,0
05.27,28,6,0,1
05.28,31,6,0,3
05.29,31,6,0,0
05.30,33,6,0,2
05.31,43,6,0,10
06.01,43,6,0,0
06.02,47,9,0,4
06.03,47,9,0,0
06.04,47,9,0,0
06.05,48,11,0,1
06.06,48,11,0,0
06.07,48,11,0,0
06.08,59,14,0,11
06.09,59,17,0,0
06.10,59,18,0,0
06.11,62,18,0,3
06.12,62,19,0,0
06.13,62,20,0,0
06.14,66,21,0,4
06.15,66,22,0,0
06.16,67,22,0,1
06.17,67,24,0,0
06.18,67,25,0,0
06.19,67,25,0,0
06.20,68,28,0,1
06.21,68,30,0,0
06.22,68,32,0,0
06.23,69,32,0,1
06.24,70,34,0,1
06.25,70,34,0,0
06.26,70,38,0,0
06.27,75,38,0,5
06.28,76,38,0,1
06.29,76,44,0,0
06.30,77,44,0,1
07.01,77,48,0,0
07.02,77,50,0,0
07.03,77,50,0,0
07.04,78,51,0,1
07.05,78,51,0,0
07.06,80,53,0,2
07.07,80,54,0,0
07.08,80,55,0,0
07.09,80,55,0,0
07.10,80,55,0,0
07.11,82,57,0,2
07.12,82,76,0,0
07.13,84,76,0,2
07.14,84,78,0,0
07.15,84,78,0,0
07.16,84,78,0,0
07.17,86,78,0,2
07.18,87,78,0,1
07.19,87,80,0,0
07.20,89,82,0,2
07.21,90,83,0,1
07.22,92,83,0,2
07.23,92,83,0,0
07.24,92,83,0,0
07.25,92,85,0,0
07.26,93,85,0,1
07.27,95,85,0,2
07.28,99,86,0,4
07.29,99,86,0,0
07.30,101,88,0,2
07.31,101,88,0,0
08.01,101,89,0,0
08.02,102,89,0,1
08.03,103,89,0,1
08.04,103,90,0,0
08.05,105,93,0,2
08.06,105,93,0,0
08.07,108,96,0,3
08.08,108,96,0,0
08.09,108,96,0,0
08.10,110,96,0,2
08.11,113,97,0,3
08.12,113,97,0,0
08.13,128,100,0,15
08.14,128,100,0,0
08.15,133,102,0,5
08.16,138,102,0,5
08.17,141,103,0,3
08.18,146,103,0,5
08.19,147,103,0,1
08.20,150,105,0,3
08.21,153,108,0,3
08.22,154,110,0,1
08.23,155,112,0,1
08.24,155,115,0,0
08.25,156,117,0,1
08.26,173,118,0,17
08.27,183,118,0,10
08.28,184,119,0,1
08.29,195,135,0,11
08.30,195,135,0,0
08.31,224,140,0,29
09.01,225,142,0,1
09.02,227,142,0,2
09.03,227,144,0,0
09.04,227,150,0,0
09.05,228,150,0,1
09.06,228,150,0,0
09.07,230,151,0,2
09.08,233,151,0,3
09.09,234,153,0,1
09.10,234,155,0,0
09.11,238,155,0,4
09.12,241,158,0,3
09.13,244,159,0,3
09.14,245,161,0,1
09.15,246,173,0,1
09.16,246,175,0,0
09.17,246,175,0,0
09.18,252,182,0,6
09.19,258,186,0,6
09.20,259,190,0,1
09.21,261,192,0,2
09.22,261,194,0,0
09.23,261,195,0,0
09.24,261,196,0,0
09.25,263,198,0,2
09.26,263,199,0,0
09.27,271,205,0,8
09.28,273,210,0,2
09.29,280,210,0,7
09.30,281,219,0,1
10.01,282,222,0,1
10.02,282,225,0,0
10.03,283,229,0,1
10.04,283,230,0,0
10.05,298,237,0,15
10.06,299,248,0,1
10.07,300,250,0,1
10.08,304,252,0,4
10.09,304,255,0,0
10.10,306,282,0,2
10.11,306,287,0,0
10.12,309,288,0,3
10.13,309,291,0,0
10.14,313,293,0,4
10.15,316,294,0,3
10.16,316,296,0,0
10.17,316,298,0,0
10.18,325,299,0,9
10.19,327,301,0,2
10.20,330,301,0,3
10.21,331,302,0,1
10.22,332,306,0,1
10.23,336,306,0,4
10.24,336,306,0,0
10.25,340,306,0,4
10.26,342,307,0,2
10.27,342,312,0,0
10.28,345,314,0,3
10.29,346,315,0,1
10.30,346,316,0,0
10.31,348,319,0,2
11.01,349,324,0,1
11.02,354,325,0,5
11.03,356,326,0,2
11.04,358,327,0,2
11.05,358,329,0,0
11.06,358,333,0,0
11.07,358,338,0,0
11.08,359,338,0,1
11.09,359,338,0,0
11.10,364,342,0,5
11.11,364,342,0,0
11.12,364,345,0,0
11.13,369,345,0,5
11.14,369,348,0,0
11.15,375,353,0,6
11.16,375,355,0,0
11.17,377,355,0,2
11.18,378,356,0,1
11.19,378,357,0,0
11.20,378,357,0,0
11.21,378,358,0,0
11.22,379,360,0,1
11.23,382,360,0,3
11.24,386,363,0,4
11.25,386,363,0,0
11.26,386,367,0,0
11.27,389,368,0,3
11.28,395,372,0,6
11.29,396,373,0,1
11.30,396,377,0,0
12.01,410,381,0,14
12.02,414,386,0,4
12.03,415,386,0,1
12.04,418,386,0,3
12.05,424,387,0,6
12.06,426,387,0,2
12.07,430,388,0,4
12.08,432,390,0,2
12.09,433,393,0,1
12.10,433,395,0,0
12.11,434,395,0,1
12.12,436,396,0,2
12.13,437,400,0,1
12.14,438,403,0,1
12.15,438,404,0,0
12.16,439,408,0,1
12.17,440,409,0,1
12.18,442,419,0,2
12.19,443,422,0,1
12.20,446,423,0,3
12.21,467,429,0,21
12.22,479,430,0,12
12.23,482,435,0,3
12.24,519,438,0,37
12.25,541,442,0,22
12.26,576,444,0,35
12.27,597,445,0,21
12.28,623,445,0,26
12.29,636,445,0,13
12.30,655,447,0,19
12.31,670,448,0,15
01.01,689,449,0,19
01.02,710,450,0,21
01.03,716,450,0,6
01.04,734,453,0,18
01.05,734,453,0,0
01.06,755,456,0,21
01.07,767,459,0,12
01.08,767,459,0,0
01.09,767,459,0,0
01.10,767,459,0,0
01.11,825,469,1,58
01.12,831,481,1,6
01.13,833,504,1,2
01.14,834,533,1,1
01.15,837,533,1,3
01.16,842,553,1,5
01.17,842,553,1,0
01.18,843,583,1,1
01.19,848,605,1,5
01.20,850,631,1,2
01.21,850,631,1,0
01.22,851,679,1,1
01.23,854,702,1,3
01.24,855,725,1,1
01.25,856,734,1,1
01.26,856,734,1,0
01.27,856,764,1,0
01.28,857,776,1,1
01.29,857,776,1,0
01.30,858,780,1,1
01.31,859,814,1,1
02.01,859,821,1,0
02.02,859,821,1,0
02.03,859,841,1,0
02.04,859,847,1,0
02.05,861,852,1,2
02.06,861,853,1,0
02.07,861,853,1,0
02.08,861,854,1,0
02.09,861,854,1,0
02.10,861,854,1,0
02.11,861,854,1,0
02.12,863,855,1,2
02.13,863,855,1,0
02.14,863,855,1,0
02.15,866,856,1,3
02.16,866,856,1,0
02.17,866,856,1,0
