,confirm,heal,dead,confirm_add
03.12,2,0,0,2
03.13,2,0,0,0
03.14,2,0,0,0
03.15,2,0,0,0
03.16,11,0,0,9
03.17,11,0,0,0
03.18,11,0,0,0
03.19,11,0,0,0
03.20,11,0,0,0
03.21,19,0,0,0
03.22,24,0,0,5
03.23,27,0,0,3
03.24,28,0,0,1
03.25,32,0,0,4
03.26,39,0,0,20
03.27,61,0,0,22
03.28,74,0,0,13
03.29,81,0,0,7
03.30,96,0,4,15
03.31,107,0,6,11
04.01,115,1,7,8
04.02,123,1,7,8
04.03,132,1,9,9
04.04,139,1,10,7
04.05,157,2,10,18
04.06,183,2,11,26
04.07,194,2,14,11
04.08,210,2,15,16
04.09,264,2,18,54
04.10,268,2,19,4
04.11,275,2,20,7
04.12,300,2,24,25
04.13,330,2,27,30
04.14,354,6,28,24
04.15,397,7,28,43
04.16,441,14,29,44
04.17,465,26,31,24
04.18,493,31,31,28
04.19,520,31,32,27
04.20,564,31,33,44
04.21,598,37,34,34
04.22,609,44,37,11
04.23,672,44,40,63
04.24,703,44,43,31
04.25,807,54,44,104
04.26,866,54,46,59
04.27,950,80,50,84
04.28,1014,98,53,64
04.29,1053,110,55,39
04.30,1110,117,59,57
05.01,1167,132,62,57
05.02,1229,134,66,62
05.03,1229,134,66,0
05.04,1594,166,76,365
05.05,1681,174,82,87
05.06,1802,187,86,121
05.07,1886,198,91,84
05.08,2081,219,102,195
05.09,2266,237,106,185
05.10,2437,258,114,171
05.11,2556,273,118,119
05.12,2831,299,122,275
05.13,2964,313,128,133
05.14,3148,339,142,184
05.15,3372,356,152,224
05.16,3577,434,164,205
05.17,3826,473,165,249
05.18,4088,493,169,262
05.19,4263,503,174,175
05.20,4481,533,189,218
05.21,4919,553,199,438
05.22,5187,561,215,268
05.23,5579,575,230,392
05.24,5915,609,240,336
05.25,6263,629,250,348
05.26,6660,647,261,397
05.27,7136,677,274,476
05.28,7768,689,280,632
05.29,8387,738,293,619
05.30,8731,749,300,344
05.31,9592,889,310,861
06.01,9982,968,313,390
06.02,10531,1137,343,549
06.03,10531,1137,343,0
06.04,11638,1507,400,1107
06.05,12245,1658,415,607
06.06,12728,1739,427,483
06.07,13358,1902,454,630
06.08,13643,2086,465,285
06.09,13949,2159,475,306
