,confirm,heal,dead,confirm_add
03.05,2,0,0,2
03.06,2,0,0,0
03.07,3,0,0,1
03.08,3,0,0,0
03.09,3,0,0,0
03.10,5,0,0,2
03.11,7,0,0,2
03.12,11,0,0,4
03.13,13,0,0,2
03.14,18,0,0,5
03.15,21,0,0,3
03.16,24,0,0,3
03.17,24,0,0,0
03.18,24,0,0,0
03.19,38,0,0,14
03.20,64,0,0,26
03.21,91,2,0,27
03.22,93,0,1,29
03.23,126,0,1,33
03.24,131,2,1,5
03.25,168,2,3,37
03.26,176,2,3,45
03.27,231,5,4,55
03.28,274,5,4,36
03.29,278,8,6,4
03.30,324,8,6,46
03.31,411,17,12,87
04.01,455,19,13,44
04.02,518,20,15,63
04.03,568,27,17,50
04.04,617,28,19,49
04.05,654,30,21,37
04.06,674,47,29,20
04.07,754,68,33,80
04.08,799,79,34,45
04.09,841,95,35,42
04.10,886,129,36,45
04.11,935,139,37,49
04.12,1000,193,38,65
04.13,1030,206,39,30
04.14,1083,236,40,53
04.15,1110,253,41,27
04.16,1167,277,43,57
04.17,1199,320,46,32
04.18,1268,338,47,69
04.19,1285,347,48,17
04.20,1309,381,49,24
04.21,1342,437,51,33
04.22,1368,460,53,26
04.23,1413,485,54,45
04.24,1421,538,55,8
04.25,1486,592,57,65
04.26,1516,624,59,30
04.27,1565,659,60,49
04.28,1585,682,63,20
04.29,1677,710,65,92
04.30,1757,727,69,80
05.01,1757,727,69,0
05.02,1839,779,72,82
05.03,1839,779,72,0
05.04,1926,855,78,87
05.05,1946,911,79,20
05.06,1987,928,86,41
05.07,2027,954,90,40
05.08,2070,960,98,43
05.09,2090,1059,102,20
05.10,2117,1106,107,27
05.11,2141,1114,113,24
05.12,2158,1168,117,17
05.13,2181,1228,120,23
05.14,2218,1272,122,37
05.15,2236,1336,128,18
05.16,2267,1355,129,31
05.17,2290,1436,133,23
05.18,2304,1464,133,14
05.19,2321,1522,134,17
05.20,2338,1557,136,17
05.21,2350,1596,140,12
05.22,2372,1614,141,22
05.23,2391,1662,141,19
05.24,2401,1680,144,10
05.25,2406,1696,146,5
05.26,2416,1721,149,10
05.27,2435,1744,151,19
05.28,2462,1781,153,27
05.29,2485,1803,153,23
05.30,2494,1831,153,9
05.31,2510,1862,153,16
06.01,2524,1888,154,14
06.02,2535,1910,157,11
06.03,2535,1910,157,0
06.04,2594,1951,159,59
06.05,2606,1968,159,12
06.06,2606,1968,159,0
06.07,2606,1968,159,0
06.08,2704,2023,160,98
06.09,2728,2049,160,24
06.10,2728,2049,160,0
06.11,2832,2100,161,104
06.12,2893,2119,163,61
06.13,2893,2119,163,0
06.14,2893,2119,163,0
06.15,3040,2162,165,147
06.16,3085,2178,168,45
06.17,3141,2197,168,56
06.18,3174,2219,168,33
06.19,3273,2241,169,99
06.20,3273,2241,169,0
06.21,3273,2241,169,0
06.22,3525,2270,171,252
06.23,3588,2285,172,63
06.24,3676,2297,173,88
06.25,3796,2322,175,120
06.26,3935,2338,178,139
06.27,3935,2338,178,0
06.28,3935,2338,178,0
06.29,4325,2366,184,390
06.30,4453,2402,186,128
07.01,4606,2432,188,153
07.02,4788,2515,189,182
07.03,4962,2550,191,174
07.04,4962,2550,191,0
07.05,4962,2550,191,0
07.06,5458,2598,199,496
07.07,5621,2693,207,163
07.08,5869,2769,209,248
07.09,6086,2815,214,217
07.10,6402,3037,216,316
07.11,6719,3078,219,317
07.12,6877,3115,221,158
07.13,6981,3179,226,104
07.14,6981,3179,226,0
07.15,7411,3335,235,430
07.16,7681,3534,240,270
07.17,7908,3612,245,227
07.18,8161,3648,246,253
07.19,8340,3669,249,179
07.20,8479,3755,255,139
07.21,8787,4003,264,308
07.22,9115,4159,268,328
07.23,9462,4367,274,347
07.24,9767,4555,280,305
07.25,9767,4555,280,0
07.26,9767,4555,280,0
07.27,10498,4930,294,731
07.28,10766,5220,297,268
07.29,11127,5441,316,361
07.30,11444,5586,328,317
07.31,11876,5959,339,432
08.01,11876,5959,339,0
08.02,12296,6312,352,420
08.03,12462,6359,362,166
08.04,12856,6592,373,394
08.05,13138,6839,379,282
08.06,13306,7031,384,168
08.07,13687,7373,394,381
08.08,13687,7373,394,0
08.09,13687,7373,394,0
08.10,13687,7373,394,0
08.11,14708,8411,447,1021
08.12,14961,8827,453,253
08.13,15184,9156,458,223
08.14,15535,9344,469,351
08.15,15801,9619,471,266
08.16,15801,9619,471,0
08.17,16111,9856,486,310
08.18,16351,10279,495,240
08.19,16691,10711,507,340
08.20,17029,10881,515,338
08.21,17396,11157,526,367
08.22,17715,11329,532,319
08.23,17715,11329,532,0
08.24,18029,11861,547,314
08.25,18326,12081,560,297
08.26,18609,12336,571,283
08.27,18920,12480,582,311
08.28,19214,12733,591,294
08.29,19550,12858,594,336
08.30,19793,12961,598,243
08.31,19964,13095,609,171
09.01,20234,13435,620,270
09.02,20517,13626,627,283
09.03,20804,14120,636,287
09.04,20804,14120,636,0
09.05,21439,14636,651,635
09.06,21560,14709,655,121
09.07,21660,14830,664,100
09.08,21961,15172,669,301
09.09,22258,15208,675,297
09.10,22544,15273,680,286
09.11,22834,15672,686,290
09.12,23138,15922,690,304
09.13,23465,16038,696,327
09.14,23635,16166,705,170
09.15,23929,16701,725,294
09.16,24211,16990,736,282
09.17,24605,17219,747,394
09.18,24897,17365,752,292
09.19,25217,17489,758,320
09.20,25428,17878,763,211
09.21,25521,18109,770,93
09.22,25737,18359,778,216
09.23,26081,18634,790,344
09.24,26316,19142,802,235
09.25,26564,19507,808,248
09.26,26797,19746,820,233
09.27,26920,19746,822,123
09.28,27001,20005,829,81
09.29,27226,20322,843,225
09.30,27469,20616,856,243
10.01,27749,20947,861,280
10.02,27975,21108,871,226
10.03,27975,21108,871,0
10.04,28354,21859,879,379
10.05,28449,22032,888,95
10.06,28710,22274,903,261
10.07,29075,22614,908,365
10.08,29528,22939,913,453
10.09,29917,23241,926,389
10.10,30345,23370,927,428
10.11,30647,23461,928,302
10.12,30837,23587,936,190
10.13,31173,23777,947,336
10.14,31655,24074,958,482
10.15,32224,24356,972,569
10.16,32845,24603,980,621
10.17,33561,24773,981,716
10.18,34112,24995,984,551
10.19,34661,25442,997,549
10.20,35389,25560,1017,728
10.21,36315,25779,1031,926
10.22,37314,25989,1051,999
10.23,38493,26260,1065,1179
10.24,39758,26368,1075,1265
10.25,39758,26368,1075,0
10.26,41596,26542,1104,1838
10.27,43151,26903,1125,1555
10.28,44737,27087,1161,1586
10.29,46639,27580,1182,1902
10.30,48137,27870,1212,1498
10.31,50090,28083,1234,1953
11.01,51505,28194,1248,1415
11.02,52269,28567,1280,764
11.03,53822,29156,1317,1553
11.04,55598,29389,1358,1776
11.05,57506,29689,1402,1908
11.06,59427,29970,1457,1921
11.07,61212,30654,1490,1785
11.08,62423,30939,1510,1211
11.09,63419,31222,1583,996
11.10,63419,31222,1583,0
11.11,65024,32261,1629,1605
11.12,68293,33690,1750,3269
11.13,69625,34491,1808,1332
11.14,70900,35361,1857,1275
11.15,71956,35606,1889,1056
11.16,72689,36473,1973,733
11.17,73944,38660,2042,1255
11.18,75577,39886,2089,1633
11.19,76757,41031,2153,1180
11.20,77994,42916,2209,1237
11.21,79309,43793,2246,1315
11.22,80006,44416,2276,697
11.23,80553,45760,2342,547
11.24,81739,47525,2394,1186
11.25,83328,48210,2429,1589
11.26,84252,48780,2480,924
11.27,85431,50001,2542,1179
11.28,85431,50001,2542,0
11.29,87374,51479,2620,1943
11.30,87901,52769,2681,527
12.01,87901,52769,2681,0
12.02,90378,54967,2773,2477
12.03,91539,56050,2812,1161
12.04,92793,57545,2865,1254
12.05,93768,58034,2922,975
12.06,94507,58625,2952,739
12.07,94944,59488,3012,437
12.08,96021,60210,3081,1077
12.09,97317,61322,3151,1296
12.10,97317,61322,3151,0
12.11,98603,62592,3199,1286
12.12,99543,63733,3250,940
12.13,101117,65758,3336,1574
12.14,101461,66486,3391,344
12.15,102330,67649,3457,869
12.16,103232,68245,3511,902
12.17,103232,68245,3511,0
12.18,104087,69495,3549,855
12.19,104881,70249,3583,794
12.20,105524,70620,3625,643
12.21,106222,71548,3706,698
12.22,106222,71548,3706,0
12.23,107570,73149,3838,1348
12.24,108298,73896,3878,728
12.25,108298,73896,3878,0
12.26,108891,74667,3901,593
12.27,109330,75124,3923,439
12.28,109691,75717,3953,361
12.29,109911,76121,3942,220
12.30,110454,76802,4024,543
12.31,110985,77225,4050,531
01.01,110985,77225,4050,0
01.02,112143,77682,4086,1158
01.03,112143,77682,4086,0
01.04,112645,77891,4131,502
01.05,113392,79465,4211,747
01.06,113392,79465,4211,0
01.07,113392,79465,4211,0
01.08,113392,79465,4211,0
01.09,114920,80868,4285,1528
01.10,115633,81625,4330,713
01.11,115633,81625,4330,0
01.12,116200,82822,4373,567
01.13,116200,82822,4373,0
01.14,116668,83662,4399,468
01.15,117011,84650,4411,343
01.16,117011,84650,4411,0
01.17,117011,84650,4411,0
01.18,117973,85883,4472,962
01.19,118383,88071,4509,410
01.20,118383,88071,4509,0
01.21,119206,89882,4536,823
01.22,119420,90691,4555,214
01.23,119420,90691,4555,0
01.24,119420,90691,4555,0
01.25,120143,92605,4593,723
01.26,120143,92605,4593,0
01.27,120532,93332,4621,389
01.28,120864,93657,4643,332
01.29,121194,94072,4659,330
01.30,121497,94604,4679,303
01.31,121497,94604,4679,0
02.01,121497,94604,4679,0
02.02,122461,95569,4737,964
02.03,122828,96096,4745,367
02.04,122828,96096,4745,0
02.05,122828,96096,4745,0
02.06,123434,97128,4775,606
02.07,123434,97128,4775,0
02.08,123434,97128,4775,0
02.09,124443,99669,4834,1009
02.10,124443,99669,4834,0
02.11,125123,102339,4868,680
02.12,125402,104135,4881,279
02.13,125402,104135,4881,0
02.14,125402,104135,4881,0
02.15,126139,105140,4916,737
02.16,126413,106831,4935,274
02.17,126781,109274,4949,368
