,confirm,heal,dead,confirm_add
03.31,3,0,0,0
04.01,4,0,1,1
04.02,4,0,1,0
04.03,4,0,1,0
04.04,4,0,1,0
04.05,4,0,1,0
04.06,6,0,1,2
04.07,6,0,1,0
04.08,6,0,1,0
04.09,13,0,1,7
04.10,13,0,1,0
04.11,13,0,1,0
04.12,13,0,1,0
04.13,13,0,1,0
04.14,13,0,1,0
04.15,13,0,1,0
04.16,15,0,1,2
04.17,15,0,1,0
04.18,15,0,1,0
04.19,20,0,1,5
04.20,20,0,1,0
04.21,20,0,1,0
04.22,22,0,1,2
04.23,22,0,1,0
04.24,22,0,1,0
04.25,22,0,1,0
04.26,22,0,1,0
04.27,22,0,1,0
04.28,22,0,1,0
04.29,23,0,1,1
04.30,23,5,1,0
05.01,23,5,1,0
05.02,23,8,1,0
05.03,23,8,1,0
05.04,23,8,1,0
05.05,23,8,1,0
05.06,23,8,1,0
05.07,23,9,1,0
05.08,23,9,1,0
05.09,23,9,1,0
05.10,23,12,1,0
05.11,24,12,1,1
05.12,24,12,1,0
05.13,24,17,1,0
05.14,24,17,1,0
05.15,24,17,1,0
05.16,24,17,1,0
05.17,24,17,1,0
05.18,25,17,1,1
05.19,25,17,1,0
05.20,25,17,1,0
05.21,29,17,1,4
05.22,29,19,1,0
05.23,30,19,1,1
05.24,30,19,1,0
05.25,35,19,1,5
05.26,35,20,1,0
05.27,35,20,1,0
05.28,35,20,1,0
05.29,35,20,1,0
05.30,35,20,1,0
05.31,35,20,1,0
06.01,38,20,1,3
06.02,38,21,1,0
06.03,40,23,1,2
06.04,40,23,1,0
06.05,40,23,1,0
06.06,40,23,1,0
06.07,40,23,1,0
06.08,40,23,1,0
06.09,42,24,1,2
06.10,42,24,1,0
06.11,48,24,1,6
06.12,48,24,1,0
06.13,48,24,1,0
06.14,60,24,1,12
06.15,60,24,1,0
06.16,60,24,1,0
06.17,60,24,1,0
06.18,79,25,1,19
06.19,89,25,1,10
06.20,89,25,1,0
06.21,89,25,1,0
06.22,89,25,1,0
06.23,89,25,1,0
06.24,89,25,1,0
06.25,92,25,1,3
06.26,92,25,1,0
06.27,92,25,1,0
06.28,92,25,1,0
06.29,92,25,1,0
06.30,175,25,1,83
