,confirm,heal,dead,confirm_add
03.10,2,0,0,2
03.11,2,0,0,0
03.12,2,0,0,0
03.13,2,0,0,0
03.14,2,0,0,0
03.15,2,0,0,0
03.16,15,0,0,13
03.17,15,0,0,0
03.18,20,0,1,5
03.19,27,0,1,7
03.20,33,0,1,6
03.21,40,4,1,7
03.22,64,5,3,24
03.23,99,5,4,35
03.24,114,5,4,50
03.25,114,7,4,0
03.26,146,10,7,32
03.27,152,10,7,6
03.28,180,12,9,28
03.29,207,21,11,27
03.30,222,23,12,15
03.31,246,31,12,24
04.01,261,32,14,15
04.02,288,50,16,27
04.03,288,50,16,0
04.04,302,50,16,14
04.05,318,66,16,16
04.06,345,90,17,27
04.07,364,108,18,19
04.08,384,127,19,20
04.09,414,134,23,30
04.10,443,146,24,29
04.11,448,149,26,5
04.12,484,155,27,36
04.13,497,161,27,13
04.14,515,161,27,18
04.15,528,177,30,13
04.16,542,226,32,14
04.17,546,257,32,4
04.18,557,294,35,11
04.19,565,321,36,8
04.20,576,338,36,11
04.21,581,357,38,5
04.22,600,362,38,19
04.23,609,389,39,9
04.24,616,410,41,7
04.25,629,425,41,13
04.26,629,442,41,0
04.27,632,453,42,3
04.28,635,469,42,3
04.29,638,476,42,3
04.30,641,498,43,3
05.01,645,506,43,4
05.02,649,517,44,4
05.03,652,535,44,3
05.04,662,540,45,10
05.05,672,545,46,10
05.06,688,548,48,16
05.07,729,555,48,41
05.08,736,562,48,7
05.09,744,566,48,8
05.10,748,569,48,4
05.11,751,577,49,3
05.12,760,584,50,9
05.13,766,588,51,6
05.14,773,592,51,7
05.15,773,592,51,0
05.16,780,595,51,7
05.17,782,604,51,2
05.18,796,644,51,14
05.19,796,652,51,0
05.20,809,661,52,13
05.21,812,669,52,3
05.22,812,669,52,0
05.23,814,672,52,2
05.24,814,672,52,0
05.25,832,672,52,18
05.26,832,672,52,0
05.27,845,672,53,13
05.28,845,672,53,0
05.29,847,719,53,2
05.30,847,720,53,0
05.31,847,720,53,0
06.01,847,720,53,0
06.02,881,720,53,34
06.03,881,720,53,0
06.04,884,753,53,3
06.05,885,760,53,1
06.06,888,760,53,3
06.07,888,765,53,0
06.08,890,765,53,2
06.09,890,765,53,0
06.10,891,765,53,1
06.11,891,790,53,0
06.12,892,791,53,1
06.13,892,799,53,0
06.14,894,799,53,2
06.15,894,804,53,0
06.16,894,807,53,0
06.17,895,809,53,1
06.18,899,810,53,4
06.19,900,810,53,1
06.20,901,810,53,1
06.21,901,814,53,0
06.22,903,814,53,2
06.23,907,823,53,4
06.24,919,825,53,12
06.25,934,826,53,15
06.26,941,830,53,7
06.27,941,830,53,0
06.28,941,830,53,0
06.29,959,830,53,18
06.30,962,838,53,3
07.01,962,838,53,0
07.02,967,846,53,5
07.03,980,852,53,13
07.04,980,852,53,0
07.05,987,854,53,7
07.06,1000,858,53,13
07.07,1003,860,53,3
07.08,1003,861,53,0
07.09,1005,862,53,2
07.10,1005,862,53,0
07.11,1020,864,53,15
07.12,1033,869,53,13
07.13,1036,869,53,3
07.14,1037,873,53,1
07.15,1037,873,53,0
07.16,1038,882,53,1
07.17,1045,887,53,7
07.18,1047,887,53,2
07.19,1052,901,53,5
07.20,1052,901,53,0
07.21,1065,901,53,13
07.22,1066,917,53,1
07.23,1070,919,53,4
07.24,1075,920,53,5
07.25,1075,920,53,0
07.26,1086,920,53,11
07.27,1100,926,53,14
07.28,1100,926,53,0
07.29,1105,931,53,5
07.30,1106,935,53,1
07.31,1106,935,53,0
