,confirm,heal,dead,confirm_add
04.01,2,0,0,0
04.02,2,0,0,0
04.03,3,0,0,1
04.04,3,0,0,0
04.05,3,0,0,0
04.06,3,0,0,0
04.07,3,0,0,0
04.08,3,0,0,0
04.09,3,0,0,0
04.10,3,0,0,0
04.11,3,0,0,0
04.12,5,0,0,2
04.13,5,0,1,0
04.14,5,0,1,0
04.15,5,0,1,0
04.16,5,0,1,0
04.17,5,0,1,0
04.18,5,0,1,0
04.19,5,0,1,0
04.20,5,4,1,0
04.21,5,4,1,0
04.22,11,4,1,6
04.23,11,4,1,0
04.24,11,4,1,0
04.25,11,4,1,0
04.26,11,4,1,0
04.27,11,4,1,0
04.28,11,4,1,0
04.29,11,4,1,0
04.30,11,4,1,0
05.01,11,4,1,0
05.02,11,4,1,0
05.03,11,4,1,0
05.04,15,7,1,4
05.05,15,7,1,0
05.06,15,7,1,0
05.07,15,7,1,0
05.08,15,7,1,0
05.09,15,7,1,0
05.10,15,7,1,0
05.11,15,7,1,0
05.12,15,7,1,0
05.13,15,7,1,0
05.14,15,7,1,0
05.15,15,7,1,0
05.16,15,7,1,0
05.17,15,7,1,0
05.18,42,20,1,27
05.19,42,20,1,0
05.20,42,20,1,0
05.21,42,20,1,0
05.22,42,20,1,0
05.23,42,20,1,0
05.24,42,20,1,0
05.25,42,20,1,0
05.26,42,20,1,0
05.27,42,20,1,0
05.28,42,20,1,0
05.29,42,20,1,0
05.30,42,20,1,0
05.31,63,33,1,21
06.01,63,33,1,0
06.02,63,33,1,0
06.03,63,33,1,0
06.04,63,33,1,0
06.05,63,33,1,0
06.06,63,33,1,0
06.07,83,45,1,20
06.08,83,45,1,0
06.09,83,45,1,0
06.10,83,45,1,0
06.11,83,45,1,0
06.12,85,45,1,2
06.13,85,45,1,0
06.14,85,45,1,0
06.15,85,45,1,0
06.16,104,75,1,19
06.17,104,75,1,0
06.18,104,75,1,0
06.19,104,75,1,0
06.20,104,75,1,0
06.21,144,93,1,40
06.22,144,93,1,0
06.23,144,93,1,0
06.24,144,93,1,0
06.25,144,93,1,0
06.26,144,93,1,0
06.27,144,93,1,0
06.28,170,115,1,26
06.29,170,115,1,0
06.30,170,115,1,0
07.01,170,115,1,0
07.02,170,115,1,0
07.03,170,115,1,0
07.04,191,118,1,21
07.05,191,118,1,0
07.06,191,118,1,0
07.07,191,118,1,0
07.08,191,118,1,0
07.09,191,118,1,0
07.10,191,118,1,0
07.11,191,118,1,0
07.12,191,118,1,0
07.13,269,207,1,78
07.14,269,207,1,0
07.15,269,207,1,0
07.16,269,207,1,0
07.17,303,207,1,34
07.18,310,207,1,7
07.19,310,207,1,0
07.20,310,207,1,0
07.21,322,207,1,12
07.22,328,207,1,6
07.23,345,270,1,17
07.24,345,270,1,0
07.25,345,270,1,0
07.26,361,279,1,16
07.27,361,279,1,0
07.28,378,301,1,17
07.29,378,301,1,0
07.30,387,304,1,9
07.31,387,304,1,0
08.01,387,304,1,0
08.02,395,304,1,8
08.03,395,304,1,0
08.04,395,304,1,0
08.05,395,304,1,0
08.06,395,304,1,0
08.07,400,304,1,5
08.08,400,304,1,0
08.09,405,312,1,5
08.10,408,315,1,3
08.11,408,315,1,0
08.12,408,315,1,0
08.13,409,315,1,1
08.14,410,315,1,1
08.15,412,315,1,2
08.16,413,315,1,1
08.17,413,315,1,0
08.18,413,336,1,0
08.19,416,336,1,3
08.20,422,336,1,6
08.21,422,336,1,0
08.22,426,336,1,4
08.23,429,336,1,3
08.24,430,336,1,1
08.25,430,345,1,0
08.26,430,345,1,0
08.27,431,345,1,1
08.28,431,345,1,0
08.29,433,345,1,2
08.30,445,357,1,12
08.31,445,357,1,0
09.01,445,357,1,0
09.02,445,357,1,0
09.03,448,357,1,3
09.04,448,357,1,0
09.05,451,357,1,3
09.06,460,357,1,9
09.07,462,357,1,2
09.08,466,374,1,4
09.09,466,374,1,0
09.10,466,374,1,0
09.11,469,374,1,3
09.12,469,374,1,0
09.13,471,374,1,2
09.14,472,374,1,1
09.15,472,374,1,0
09.16,472,374,1,0
09.17,472,374,1,0
09.18,473,374,1,1
09.19,473,374,1,0
09.20,473,374,1,0
09.21,473,462,1,0
09.22,474,462,1,1
09.23,474,462,1,0
09.24,476,462,1,2
09.25,477,462,1,1
09.26,483,462,1,6
09.27,485,472,1,2
09.28,485,472,1,0
09.29,502,472,1,17
09.30,506,472,1,4
10.01,508,472,1,2
10.02,510,472,1,2
10.03,513,472,1,3
10.04,513,472,1,0
10.05,514,472,1,1
10.06,514,472,1,0
10.07,514,472,1,0
10.08,515,472,1,1
10.09,515,472,1,0
10.10,515,472,1,0
10.11,524,472,1,9
10.12,524,472,1,0
10.13,525,472,1,1
10.14,529,472,1,4
10.15,529,497,1,0
10.16,529,497,1,0
10.17,531,497,1,2
10.18,536,497,1,5
10.19,549,497,1,13
10.20,549,497,1,0
10.21,550,497,1,1
10.22,551,497,1,1
10.23,551,497,1,0
10.24,555,497,1,4
10.25,557,511,1,2
10.26,557,511,1,0
10.27,557,511,1,0
10.28,558,511,1,1
10.29,559,511,1,1
10.30,560,511,1,1
10.31,585,511,1,25
11.01,589,511,1,4
11.02,589,511,1,0
11.03,589,511,1,0
11.04,597,511,1,8
11.05,606,511,1,9
11.06,606,511,1,0
11.07,606,511,1,0
11.08,612,511,1,6
11.09,614,549,1,2
11.10,614,549,1,0
11.11,615,549,1,1
11.12,620,549,1,5
11.13,623,549,1,3
11.14,624,549,1,1
11.15,627,549,1,3
11.16,628,549,1,1
11.17,630,549,1,2
11.18,631,575,1,1
11.19,641,575,1,10
11.20,641,575,1,0
11.21,649,575,1,8
11.22,656,575,1,7
11.23,662,575,1,6
11.24,664,575,1,2
11.25,673,575,1,9
11.26,673,575,1,0
11.27,677,575,1,4
11.28,681,575,1,4
11.29,681,575,1,0
11.30,681,575,1,0
12.01,689,575,1,8
12.02,689,575,1,0
12.03,689,575,1,0
12.04,692,575,1,3
12.05,692,575,1,0
12.06,694,575,1,2
12.07,694,575,1,0
12.08,698,630,1,4
12.09,716,630,1,18
12.10,720,630,1,4
12.11,721,640,1,1
12.12,723,640,1,2
12.13,728,640,1,5
12.14,729,640,1,1
12.15,729,640,1,0
12.16,735,640,1,6
12.17,741,640,1,6
12.18,751,640,1,10
12.19,751,640,1,0
12.20,761,687,2,10
12.21,761,687,2,0
12.22,762,687,2,1
12.23,762,687,2,0
12.24,773,687,2,11
12.25,773,687,2,0
12.26,786,687,2,13
12.27,786,687,2,0
12.28,804,687,2,18
12.29,804,687,2,0
12.30,809,687,2,5
12.31,809,687,2,0
01.01,818,687,2,9
01.02,822,687,2,4
01.03,822,687,2,0
