,confirm,heal,dead,confirm_add
01.31,1,0,0,0
02.01,1,0,0,0
02.02,1,0,0,0
02.03,1,0,0,0
02.04,1,0,0,0
02.05,1,0,0,0
02.06,1,0,0,0
02.07,1,0,0,0
02.08,1,0,0,0
02.09,1,0,0,0
02.10,1,0,0,0
02.11,1,0,0,0
02.12,1,0,0,0
02.13,1,0,0,0
02.14,1,0,0,0
02.15,1,0,0,0
02.16,1,0,0,0
02.17,1,0,0,0
02.18,1,1,0,0
02.19,1,1,0,0
02.20,1,1,0,0
02.21,1,1,0,0
02.22,1,1,0,0
02.23,1,1,0,0
02.24,1,1,0,0
02.25,1,1,0,0
02.26,1,1,0,0
02.27,1,1,0,0
02.28,1,1,0,0
02.29,1,1,0,0
03.01,1,1,0,0
03.02,1,1,0,0
03.03,1,1,0,0
03.04,1,1,0,0
03.05,1,1,0,0
03.06,1,1,0,0
03.07,2,1,0,1
03.08,2,1,0,0
03.09,2,1,0,0
03.10,3,1,0,1
03.11,3,1,0,0
03.12,5,1,0,2
03.13,5,1,0,0
03.14,7,1,0,2
03.15,7,1,0,0
03.16,12,1,0,5
03.17,12,1,0,0
03.18,35,1,0,23
03.19,37,1,0,2
03.20,47,1,0,10
03.21,51,1,0,4
03.22,53,1,0,2
03.23,84,2,0,31
03.24,91,4,0,7
03.25,96,2,0,12
03.26,96,10,0,0
03.27,98,2,0,2
03.28,99,13,0,1
03.29,103,21,0,4
03.30,103,21,0,5
03.31,109,23,0,6
04.01,109,25,0,0
04.02,110,34,0,1
04.03,114,35,0,4
04.04,114,50,0,0
04.05,114,50,0,0
04.06,114,53,0,0
04.07,115,58,0,1
04.08,117,63,0,2
04.09,119,63,0,2
04.10,119,72,0,0
04.11,120,75,0,1
04.12,122,77,0,2
04.13,122,77,0,0
04.14,122,91,0,0
04.15,122,96,0,0
04.16,122,98,0,0
04.17,122,98,0,0
04.18,122,103,0,0
04.19,122,105,0,0
04.20,122,107,0,0
04.21,122,110,0,0
04.22,122,110,0,0
04.23,122,110,0,0
04.24,122,110,0,0
04.25,122,117,0,0
04.26,122,117,0,0
04.27,122,119,0,0
04.28,122,119,0,0
04.29,122,119,0,0
04.30,122,119,0,0
05.01,122,119,0,0
05.02,122,120,0,0
05.03,122,120,0,0
05.04,122,120,0,0
05.05,122,120,0,0
05.06,122,120,0,0
05.07,122,120,0,0
05.08,122,120,0,0
05.09,122,120,0,0
05.10,122,120,0,0
05.11,122,120,0,0
05.12,122,121,0,0
05.13,122,121,0,0
05.14,122,121,0,0
05.15,122,121,0,0
05.16,122,122,0,0
05.17,122,122,0,0
05.18,122,122,0,0
05.19,122,122,0,0
05.20,122,122,0,0
05.21,122,122,0,0
05.22,123,122,0,1
05.23,124,122,0,1
05.24,124,122,0,0
05.25,124,122,0,0
05.26,124,122,0,0
05.27,124,122,0,0
05.28,124,122,0,0
05.29,124,122,0,0
05.30,125,123,0,1
05.31,125,123,0,0
06.01,125,123,0,0
06.02,125,123,0,0
06.03,125,123,0,0
06.04,125,123,0,0
06.05,125,123,0,0
06.06,125,123,0,0
06.07,125,123,0,0
06.08,126,123,0,1
06.09,126,124,0,0
06.10,126,125,0,0
06.11,126,125,0,0
06.12,126,125,0,0
06.13,126,125,0,0
06.14,128,125,0,2
06.15,128,125,0,0
06.16,128,125,0,0
06.17,128,126,0,0
06.18,129,126,0,1
06.19,129,126,0,0
06.20,129,126,0,0
06.21,129,127,0,0
06.22,129,127,0,0
06.23,130,127,0,1
06.24,130,127,0,0
06.25,130,127,0,0
06.26,130,127,0,0
06.27,139,129,0,9
06.28,141,129,0,2
06.29,141,130,0,0
06.30,141,130,0,0
07.01,141,131,0,0
07.02,141,131,0,0
07.03,141,131,0,0
07.04,141,131,0,0
07.05,141,131,0,0
07.06,141,131,0,0
07.07,141,131,0,0
07.08,141,131,0,0
07.09,141,131,0,0
07.10,141,131,0,0
07.11,141,133,0,0
07.12,156,133,0,15
07.13,156,133,0,0
07.14,165,133,0,9
07.15,165,133,0,0
07.16,166,133,0,1
07.17,171,133,0,5
07.18,171,133,0,0
07.19,171,136,0,0
07.20,171,136,0,0
07.21,197,140,0,26
07.22,197,140,0,0
07.23,198,142,0,1
07.24,202,142,0,4
07.25,202,142,0,0
07.26,225,143,0,23
07.27,225,143,0,0
07.28,226,147,0,1
07.29,226,147,0,0
07.30,234,162,0,8
07.31,234,164,0,0
08.01,239,164,0,5
08.02,240,196,0,1
08.03,240,197,0,0
08.04,240,197,0,0
08.05,243,202,0,3
08.06,243,210,0,0
