,confirm,heal,dead,confirm_add
03.06,1,0,0,1
03.07,2,0,0,1
03.08,2,0,0,0
03.09,2,0,0,0
03.10,2,0,0,0
03.11,2,0,0,0
03.12,2,0,0,0
03.13,2,0,0,0
03.14,3,0,0,1
03.15,3,0,0,0
03.16,5,0,0,1
03.17,10,2,0,5
03.18,10,2,0,0
03.19,13,2,0,3
03.20,21,2,0,8
03.21,27,2,0,6
03.22,40,2,0,13
03.23,56,2,0,16
03.24,66,2,0,10
03.25,66,2,1,10
03.26,75,3,1,9
03.27,88,3,2,13
03.28,94,3,2,6
03.29,99,3,2,5
03.30,142,5,6,43
03.31,193,5,6,51
04.01,233,10,6,40
04.02,284,10,7,51
04.03,306,10,7,22
04.04,509,17,8,203
04.05,555,17,9,46
04.06,658,17,9,103
04.07,658,17,9,0
04.08,685,60,9,27
04.09,730,60,10,45
04.10,803,61,12,73
04.11,820,98,12,17
04.12,820,98,12,0
04.13,820,98,12,0
04.14,848,130,14,28
04.15,848,165,17,0
04.16,848,165,17,0
04.17,996,164,22,148
04.18,1017,177,22,21
04.19,1017,305,42,0
04.20,1017,305,42,0
04.21,1163,329,43,146
04.22,1163,331,43,0
04.23,1163,397,43,0
04.24,1430,668,43,267
04.25,1518,697,53,88
04.26,1621,786,56,103
04.27,1621,786,56,0
04.28,1705,805,58,84
04.29,1806,915,59,101
04.30,1832,934,61,26
05.01,1832,934,61,0
05.02,1832,934,61,0
05.03,2077,953,64,245
05.04,2077,953,64,0
05.05,2104,953,64,27
05.06,2265,1000,64,161
05.07,2267,1002,108,2
05.08,2267,1002,108,0
05.09,2274,1232,108,7
05.10,2579,1465,114,305
05.11,2579,1465,114,0
05.12,2689,1524,125,110
05.13,2689,1524,125,0
05.14,2800,1543,136,111
05.15,2954,1553,139,154
05.16,3105,1567,140,151
05.17,3105,1567,140,0
05.18,3105,1567,140,0
05.19,3529,1567,140,424
05.20,3529,1567,140,0
05.21,3733,1595,146,204
05.22,4288,1808,156,555
05.23,4400,1822,159,112
05.24,4400,1822,159,0
05.25,4890,1865,165,490
05.26,5044,1917,171,154
05.27,5436,1996,175,392
05.28,5436,1996,175,0
05.29,5436,1996,175,0
05.30,5436,3326,177,0
05.31,5904,3568,191,468
06.01,6143,3578,197,239
06.02,6397,3629,199,254
06.03,6585,3676,200,188
06.04,6789,3705,203,204
06.05,7392,4575,205,603
06.06,7599,4587,212,207
06.07,7599,4587,212,0
06.08,8060,4748,212,461
06.09,8312,4794,212,252
06.10,8681,4836,212,369
06.11,8681,4836,212,0
06.12,8681,4836,212,0
06.13,8681,4836,212,0
06.14,8681,4836,212,0
06.15,9864,5570,276,1183
06.16,9864,5570,276,0
06.17,9864,5570,276,0
06.18,9864,5570,276,0
06.19,10638,7548,282,774
06.20,10638,7548,282,0
06.21,11610,7702,301,972
06.22,11892,7710,303,282
06.23,12041,7740,308,149
06.24,12270,7774,313,229
06.25,12592,10100,313,322
06.26,12592,10100,313,0
06.27,12592,10100,313,0
06.28,12592,10100,313,0
06.29,12592,10100,313,0
06.30,12592,10100,313,0
07.01,12592,10100,313,0
07.02,12592,10100,313,0
07.03,12592,10100,313,0
07.04,12592,10100,313,0
07.05,12592,10100,313,0
07.06,12592,10100,313,0
07.07,14916,11525,359,2324
07.08,14916,11525,359,0
07.09,14916,11525,359,0
07.10,14916,11525,359,0
07.11,14916,11525,359,0
07.12,15173,11928,359,257
07.13,15173,11928,359,0
07.14,15173,11928,359,0
07.15,15173,11928,359,0
07.16,15173,11928,359,0
07.17,16157,13728,373,984
07.18,16157,13728,373,0
07.19,16157,13728,373,0
07.20,16157,13728,373,0
07.21,16157,13728,373,0
07.22,16522,13728,382,365
07.23,16522,13728,382,0
07.24,16708,14539,385,186
07.25,16708,14539,385,0
07.26,16708,14539,385,0
07.27,16708,14539,385,0
07.28,17110,14539,391,402
07.29,17179,14539,391,69
07.30,17255,15320,391,76
07.31,17255,15320,391,0
08.01,17255,15320,391,0
08.02,17255,15320,391,0
08.03,17255,15320,391,0
08.04,17255,15320,391,0
08.05,17718,15320,391,463
08.06,17718,15320,391,0
08.07,17718,15320,391,0
08.08,17718,15320,391,0
08.09,18042,15320,395,324
08.10,18042,15320,395,0
08.11,18042,15320,395,0
08.12,18213,15320,398,171
08.13,18263,15320,401,50
08.14,18308,15320,401,45
08.15,18469,15320,401,161
08.16,18469,16540,401,0
08.17,18469,16540,401,0
08.18,18582,16540,403,113
08.19,18599,16540,406,17
08.20,18624,16540,406,25
08.21,18762,16540,408,138
08.22,18762,16540,408,0
08.23,18762,16540,408,0
08.24,18762,16540,408,0
08.25,18762,16540,408,0
08.26,18973,16540,410,211
08.27,18973,16540,410,0
08.28,19142,17651,411,169
08.29,19142,17651,411,0
08.30,19142,17651,411,0
08.31,19142,17651,411,0
09.01,19142,17651,411,0
09.02,19409,17651,414,267
09.03,19460,17651,415,51
09.04,19604,18448,415,144
09.05,19604,18448,415,0
09.06,19604,18448,415,0
09.07,19604,18448,415,0
09.08,19604,18448,415,0
09.09,19848,18448,415,244
09.10,19848,18448,415,0
09.11,20009,18837,415,161
09.12,20009,18837,415,0
09.13,20009,18837,415,0
09.14,20167,18837,415,158
09.15,20228,18837,415,61
09.16,20271,18837,415,43
09.17,20303,18837,415,32
09.18,20303,18837,415,0
09.19,20371,19124,416,68
09.20,20431,19124,416,60
09.21,20431,19124,416,0
09.22,20598,19124,416,167
09.23,20598,19124,416,0
09.24,20690,19124,416,92
