,confirm,heal,dead,confirm_add
03.20,1,0,0,1
03.21,1,0,0,0
03.22,1,0,0,0
03.23,1,0,0,0
03.24,3,0,0,2
03.25,3,0,0,2
03.26,3,0,0,0
03.27,3,0,0,0
03.28,3,0,0,0
03.29,5,0,0,2
03.30,5,0,0,0
03.31,7,0,0,2
04.01,7,0,0,0
04.02,7,0,0,0
04.03,8,0,0,1
04.04,9,0,0,1
04.05,9,0,0,0
04.06,9,0,0,0
04.07,9,0,0,0
04.08,10,2,0,1
04.09,10,2,0,0
04.10,11,2,0,1
04.11,11,2,0,0
04.12,18,2,0,7
04.13,18,2,0,0
04.14,23,2,0,5
04.15,23,2,0,0
04.16,27,5,0,4
04.17,27,5,0,0
04.18,33,8,0,6
04.19,33,8,0,0
04.20,33,8,0,0
04.21,33,8,0,0
04.22,33,8,0,0
04.23,33,8,0,0
04.24,40,8,0,7
04.25,40,8,0,0
04.26,46,15,0,6
04.27,46,15,0,0
04.28,46,15,0,0
04.29,52,19,2,6
04.30,52,19,2,0
05.01,73,33,5,21
05.02,73,33,5,0
05.03,117,39,10,44
05.04,117,39,10,0
05.05,117,39,10,0
05.06,170,43,17,53
05.07,170,43,17,0
05.08,253,50,27,83
05.09,260,50,28,7
05.10,322,53,31,62
05.11,322,53,31,0
05.12,322,53,31,0
05.13,372,78,42,50
05.14,372,78,42,0
05.15,399,83,46,27
05.16,428,88,48,29
05.17,474,111,50,46
05.18,503,117,53,29
05.19,519,117,53,16
05.20,545,139,56,26
05.21,565,177,57,20
05.22,588,186,58,23
05.23,611,196,58,23
05.24,648,204,60,37
05.25,675,215,60,27
05.26,687,244,61,12
05.27,700,303,62,13
05.28,715,359,64,15
05.29,726,413,65,11
05.30,759,444,65,33
05.31,759,470,65,0
06.01,778,491,65,19
06.02,790,539,66,12
06.03,803,562,66,13
06.04,820,590,66,17
06.05,828,633,66,8
06.06,836,657,68,8
06.07,836,672,69,0
06.08,837,672,69,1
06.09,839,685,70,2
06.10,844,706,71,5
06.11,846,706,72,2
06.12,848,706,72,2
06.13,848,711,72,0
06.14,848,718,72,0
06.15,850,720,73,2
06.16,850,720,73,0
06.17,853,720,74,3
06.18,854,733,74,1
06.19,854,733,74,0
06.20,858,742,74,4
06.21,858,746,74,0
06.22,858,752,74,0
06.23,858,755,74,0
06.24,860,757,74,2
06.25,860,770,74,0
06.26,865,778,74,5
06.27,865,778,74,0
06.28,865,778,74,0
06.29,866,780,74,1
06.30,866,781,74,0
07.01,866,781,74,0
07.02,866,785,74,0
07.03,868,785,74,2
07.04,871,786,74,3
07.05,871,787,74,0
07.06,872,787,74,1
07.07,872,787,74,0
07.08,873,788,74,1
07.09,873,788,74,0
07.10,873,788,74,0
07.11,874,789,74,1
07.12,874,790,74,0
07.13,880,790,75,6
07.14,880,792,75,0
07.15,884,798,75,4
07.16,885,799,75,1
07.17,886,799,75,1
07.18,887,800,75,1
07.19,889,800,75,2
07.20,889,801,75,0
07.21,889,801,75,0
07.22,889,803,75,0
07.23,889,805,75,0
07.24,915,805,75,26
07.25,915,805,75,0
07.26,915,810,75,0
07.27,915,810,75,0
07.28,922,810,75,7
07.29,926,810,75,4
07.30,926,813,75,0
07.31,935,813,75,9
08.01,936,813,75,1
08.02,936,813,75,0
08.03,936,813,75,0
08.04,936,814,75,0
08.05,938,814,75,2
08.06,939,835,75,1
08.07,942,838,76,3
08.08,942,838,76,0
08.09,942,839,76,0
08.10,944,839,76,2
08.11,945,843,76,1
08.12,946,859,76,1
08.13,949,859,76,3
08.14,949,860,76,0
08.15,951,862,76,2
08.16,952,864,76,1
08.17,956,865,76,4
08.18,959,865,76,3
08.19,970,865,76,11
08.20,971,868,76,1
08.21,972,869,76,1
08.22,981,869,76,9
08.23,982,869,76,1
08.24,986,870,76,4
08.25,987,870,76,1
08.26,995,871,77,8
08.27,998,873,77,3
08.28,1004,875,77,6
08.29,1008,878,77,4
08.30,1008,878,77,0
08.31,1012,878,77,4
09.01,1013,880,77,1
09.02,1017,884,77,4
09.03,1017,904,77,0
09.04,1018,908,77,1
09.05,1023,914,77,5
09.06,1034,914,77,11
09.07,1039,918,79,5
09.08,1040,919,79,1
09.09,1045,927,79,5
09.10,1048,931,79,3
09.11,1051,932,79,3
09.12,1081,934,79,30
09.13,1083,938,80,2
09.14,1084,938,80,1
09.15,1085,940,81,1
09.16,1087,944,81,2
09.17,1090,960,81,3
09.18,1115,962,81,25
09.19,1147,966,81,32
09.20,1149,966,81,2
09.21,1151,967,81,2
09.22,1153,967,81,2
09.23,1155,967,81,2
09.24,1164,997,82,9
09.25,1171,1003,82,7
09.26,1175,1004,83,4
09.27,1177,1005,83,2
09.28,1178,1005,84,1
09.29,1185,1006,85,7
09.30,1193,1007,85,8
10.01,1200,1007,85,7
10.02,1203,1067,85,3
10.03,1211,1070,85,8
10.04,1214,1075,85,3
10.05,1217,1075,86,3
10.06,1223,1075,86,6
10.07,1238,1077,88,15
10.08,1251,1090,89,13
10.09,1262,1098,89,11
10.10,1274,1102,90,12
10.11,1291,1103,92,17
10.12,1304,1115,92,13
10.13,1308,1117,92,4
10.14,1321,1120,92,13
10.15,1329,1120,92,8
10.16,1350,1120,92,21
10.17,1361,1138,93,11
10.18,1365,1179,93,4
10.19,1379,1181,93,14
10.20,1390,1194,93,11
10.21,1399,1199,93,9
10.22,1404,1221,96,5
10.23,1410,1223,96,6
10.24,1423,1234,96,13
10.25,1434,1254,96,11
10.26,1437,1268,96,3
10.27,1441,1277,96,4
10.28,1460,1290,96,19
10.29,1468,1306,97,8
10.30,1473,1307,97,5
10.31,1483,1314,98,10
11.01,1498,1324,98,15
11.02,1498,1324,98,0
11.03,1499,1329,98,1
11.04,1513,1331,98,14
11.05,1517,1351,99,4
11.06,1529,1354,99,12
11.07,1538,1362,99,9
11.08,1543,1365,99,5
11.09,1547,1382,99,4
11.10,1551,1394,99,4
11.11,1561,1413,99,10
11.12,1565,1420,99,4
11.13,1578,1428,100,13
11.14,1589,1435,100,11
11.15,1591,1439,100,2
11.16,1597,1443,101,6
11.17,1603,1448,101,6
11.18,1608,1450,101,5
11.19,1616,1457,101,8
11.20,1620,1463,101,4
11.21,1626,1465,101,6
11.22,1633,1469,101,7
11.23,1642,1469,101,9
11.24,1648,1476,101,6
11.25,1649,1493,101,1
11.26,1655,1494,101,6
11.27,1661,1496,101,6
11.28,1663,1499,101,2
11.29,1663,1504,101,0
11.30,1682,1515,101,19
12.01,1688,1525,101,6
12.02,1700,1532,102,12
12.03,1705,1539,102,5
12.04,1708,1539,102,3
12.05,1719,1555,102,11
12.06,1722,1561,102,3
12.07,1725,1564,102,3
12.08,1728,1571,102,3
12.09,1729,1573,102,1
12.10,1732,1581,102,3
12.11,1739,1587,102,7
12.12,1745,1595,102,6
12.13,1751,1603,102,6
12.14,1770,1607,102,19
12.15,1771,1608,102,1
12.16,1784,1611,102,13
12.17,1800,1620,102,16
12.18,1818,1626,102,18
12.19,1839,1630,102,21
12.20,1867,1632,102,28
12.21,1890,1632,102,23
12.22,1902,1633,102,12
12.23,1916,1634,102,14
12.24,1938,1638,102,22
12.25,1958,1651,102,20
12.26,1971,1654,102,13
12.27,1986,1654,103,15
12.28,2005,1662,104,19
12.29,2015,1686,104,10
12.30,2048,1686,104,33
12.31,2077,1703,104,29
01.01,2113,1704,104,36
01.02,2141,1704,104,28
01.03,2169,1710,104,28
01.04,2213,1720,104,44
01.05,2229,1724,104,16
01.06,2289,1876,105,60
01.07,2328,1888,105,39
01.08,2358,1918,105,30
01.09,2419,1938,106,61
01.10,2510,1962,107,91
01.11,2537,1965,107,27
01.12,2589,1994,107,52
01.13,2668,2016,108,79
01.14,2709,2033,109,41
01.15,2773,2073,110,64
01.16,2807,2080,111,34
01.17,2855,2107,111,48
01.18,2895,2130,111,40
01.19,2919,2148,113,24
01.20,2977,2170,114,58
01.21,3012,2178,114,35
01.22,3065,2193,114,53
01.23,3104,2222,115,39
01.24,3137,2240,115,33
01.25,3161,2255,116,24
01.26,3182,2260,116,21
01.27,3225,2316,116,43
01.28,3269,2335,117,44
01.29,3296,2364,118,27
01.30,3321,2374,118,25
01.31,3347,2442,118,26
02.01,3376,2464,118,29
02.02,3385,2470,121,9
02.03,3404,2507,121,19
02.04,3419,2544,121,15
02.05,3433,2568,121,14
02.06,3450,2810,124,17
02.07,3473,2849,125,23
02.08,3497,2895,125,24
02.09,3508,2913,125,11
02.10,3539,3044,125,31
02.11,3568,3062,126,29
02.12,3581,3088,126,13
02.13,3597,3131,128,16
02.14,3622,3158,128,25
02.15,3645,3175,129,23
02.16,3664,3182,131,19
02.17,3689,3209,131,25
02.18,3724,3223,132,35
02.19,3751,3233,132,27
02.20,3776,3246,132,25
02.21,3794,3259,133,18
02.22,3849,3315,134,55
02.23,3868,3336,135,19
02.24,3882,3368,136,14
02.25,3904,3398,136,22
02.26,3934,3420,137,30
02.27,3957,3450,138,23
02.28,3973,3475,140,16
03.01,3973,3475,140,0
03.02,3986,3480,140,13
03.03,3999,3484,140,13
03.04,4056,3542,140,57
03.05,4089,3572,140,33
03.06,4089,3572,140,0
03.07,4161,3607,140,72
03.08,4177,3668,140,16
03.09,4193,3690,146,16
03.10,4214,3724,148,21
03.11,4231,3729,149,17
03.12,4246,3760,151,15
03.13,4274,3771,152,28
03.14,4288,3781,153,14
03.15,4309,3787,154,21
03.16,4328,3803,155,19
03.17,4344,3818,155,16
03.18,4357,3836,156,13
03.19,4380,3864,157,23
03.20,4395,3888,157,15
03.21,4410,3945,157,15
03.22,4420,4017,157,10
03.23,4427,4045,157,7
03.24,4440,4059,158,13
03.25,4453,4072,158,13
03.26,4465,4080,158,12
03.27,4480,4094,158,15
03.28,4501,4099,160,21
03.29,4506,4109,162,5
03.30,4506,4109,162,0
03.31,4523,4137,164,17
04.01,4533,4140,164,10
04.02,4552,4149,164,19
04.03,4573,4165,164,21
04.04,4589,4190,164,16
04.05,4595,4199,165,6
04.06,4595,4215,166,0
04.07,4603,4233,166,8
04.08,4606,4236,166,3
04.09,4616,4254,167,10
04.10,4619,4279,167,3
04.11,4625,4286,167,6
04.12,4636,4286,167,11
04.13,4641,4298,167,5
04.14,4652,4306,167,11
04.15,4662,4312,167,10
04.16,4673,4320,168,11
04.17,4686,4329,168,13
04.18,4691,4335,168,5
04.19,4706,4342,169,15
04.20,4708,4353,169,2
04.21,4723,4353,169,15
04.22,4731,4368,169,8
04.23,4731,4368,169,0
04.24,4747,4382,169,16
04.25,4752,4384,169,5
04.26,4770,4389,169,18
04.27,4772,4399,169,2
04.28,4779,4406,170,7
04.29,4789,4408,170,10
04.30,4810,4416,170,21
05.01,4817,4423,170,7
05.02,4824,4430,170,7
05.03,4828,4430,170,4
05.04,4828,4528,170,0
05.05,4835,4565,170,7
05.06,4847,4570,170,12
05.07,4854,4612,170,7
05.08,4862,4622,170,8
05.09,4874,4647,171,12
05.10,4877,4649,171,3
05.11,4882,4657,171,5
05.12,4888,4661,172,6
05.13,4891,4668,172,3
05.14,4895,4672,172,4
05.15,4897,4677,173,2
05.16,4901,4678,173,4
05.17,4904,4688,173,3
05.18,4904,4691,173,0
05.19,4905,4704,173,1
05.20,4914,4711,173,9
05.21,4918,4717,173,4
05.22,4919,4719,173,1
05.23,4923,4721,173,4
05.24,4924,4729,173,1
05.25,4924,4735,173,0
05.26,4924,4736,173,0
05.27,4925,4738,173,1
