,confirm,heal,dead,confirm_add
03.04,1,0,0,1
03.05,3,0,0,2
03.06,4,0,0,1
03.07,4,0,0,0
03.08,7,0,0,3
03.09,8,0,0,1
03.10,13,0,0,5
03.11,17,0,0,4
03.12,23,0,0,6
03.13,33,0,0,10
03.14,43,0,0,10
03.15,61,0,0,18
03.16,75,0,0,14
03.17,156,0,0,81
03.18,201,0,0,45
03.19,238,0,0,37
03.20,342,0,0,104
03.21,434,0,0,92
03.22,537,8,1,103
03.23,632,8,1,95
03.24,746,11,2,114
03.25,922,17,2,172
03.26,1142,17,2,220
03.27,1306,17,2,164
03.28,1610,43,5,304
03.29,1909,61,6,299
03.30,2449,156,8,540
03.31,2738,156,12,289
04.01,3031,234,16,293
04.02,3404,335,18,373
04.03,3737,427,22,333
04.04,3737,427,22,0
04.05,4161,528,27,424
04.06,4471,618,34,310
04.07,4815,728,37,344
04.08,5546,1115,48,731
04.09,5972,1274,57,426
04.10,5972,1274,57,0
04.11,6501,1571,65,529
04.12,7213,2059,73,712
04.13,7525,2367,82,312
04.14,7525,2367,82,0
04.15,7917,2646,92,392
04.16,8273,2937,94,356
04.17,9252,3299,116,979
04.18,9730,4035,126,478
04.19,10088,4338,133,358
04.20,10088,4338,133,0
04.21,10507,4676,139,419
04.22,11296,5386,160,789
04.23,11812,5804,168,516
04.24,11812,5804,168,0
04.25,12858,6746,181,1046
04.26,12858,6746,181,0
04.27,13331,7024,189,473
04.28,13813,7327,198,482
04.29,14365,7710,207,552
04.30,16023,8580,227,1658
05.01,16023,8580,227,0
05.02,17008,9018,234,985
05.03,18435,9572,247,1427
05.04,20643,10415,270,2208
05.05,22016,10710,275,1373
05.06,22016,10710,275,0
05.07,24581,11664,285,2565
05.08,24581,11664,285,0
05.09,25972,12160,294,1391
05.10,27219,12667,304,1247
05.11,28866,13112,312,1647
05.12,31721,14125,335,2855
05.13,31721,14125,335,0
05.14,37040,15655,368,5319
05.15,39542,16614,394,2502
05.16,39542,16614,394,0
05.17,41428,18014,421,1886
05.18,43781,19213,450,2353
05.19,46059,20165,478,2278
05.20,49579,21507,509,3520
05.21,53617,22504,544,4038
05.22,57581,23992,589,3964
05.23,65393,26546,673,7812
05.24,65393,26546,673,0
05.25,73997,29302,761,8604
05.26,73997,29302,761,0
05.27,77961,30915,806,3964
05.28,82289,33540,841,4328
05.29,86943,36115,890,4654
05.30,90638,38598,944,3695
05.31,94858,40431,997,4220
06.01,99688,42727,1054,4830
06.02,105158,44946,1113,5470
06.03,108686,21325,1188,3528
06.04,113628,21605,1275,4942
06.05,118292,21305,1356,4664
06.06,122499,99358,1448,4207
06.07,127745,103817,1541,5246
06.08,134150,108150,1637,6405
06.09,138846,112248,2264,4696
06.10,142759,117361,2283,3913
06.11,148456,121780,2475,5697
06.12,154092,126444,2648,5636
06.13,160846,131358,2870,6754
06.14,167355,137296,3101,6509
06.15,174293,143704,3323,6938
06.16,184449,156232,3383,10156
06.17,184449,156232,3383,0
06.18,220628,181931,3615,36179
06.19,225103,186441,3841,4475
06.20,231393,191491,4093,6290
06.21,236748,196609,4295,5355
06.22,242355,200569,4479,5607
06.23,246963,205397,4502,4608
06.24,250767,210570,4505,3804
06.25,254416,215093,4731,3649
06.26,259064,219327,4903,4648
06.27,263360,223431,5068,4296
06.28,267766,228055,5347,4406
06.29,271982,232210,5509,4216
06.30,275999,236154,5575,4017
07.01,279393,241229,5688,3394
07.02,282043,245443,5753,2650
07.03,284541,249247,5920,2498
07.04,288089,253343,6051,3548
07.05,291847,257451,6192,3758
07.06,298557,264378,6384,6710
07.07,298557,264378,6384,0
07.08,301019,268251,6434,2462
07.09,303083,271741,6573,2064
07.10,306216,274922,6682,3133
07.11,309274,278053,6781,3058
07.12,312029,281114,6881,2755
07.13,315041,283902,6979,3012
07.14,317657,286556,7024,2616
07.15,319493,289220,7069,1836
07.16,321205,292085,7186,1712
07.17,323698,295301,7290,2493
07.18,326439,296814,8347,2741
07.19,328846,299449,8445,2407
07.20,330930,301794,8503,2084
07.21,330930,301794,8503,0
07.22,334683,306816,8677,3753
07.23,334683,306816,8677,0
07.24,338759,311431,8838,4076
07.25,341304,313696,8914,2545
07.26,343592,316169,9020,2288
07.27,345790,318095,9112,2198
07.28,347923,319954,9187,2133
07.29,349800,322332,9240,1877
07.30,351575,324557,9278,1775
07.31,353536,326628,9377,1961
