,confirm,heal,dead,confirm_add
03.07,1,0,0,1
03.08,1,0,0,0
03.09,3,0,0,2
03.10,3,0,0,0
03.11,3,0,0,0
03.12,9,0,0,6
03.13,9,0,0,0
03.14,22,0,0,13
03.15,22,0,0,0
03.16,45,0,0,23
03.17,57,0,0,12
03.18,75,0,0,18
03.19,102,1,0,25
03.20,128,1,0,26
03.21,158,1,0,30
03.22,210,1,1,52
03.23,235,3,2,25
03.24,277,3,3,42
03.25,378,6,3,101
03.26,470,6,3,92
03.27,491,8,6,21
03.28,539,10,6,48
03.29,608,10,6,69
03.30,702,10,10,94
03.31,798,15,14,96
04.01,906,31,16,108
04.02,1065,39,17,159
04.03,1161,55,19,96
04.04,1267,55,25,106
04.05,1406,85,32,139
04.06,1485,88,35,79
04.07,1579,88,46,94
04.08,1780,100,50,201
04.09,2054,123,55,274
04.10,2223,174,69,169
04.11,2473,197,80,250
04.12,2709,214,100,236
04.13,2776,270,109,67
04.14,2852,319,112,76
04.15,2979,354,127,127
04.16,3105,452,131,126
04.17,3233,550,144,128
04.18,3439,634,153,206
04.19,3621,691,166,182
04.20,3792,711,179,171
04.21,3977,804,189,185
04.22,4149,804,196,172
04.23,4356,870,206,207
04.24,4561,927,215,205
04.25,4881,1003,225,320
04.26,5142,1067,233,261
04.27,5379,1133,244,237
04.28,5597,1210,253,218
04.29,5949,1268,269,352
04.30,6211,1411,278,262
05.01,6507,1439,293,296
05.02,7006,1551,314,499
05.03,7285,1666,324,279
05.04,7668,1722,340,383
05.05,7973,1807,358,305
05.06,8613,2013,378,640
05.07,8959,2148,397,346
05.08,9456,2300,407,497
05.09,10051,2424,428,595
05.10,10495,2569,445,444
05.11,11063,2705,463,568
05.12,11613,2825,479,550
05.13,12272,2971,493,659
05.14,12930,3133,509,658
05.15,13610,3358,525,680
05.16,14216,3460,546,606
05.17,14939,3587,562,723
05.18,15574,3751,574,635
05.19,16295,3903,592,721
05.20,16935,4050,613,640
05.21,17687,4256,630,752
05.22,18330,4431,652,643
05.23,19131,4575,682,801
05.24,20177,4718,705,1046
05.25,21175,5016,727,998
05.26,21981,5265,750,806
05.27,23003,5511,776,1022
05.28,24104,6111,803,1101
05.29,25406,6687,855,1302
05.30,26734,6935,891,1328
05.31,27219,7032,916,485
06.01,27219,7032,916,0
06.02,30593,9689,1014,3374
06.03,30593,9689,1014,0
06.04,33466,12319,1099,2873
06.05,35240,12952,1142,1774
06.06,36759,13670,1204,1519
06.07,36759,13670,1204,0
06.08,39364,15354,1323,2605
06.09,40847,16459,1373,1483
06.10,40847,16459,1373,0
06.11,42206,16566,1439,1359
06.12,43810,17366,1505,1604
06.13,45344,17823,1562,1534
06.14,46994,18749,1623,1650
06.15,51087,19855,1748,4093
06.16,53168,19985,1808,2081
06.17,53211,19986,1808,43
06.18,55083,20400,1887,1872
06.19,57202,21361,1955,2119
06.20,60387,22726,2046,3185
06.21,63454,24035,2148,3067
06.22,68836,27412,2353,5382
06.23,71367,29024,2426,2531
06.24,73760,30517,2524,2393
06.25,77313,31729,2611,3553
06.26,80784,33408,2786,3471
06.27,84660,34999,2946,3876
06.28,88817,36335,3076,4157
06.29,91995,38345,3256,3178
06.30,91995,38345,3256,0
07.01,95269,40021,3376,3274
07.02,98090,42143,3488,2821
07.03,102261,43481,3650,4171
07.04,109793,45409,4001,7532
07.05,109793,45409,4001,0
07.06,113685,46643,4178,3892
07.07,117412,47961,4305,3727
07.08,124494,51861,4606,7082
07.09,124494,51861,4606,0
07.10,128638,53634,4791,4144
07.11,133973,56272,4985,5335
07.12,140776,58800,5202,6803
07.13,145362,61186,5426,4586
07.14,150445,63451,5634,5083
07.15,159898,68773,5969,9453
07.16,159898,68806,5969,0
07.17,165169,71736,6164,5271
07.18,182140,80637,6288,16971
07.19,190700,85836,6516,8560
07.20,197278,91793,6736,6578
07.21,204005,95804,6929,6727
07.22,211038,98840,7166,7033
07.23,218428,101613,7373,7390
07.24,226373,107951,7688,7945
07.25,233541,113864,7975,7168
07.26,240795,119667,8269,7254
07.27,248976,125037,8525,8181
07.28,257101,131161,8777,8125
07.29,267385,136690,9074,10284
07.30,276055,142777,9454,8670
07.31,276055,148692,9808,0
08.01,295508,154387,10105,19453
08.02,306181,160708,10330,10673
08.03,317651,167239,10650,11470
08.04,327609,173632,11013,9958
08.05,334979,180258,11315,7370
08.06,345714,186317,11624,10735
08.07,357710,192355,11939,11996
08.08,367204,198495,12250,9494
08.09,376870,204591,12540,9666
08.10,387481,212688,12842,10611
08.11,397623,221484,13154,10142
08.12,410453,230427,13475,12830
08.13,422519,239785,13837,12066
08.14,433805,250494,14145,11286
08.15,445111,261293,14492,11306
08.16,456689,274420,14810,11578
08.17,468332,287436,15097,11643
08.18,476660,301525,15372,8328
08.19,489122,312323,15619,12462
08.20,502178,326298,15979,13056
08.21,513719,339124,16183,11541
08.22,522138,348940,16568,8419
08.23,533103,359792,16968,10965
08.24,541139,374024,17316,8036
08.25,551688,384165,17612,10549
08.26,562113,395463,17889,10425
08.27,572243,407114,18184,10130
08.28,581995,417781,18467,9752
08.29,590492,429608,18766,8497
08.30,599884,440562,19063,9392
08.31,607904,450609,19363,8020
09.01,615094,459460,19662,7190
09.02,624026,469552,20050,8932
09.03,633339,479568,20348,9313
09.04,641574,489151,20618,8235
09.05,650055,498219,20886,8481
09.06,658456,507770,21156,8401
09.07,666521,518229,21412,8065
09.08,671848,529279,21615,5327
09.09,679513,541462,21817,7665
09.10,686851,552885,22053,7338
09.11,694664,569479,22275,7813
09.12,702088,582694,22518,7424
09.13,708964,592820,22734,6876
09.14,716319,599385,22924,7355
09.15,721892,606925,23123,5573
09.16,728590,607978,23288,6698
09.17,736377,610078,23478,7787
09.18,743945,615457,23665,7568
09.19,750471,615457,23665,6526
09.20,758398,627685,24039,7927
09.21,765076,633199,24208,6678
09.22,770435,640900,24397,5359
09.23,777537,650801,24570,7102
09.24,784268,662277,24746,6731
09.25,790823,662277,24746,6555
09.26,798317,687477,25103,7494
09.27,806038,700112,25296,7721
09.28,813056,711472,25488,7018
09.29,818203,722536,25641,5147
09.30,824042,734154,25828,5839
10.01,829679,743653,25998,5637
10.02,835339,751691,26196,5660
10.03,841532,753953,26397,6193
10.04,848147,757801,26556,6615
10.05,855052,761674,26712,6905
10.06,862158,766300,26844,7106
10.07,869808,770812,27017,7650
10.08,877684,773973,27180,7876
10.09,886179,773973,27180,8495
10.10,894300,780547,27495,8121
10.11,902747,783131,27660,8447
10.12,911317,789787,27834,8570
10.13,919084,798396,27985,7767
10.14,924098,806703,28141,5014
10.15,930159,816667,28306,6061
10.16,936982,826831,28457,6823
10.17,945354,837001,28616,8372
10.18,952371,847467,28803,7017
10.19,959572,858294,28970,7201
10.20,965883,867961,29102,6311
10.21,974139,876731,29272,8256
10.22,981700,884895,29464,7561
10.23,990373,893810,29637,8673
10.24,998942,901652,29802,8569
10.25,1007711,907379,30000,8769
10.26,1015885,907379,30000,8174
10.27,1025052,924044,30348,9167
10.28,1033218,932882,30565,8166
10.29,1041936,941874,30753,8718
10.30,1048055,950348,30926,6119
10.31,1053122,959433,31421,5067
11.01,1073809,968927,31598,20687
11.02,1082767,977371,31796,8958
11.03,1082767,985796,31653,0
11.04,1099392,993877,31847,16625
11.05,1108086,1002202,32013,8694
11.06,1117977,1011166,32209,9891
11.07,1127733,1020263,32405,9756
11.08,1136447,1029082,32595,8714
11.09,1143887,1038082,32791,7440
11.10,1149064,1047017,32974,5177
11.11,1155356,980866,33128,6292
11.12,1165326,1070423,33312,9970
11.13,1174012,1081691,33491,8686
11.14,1182697,1089340,33669,8685
11.15,1191634,1097576,33829,8937
11.16,1198746,1104956,34031,7112
11.17,1205217,1111867,34223,6471
11.18,1211128,1118902,34381,5911
11.19,1218003,1125184,34563,6875
11.20,1225490,1132393,34761,7487
11.21,1233444,1138581,34929,7954
11.22,1240493,1144923,35104,7049
11.23,1248417,1150932,35287,7924
11.24,1254979,1158897,35479,6562
11.25,1262494,1167857,35677,7515
11.26,1270991,1174959,35860,8497
11.27,1280487,1181753,36019,9496
11.28,1290510,1189499,36214,10023
