,confirm,heal,dead,confirm_add
03.15,1,0,0,1
03.16,1,0,0,0
03.17,1,0,0,0
03.18,1,0,0,0
03.19,3,0,0,2
03.20,3,0,0,0
03.21,3,0,0,0
03.22,4,0,0,1
03.23,3,0,0,-1
03.24,4,0,0,1
03.25,4,0,0,0
03.26,4,0,0,0
03.27,4,0,0,0
03.28,19,0,0,15
03.29,19,0,0,0
03.30,19,0,0,0
03.31,19,0,0,0
04.01,19,0,0,0
04.02,22,2,2,3
04.03,22,2,2,0
04.04,22,2,2,0
04.05,45,2,5,23
04.06,45,2,5,0
04.07,45,2,5,0
04.08,45,2,5,0
04.09,60,5,5,15
04.10,60,5,5,0
04.11,60,5,5,0
04.12,60,5,5,0
04.13,60,5,5,0
04.14,60,5,5,0
04.15,74,10,5,14
04.16,117,11,5,43
04.17,117,11,5,0
04.18,143,11,6,26
04.19,143,11,6,0
04.20,160,16,6,17
04.21,160,16,6,0
04.22,165,16,6,5
04.23,186,16,6,21
04.24,186,16,6,0
04.25,200,19,6,14
04.26,200,19,6,0
04.27,200,19,6,0
04.28,207,19,8,7
04.29,207,19,8,0
04.30,220,19,9,13
05.01,220,19,9,0
05.02,229,25,9,9
05.03,229,25,9,0
05.04,229,25,9,0
05.05,236,26,10,7
05.06,236,26,10,0
05.07,264,30,10,28
05.08,274,33,10,10
05.09,274,33,10,0
05.10,274,33,10,0
05.11,274,33,10,0
05.12,333,53,11,59
05.13,333,53,11,0
05.14,333,53,11,0
05.15,391,87,15,58
05.16,391,87,15,0
05.17,391,87,15,0
05.18,391,87,15,0
05.19,412,110,15,21
05.20,420,132,15,8
05.21,420,132,15,0
05.22,469,137,16,49
05.23,469,137,16,0
05.24,487,147,16,18
05.25,487,147,16,0
05.26,487,147,16,0
05.27,487,147,16,0
05.28,571,161,19,84
05.29,571,161,19,0
05.30,571,161,19,0
05.31,571,161,19,0
06.01,611,179,20,40
06.02,611,179,20,0
06.03,611,179,20,0
06.04,611,179,20,0
06.05,611,179,20,0
06.06,635,182,20,24
06.07,683,210,22,48
06.08,683,210,22,0
06.09,683,210,22,0
06.10,728,221,24,45
06.11,728,221,24,0
06.12,728,221,24,0
06.13,728,221,24,0
06.14,728,221,24,0
06.15,728,221,24,0
06.16,883,391,27,155
06.17,883,391,27,0
06.18,883,391,27,0
06.19,883,391,27,0
06.20,883,391,27,0
06.21,883,391,27,0
06.22,883,391,27,0
06.23,1087,456,37,204
06.24,1087,456,37,0
06.25,1087,456,37,0
06.26,1087,456,37,0
06.27,1087,456,37,0
06.28,1087,456,37,0
06.29,1087,456,37,0
06.30,1087,456,37,0
07.01,1087,456,37,0
07.02,1382,486,41,295
07.03,1382,486,41,0
07.04,1557,501,44,175
07.05,1557,501,44,0
07.06,1557,501,44,0
07.07,1557,501,44,0
07.08,1557,501,44,0
07.09,1821,525,47,264
07.10,1821,525,47,0
