,confirm,heal,dead,confirm_add
03.07,1,0,0,1
03.08,5,0,0,4
03.09,9,0,0,4
03.10,9,0,0,0
03.11,13,0,0,4
03.12,22,0,0,9
03.13,22,0,0,0
03.14,22,0,0,0
03.15,22,0,0,0
03.16,35,0,0,13
03.17,41,0,0,6
03.18,41,0,0,0
03.19,69,0,1,28
03.20,87,0,1,18
03.21,113,0,2,26
03.22,117,2,2,4
03.23,134,0,2,17
03.24,158,0,2,24
03.25,177,2,2,19
03.26,201,2,2,43
03.27,231,2,2,30
03.28,263,2,2,32
03.29,295,3,2,32
03.30,314,3,2,19
03.31,330,4,2,16
04.01,347,4,2,17
04.02,375,4,2,28
04.03,396,6,2,21
04.04,416,11,2,20
04.05,435,13,2,19
04.06,454,16,2,19
04.07,467,18,2,13
04.08,483,24,2,16
04.09,502,29,3,19
04.10,539,30,3,37
04.11,558,42,3,19
04.12,577,49,3,19
04.13,595,56,3,18
04.14,612,62,3,17
04.15,618,66,3,6
04.16,626,67,4,8
04.17,642,74,4,16
04.18,649,88,4,7
04.19,655,97,4,6
04.20,660,112,5,5
04.21,662,124,6,2
04.22,669,150,6,7
04.23,681,180,6,12
04.24,686,196,6,5
04.25,687,216,6,1
04.26,693,242,6,6
04.27,695,264,6,2
04.28,697,287,6,2
04.29,705,306,6,8
04.30,713,323,6,8
05.01,719,338,6,6
05.02,725,355,6,6
05.03,733,372,6,8
05.04,739,386,6,6
05.05,742,399,6,3
05.06,755,413,6,13
05.07,761,428,6,6
05.08,765,445,6,4
05.09,773,461,6,8
05.10,780,480,6,7
05.11,792,501,7,12
05.12,801,517,7,9
05.13,804,520,7,3
05.14,815,527,8,11
05.15,830,535,8,15
05.16,843,542,10,13
05.17,853,551,10,10
05.18,863,565,10,10
05.19,866,575,10,3
05.20,882,577,10,16
05.21,897,582,10,15
05.22,903,592,10,6
05.23,911,600,10,8
05.24,918,607,10,7
05.25,930,620,10,12
05.26,951,628,10,21
05.27,956,634,10,5
05.28,984,639,10,28
05.29,1000,646,10,16
05.30,1022,653,10,22
05.31,1047,658,10,25
06.01,1056,669,10,9
06.02,1084,676,10,28
06.03,1105,682,10,21
06.04,1157,685,10,52
06.05,1194,687,10,37
06.06,1228,695,10,34
06.07,1263,701,10,35
06.08,1318,704,10,55
06.09,1342,712,11,24
06.10,1375,717,11,33
06.11,1461,722,12,86
06.12,1538,722,12,77
06.13,1612,731,12,74
06.14,1662,743,12,50
06.15,1715,752,12,53
06.16,1744,771,12,29
06.17,1796,794,12,52
06.18,1871,899,12,75
06.19,1939,937,12,68
06.20,2058,982,12,119
06.21,2127,1014,12,69
06.22,2213,1032,12,86
06.23,2277,1043,12,64
06.24,2368,1129,12,91
06.25,2515,1210,12,147
06.26,2684,1227,12,169
06.27,2836,1280,12,152
06.28,2979,1325,14,143
06.29,3130,1366,15,151
06.30,3269,1394,15,139
07.01,3459,1436,16,190
07.02,3753,1516,17,294
07.03,4023,1589,18,270
07.04,4311,1657,18,288
07.05,4621,1721,19,310
07.06,4996,1745,20,375
07.07,5241,1776,23,245
07.08,5486,1810,23,245
07.09,5836,1929,25,350
07.10,6485,2023,25,649
07.11,6845,2110,26,360
07.12,7231,2220,28,386
07.13,7596,2239,30,365
07.14,8036,2304,34,440
07.15,8482,2441,37,446
07.16,8986,2551,40,504
07.17,9546,2673,42,560
07.18,9969,2818,47,423
07.19,10551,2902,54,582
07.20,11114,2966,62,563
07.21,11534,3019,66,420
07.22,11811,3194,68,277
07.23,12361,3322,71,550
07.24,13129,3448,80,768
07.25,13669,3505,87,540
07.26,14600,3640,98,931
07.27,15229,3736,104,629
07.28,15841,3824,115,612
07.29,16344,3920,125,503
07.30,16800,4050,133,456
07.31,17290,4280,140,490
08.01,17820,4404,150,530
08.02,18187,4531,154,367
08.03,18975,4585,162,788
08.04,19402,4689,171,427
08.05,19837,6590,181,435
08.06,20417,6851,191,580
08.07,21070,7038,200,653
08.08,22081,7266,218,1011
08.09,22802,7589,228,721
08.10,23286,7730,235,484
08.11,23872,7823,244,586
08.12,24508,7971,255,636
08.13,25057,8189,263,549
08.14,26129,8412,272,1072
08.15,26931,8785,281,802
08.16,27737,9010,291,806
08.17,28465,9062,294,728
08.18,29084,9233,304,619
08.19,29643,9462,314,559
08.20,30409,9660,321,766
08.21,31075,9939,333,666
08.22,32134,10159,340,1059
08.23,33084,10372,348,950
08.24,33820,10518,355,736
08.25,34463,12758,362,643
08.26,35305,13073,376,842
08.27,36307,13317,386,1002
08.28,37292,14471,397,985
08.29,38485,14664,407,1193
08.30,39699,15737,418,1214
08.31,39699,15737,418,0
09.01,41287,16056,436,1588
09.02,42184,16270,443,897
09.03,43305,16512,453,1121
09.04,44458,17855,460,1153
09.05,45680,18053,469,1222
09.06,46920,18211,478,1240
09.07,46920,18211,478,0
09.08,48780,19083,510,1860
09.09,49897,19285,531,1117
09.10,51224,19544,543,1327
09.11,52549,20322,567,1325
09.12,53969,20710,583,1420
09.13,55454,20928,590,1485
09.14,55454,20928,590,0
09.15,57361,21206,621,1907
09.16,58137,21536,633,776
09.17,59516,21752,649,1379
09.18,60818,22662,666,1302
09.19,62374,23160,686,1556
09.20,63712,23552,706,1338
09.21,63712,23552,706,0
09.22,65602,25127,745,1890
09.23,66689,25706,760,1087
09.24,68059,26136,781,1370
09.25,69459,26554,795,1400
09.26,70816,27023,812,1357
09.27,72049,27760,828,1233
09.28,72049,27760,828,0
09.29,73714,29420,861,1665
09.30,74604,30703,880,890
10.01,75760,37841,904,1156
10.02,76828,39843,917,1068
10.03,77829,42621,930,1001
10.04,79182,45007,950,1353
10.05,79182,45007,950,0
10.06,81129,49703,987,1947
10.07,82142,50020,1004,1013
10.08,83497,50295,1024,1355
10.09,84828,51782,1040,1331
10.10,86053,52327,1055,1225
10.11,87439,52669,1076,1386
10.12,87439,52669,1076,0
10.13,89223,53247,1108,1784
10.14,90238,53670,1124,1015
10.15,91780,54155,1134,1542
10.16,93152,57731,1159,1372
10.17,94348,58269,1168,1196
10.18,95514,58816,1183,1166
10.19,95514,58816,1183,0
10.20,97075,59580,1204,1561
10.21,97922,60109,1222,847
10.22,99425,60738,1236,1503
10.23,100616,61162,1251,1191
10.24,101826,61662,1265,1210
10.25,103088,62037,1282,1262
10.26,103088,62037,1282,0
10.27,104460,63709,1312,1372
10.28,105322,64406,1329,862
10.29,106553,64996,1340,1231
10.30,107570,65666,1357,1017
10.31,108866,66202,1371,1296
11.01,109971,66719,1385,1105
11.02,109971,66719,1385,0
11.03,111257,68129,1404,1286
11.04,112120,68604,1419,863
11.05,113261,69143,1431,1141
11.06,114367,70002,1444,1106
11.07,115417,70421,1453,1050
11.08,116363,71119,1464,946
11.09,116363,71119,1464,0
11.10,117587,72249,1491,1224
11.11,118566,72941,1502,979
11.12,119768,73509,1513,1202
11.13,120939,74255,1527,1171
11.14,122123,74868,1537,1184
11.15,123223,75341,1546,1100
11.16,123223,75341,1546,0
11.17,124592,77164,1566,1369
11.18,125590,77558,1578,998
11.19,127012,78238,1588,1422
11.20,128231,78851,1599,1219
11.21,129418,79372,1608,1187
11.22,129418,79372,1608,0
11.23,129418,79372,1608,0
11.24,132295,81336,1641,2877
11.25,133190,81973,1662,895
11.26,134520,82611,1674,1330
11.27,135742,83273,1679,1222
11.28,137093,84991,1690,1351
11.29,137093,84991,1690,0
11.30,137093,84991,1690,0
12.01,139638,87526,1726,2545
12.02,140172,87721,1731,534
12.03,141340,88226,1739,1168
12.04,142505,91424,1757,1165
12.05,143685,95789,1773,1180
12.06,143685,95789,1773,0
12.07,143685,95789,1773,0
12.08,146421,102855,1825,2736
12.09,147430,105686,1846,1009
12.10,148688,107624,1864,1258
12.11,149815,109855,1882,1127
12.12,150947,112622,1895,1132
12.13,150947,112622,1895,0
12.14,150947,112622,1895,0
12.15,153169,118511,1936,2222
12.16,154096,121031,1956,927
12.17,155263,122947,1967,1167
12.18,156388,124907,1980,1125
12.19,157472,125488,1996,1084
12.20,157472,125488,1996,0
12.21,157472,125488,1996,0
12.22,159893,126777,2037,2421
12.23,160804,127618,2051,911
12.24,161942,128216,2065,1138
12.25,162990,128842,2086,1048
12.26,162990,128842,2086,0
12.27,162990,128842,2086,0
12.28,162990,128842,2086,0
12.29,165762,130289,2144,2772
12.30,166799,130989,2156,1037
12.31,168114,131507,2171,1315
01.01,169321,131923,2185,1207
01.02,169321,131923,2185,0
01.03,169321,131923,2185,0
01.04,169321,131923,2185,0
01.05,172436,132916,2229,3115
01.06,173591,133607,2248,1155
01.07,175038,134911,2267,1447
01.08,176407,135475,2286,1369
01.09,177614,136083,2305,1207
01.10,177614,136083,2305,0
01.11,177614,136083,2305,0
01.12,180061,138631,2353,2447
01.13,181093,139297,2367,1032
01.14,182156,139967,2384,1063
01.15,183242,140573,2401,1086
01.16,184187,141374,2416,945
01.17,184187,141374,2416,0
01.18,184187,141374,2416,0
01.19,186016,142245,2458,1829
01.20,186877,144030,2477,861
