,confirm,heal,dead,confirm_add
02.25,1,0,0,0
02.26,1,0,0,0
02.27,3,0,0,2
02.28,3,0,0,0
02.29,5,0,0,2
03.01,7,0,0,2
03.02,8,0,0,1
03.03,9,0,0,1
03.04,9,0,0,0
03.05,10,0,0,1
03.06,11,0,0,1
03.07,12,0,0,1
03.08,12,0,0,0
03.09,12,0,0,0
03.10,13,0,0,1
03.11,16,0,0,3
03.12,19,0,0,3
03.13,31,2,0,12
03.14,37,3,0,6
03.15,46,3,0,9
03.16,46,3,0,0
03.17,57,4,0,11
03.18,57,4,0,0
03.19,81,4,0,24
03.20,110,5,1,29
03.21,130,5,1,20
03.22,206,5,1,76
03.23,254,5,1,48
03.24,315,5,1,315
03.25,382,5,1,67
03.26,442,5,1,60
03.27,495,5,1,53
03.28,586,37,3,91
03.29,713,52,6,127
03.30,713,55,6,127
03.31,867,67,6,154
04.01,963,73,6,96
04.02,1011,88,7,48
04.03,1079,92,8,68
04.04,1126,119,12,47
04.05,1182,125,15,56
04.06,1222,130,16,40
04.07,1282,167,18,60
04.08,1343,179,19,61
04.09,1407,219,20,64
04.10,1495,231,21,88
04.11,1534,323,21,39
04.12,1600,373,23,66
04.13,1650,400,25,50
04.14,1704,415,31,54
04.15,1741,473,34,37
04.16,1791,529,35,50
04.17,1814,600,36,23
04.18,1832,615,39,18
04.19,1871,709,47,39
04.20,1881,771,47,10
04.21,1908,801,48,27
04.22,1950,869,48,42
04.23,1981,883,50,31
04.24,2009,982,51,28
04.25,2016,1034,54,7
04.26,2030,1103,55,14
04.27,2039,1166,59,9
04.28,2047,1232,63,8
04.29,2062,1288,67,15
04.30,2076,1348,69,14
05.01,2076,1348,69,0
05.02,2088,1463,77,12
05.03,2088,1463,77,0
05.04,2101,1522,80,13
05.05,2112,1560,83,11
05.06,2119,1601,85,7
05.07,2125,1641,86,6
05.08,2161,1689,86,36
05.09,2176,1726,87,15
05.10,2187,1764,90,11
05.11,2196,1784,91,9
05.12,2207,1808,91,11
05.13,2213,1834,94,6
05.14,2221,1850,94,8
05.15,2222,1869,95,1
05.16,2224,1913,95,2
05.17,2226,1936,95,2
05.18,2228,1946,95,2
05.19,2232,1967,96,4
05.20,2234,1978,96,2
05.21,2237,1978,97,3
05.22,2243,2011,99,6
05.23,2243,2023,99,0
05.24,2244,2027,99,1
05.25,2244,2035,100,0
05.26,2244,2046,101,0
05.27,2244,2047,101,0
05.28,2245,2051,102,1
05.29,2245,2059,103,0
05.30,2246,2063,103,1
05.31,2246,2072,103,0
06.01,2246,2077,103,0
06.02,2246,2088,103,0
06.03,2246,2088,103,0
06.04,2247,2105,103,1
06.05,2247,2113,103,0
06.06,2247,2121,104,0
06.07,2247,2126,104,0
06.08,2247,2128,104,0
06.09,2247,2130,106,0
06.10,2247,2130,106,0
06.11,2249,2132,106,2
06.12,2249,2133,107,0
06.13,2251,2134,107,2
06.14,2252,2134,107,1
06.15,2254,2140,107,2
06.16,2255,2140,107,1
06.17,2258,2141,107,3
06.18,2269,2142,107,11
