,confirm,heal,dead,confirm_add
03.10,2,0,0,2
03.11,2,0,0,0
03.12,6,0,0,4
03.13,14,0,0,8
03.14,21,0,0,11
03.15,21,0,0,0
03.16,33,0,0,12
03.17,33,0,0,0
03.18,49,0,0,16
03.19,58,0,0,9
03.20,67,0,0,9
03.21,75,0,0,8
03.22,84,0,1,9
03.23,95,3,1,11
03.24,116,3,1,21
03.25,124,3,3,8
03.26,132,3,3,8
03.27,146,4,3,14
03.28,162,3,5,16
03.29,214,15,6,35
03.30,214,15,6,0
03.31,230,22,7,16
04.01,262,23,8,32
04.02,320,28,9,58
04.03,356,28,10,36
04.04,396,28,11,40
04.05,426,33,9,30
04.06,446,37,9,20
04.07,465,45,9,19
04.08,494,47,9,29
04.09,526,52,9,32
04.10,564,53,10,38
04.11,595,58,10,31
04.12,616,61,10,21
04.13,662,65,11,46
04.14,662,65,12,0
04.15,695,65,12,33
04.16,715,65,12,20
04.17,750,77,12,35
04.18,761,77,12,11
04.19,767,79,12,6
04.20,767,81,12,0
04.21,772,81,12,5
04.22,790,98,13,18
04.23,795,98,13,5
04.24,804,98,14,9
04.25,810,98,14,6
04.26,817,148,14,7
04.27,817,148,14,0
04.28,837,148,15,20
04.29,843,148,15,6
04.30,850,148,15,7
05.01,850,296,15,0
05.02,864,296,15,14
05.03,864,296,15,0
05.04,874,296,15,10
05.05,878,296,15,4
05.06,883,296,15,5
05.07,889,296,15,6
05.08,891,400,15,2
05.09,892,400,15,1
05.10,898,401,15,6
05.11,901,401,16,3
05.12,903,401,16,2
05.13,905,449,16,2
05.14,905,449,17,0
05.15,907,481,17,2
05.16,914,481,17,7
05.17,914,515,17,0
05.18,916,515,17,2
05.19,917,515,17,1
05.20,918,516,17,1
05.21,922,516,17,4
05.22,923,561,17,1
05.23,927,561,17,4
05.24,935,594,17,8
05.25,935,594,17,0
05.26,937,594,17,2
05.27,939,594,17,2
05.28,939,594,17,0
05.29,941,784,17,2
05.30,942,784,17,1
05.31,943,790,17,1
06.01,944,790,17,1
06.02,949,790,17,5
06.03,952,790,17,3
06.04,958,790,17,6
06.05,958,807,17,0
06.06,960,807,17,2
06.07,964,807,18,4
06.08,964,807,18,0
06.09,970,807,18,6
06.10,972,807,18,2
06.11,974,807,18,2
06.12,975,807,18,1
06.13,980,807,18,5
06.14,980,807,18,0
06.15,985,807,18,5
06.16,985,807,18,0
06.17,985,816,18,0
06.18,985,816,18,0
06.19,985,818,19,0
06.20,985,818,19,0
06.21,985,824,19,0
06.22,986,824,19,1
06.23,988,824,19,2
06.24,990,824,19,2
06.25,991,824,19,1
06.26,992,824,19,1
06.27,992,824,19,0
06.28,994,824,19,2
06.29,994,833,19,0
06.30,996,833,19,2
07.01,998,833,19,2
07.02,999,833,19,1
07.03,999,833,19,0
07.04,999,839,19,0
07.05,1002,839,19,3
07.06,1003,839,19,1
07.07,1004,839,19,1
07.08,1005,839,19,1
07.09,1008,839,19,3
07.10,1010,839,19,2
07.11,1013,839,19,3
07.12,1014,839,19,1
07.13,1021,839,19,7
07.14,1023,839,19,2
07.15,1023,839,19,0
07.16,1025,839,19,2
07.17,1031,845,19,6
07.18,1033,845,19,2
07.19,1037,845,19,4
07.20,1038,845,19,1
07.21,1038,847,19,0
07.22,1040,847,19,2
07.23,1040,847,19,0
07.24,1047,847,19,7
07.25,1047,847,19,0
07.26,1053,852,19,6
07.27,1057,852,19,4
07.28,1060,852,19,3
07.29,1067,852,19,7
07.30,1080,852,19,13
07.31,1090,852,19,10
