,confirm,heal,dead,confirm_add
03.12,1,0,0,1
03.13,1,0,0,0
03.14,1,0,0,0
03.15,4,0,0,3
03.16,4,0,0,0
03.17,6,1,0,2
03.18,6,1,0,0
03.19,6,1,0,0
03.20,6,1,0,0
03.21,14,1,0,8
03.22,14,1,0,0
03.23,25,2,0,11
03.24,25,2,0,0
03.25,73,3,0,48
03.26,80,3,0,7
03.27,96,3,0,16
03.28,101,3,0,5
03.29,140,3,0,39
03.30,165,4,1,64
03.31,168,6,1,3
04.01,179,7,1,11
04.02,190,9,1,11
04.03,194,15,1,4
04.04,218,19,1,24
04.05,245,25,1,27
04.06,261,37,3,16
04.07,323,41,3,62
04.08,349,41,3,26
04.09,384,48,3,35
04.10,444,52,3,60
04.11,480,54,3,36
04.12,533,58,4,53
04.13,574,85,5,41
04.14,626,89,6,52
04.15,638,114,6,12
04.16,654,146,6,16
04.17,688,193,6,34
04.18,742,220,6,54
04.19,801,239,8,59
04.20,847,260,9,46
04.21,879,287,10,32
04.22,916,303,13,37
04.23,952,310,14,36
04.24,1004,359,14,52
04.25,1077,419,14,73
04.26,1111,449,14,34
04.27,1150,468,14,39
04.28,1164,499,14,14
04.29,1183,525,14,19
04.30,1238,557,14,55
05.01,1275,574,14,37
05.02,1333,597,15,58
05.03,1362,622,15,29
05.04,1398,653,17,36
05.05,1432,693,17,34
05.06,1464,701,18,32
05.07,1516,721,18,52
05.08,1571,742,20,55
05.09,1602,754,20,31
05.10,1667,769,21,65
05.11,1700,794,21,33
05.12,1730,818,21,30
05.13,1857,820,21,127
05.14,1912,902,24,55
05.15,1971,930,24,59
05.16,2017,942,24,46
05.17,2061,987,25,44
05.18,2109,1004,27,48
05.19,2119,1040,28,10
05.20,2153,1050,28,34
05.21,2231,1083,29,78
05.22,2301,1100,29,70
05.23,2341,1146,29,40
05.24,2366,1188,30,25
05.25,2376,1219,30,10
05.26,2423,1257,30,47
05.27,2477,1286,30,54
05.28,2556,1302,31,79
05.29,2641,1326,32,85
05.30,2750,1370,32,109
05.31,2799,1385,33,49
06.01,2833,1435,33,34
06.02,2951,1467,33,118
06.03,3024,1501,33,73
06.04,3110,1530,35,86
06.05,3262,1584,35,152
06.06,3431,1604,36,169
06.07,3557,1750,36,126
06.08,3739,1818,36,182
06.09,3881,1869,38,142
06.10,3995,2045,38,114
06.11,4181,2174,41,186
06.12,4404,2212,41,223
06.13,4684,2263,45,280
06.14,4848,2397,45,164
06.15,5084,2505,45,236
06.16,5439,2590,46,355
06.17,5679,2637,46,240
06.18,6063,2749,48,384
06.19,6444,2863,49,381
06.20,6874,2942,49,430
06.21,7276,2992,52,402
06.22,7492,3068,54,216
06.23,7677,3493,56,185
06.24,7904,3182,58,227
06.25,8164,3419,58,260
06.26,8334,3487,60,170
06.27,8739,3587,64,405
06.28,8944,3722,66,205
06.29,9101,3808,66,157
06.30,9214,3996,66,113
07.01,9499,4273,68,285
07.02,9702,4381,68,203
07.03,9992,4660,68,290
07.04,10244,4726,70,252
07.05,10462,4807,72,218
07.06,10772,5067,74,310
07.07,10966,5384,75,194
07.08,11194,5487,76,228
07.09,11504,5571,78,310
07.10,11750,5752,79,246
07.11,12052,6080,81,302
07.12,12443,6357,82,391
07.13,12766,6654,84,323
07.14,12872,6810,84,106
07.15,13037,6908,87,165
07.16,13403,7146,87,366
07.17,13554,7363,87,151
07.18,13696,7607,87,142
07.19,13912,8000,91,216
07.20,14119,8366,92,207
07.21,14312,8659,92,193
07.22,14531,8857,93,219
07.23,14733,8995,93,202
07.24,15001,9282,93,268
07.25,15253,9499,94,252
07.26,15494,9880,94,241
07.27,15596,10178,96,102
07.28,15655,10361,96,59
07.29,15713,10537,98,58
07.30,15813,10793,99,100
07.31,15978,11160,100,165
08.01,16047,11428,102,69
08.02,16109,11750,102,62
08.03,16182,11801,102,73
08.04,16220,11887,102,38
08.05,16293,11955,103,73
08.06,16349,12191,103,56
08.07,16447,12484,103,98
08.08,16524,12802,104,77
08.09,16620,12893,104,96
08.10,16715,12926,105,95
08.11,16798,13052,105,83
08.12,16847,13321,105,49
08.13,16847,13321,105,0
08.14,16889,13522,107,42
08.15,16935,13721,108,46
08.16,16993,13759,108,58
08.17,17026,13947,110,33
08.18,17107,13990,110,81
08.19,17150,14183,110,43
08.20,17232,14422,111,82
08.21,17249,14611,112,17
08.22,17310,14820,112,61
08.23,17374,15106,113,64
08.24,17471,15301,113,97
08.25,17506,15633,114,35
08.26,17562,15908,114,56
08.27,17603,15941,114,41
08.28,17702,16139,115,99
08.29,17797,16315,115,95
08.30,17893,16440,115,96
08.31,17948,16553,115,55
09.01,18067,16699,117,119
09.02,18103,16814,117,36
09.03,18161,16933,117,58
09.04,18208,17045,119,47
09.05,18269,17162,119,61
09.06,18472,17323,119,203
09.07,18588,17472,119,116
09.08,18701,17599,119,113
09.09,18778,17688,119,77
09.10,18815,17770,119,37
09.11,18869,17884,119,54
09.12,18916,17960,119,47
09.13,18916,17960,119,0
09.14,19013,18112,120,97
09.15,19066,18174,120,53
09.16,19100,18228,120,34
09.17,19132,18289,120,32
09.18,19158,18330,120,26
09.19,19200,18392,120,42
09.20,19269,18392,120,69
09.21,19320,18460,120,51
09.22,19327,18630,120,7
09.23,19343,18682,120,16
09.24,19430,18875,120,87
09.25,19501,19003,120,71
09.26,19556,19065,120,55
09.27,19600,19122,120,44
09.28,19629,19163,120,29
09.29,19641,19202,120,12
09.30,19669,19241,120,28
10.01,19724,19291,120,55
10.02,19755,19320,120,31
10.03,19793,19357,120,38
10.04,19849,19421,120,56
10.05,19882,19449,120,33
10.06,19885,19490,120,3
10.07,19903,19539,120,18
10.08,19935,19550,120,32
10.09,19982,19626,120,47
10.10,20036,19696,120,54
10.11,20128,19752,120,92
10.12,20154,19798,120,26
10.13,20155,19831,120,1
10.14,20183,19860,120,28
10.15,20217,19872,120,34
10.16,20257,19898,120,40
10.17,20275,19953,121,18
10.18,20301,19983,121,26
10.19,20323,20021,121,22
10.20,20324,20029,121,1
10.21,20342,20044,121,18
10.22,20363,20070,121,21
10.23,20390,20088,121,27
10.24,20405,20100,121,15
10.25,20429,20137,121,24
10.26,20470,20166,122,41
10.27,20486,20212,122,16
10.28,20488,20229,122,2
10.29,20555,20241,124,67
10.30,20628,20310,124,73
10.31,20692,20349,124,64
11.01,20716,20365,126,24
11.02,20716,20365,126,0
11.03,20753,20410,126,37
11.04,20765,20427,126,12
11.05,20778,20447,126,13
11.06,20789,20466,126,11
11.07,20801,20477,126,12
11.08,20813,20489,126,12
11.09,20832,20508,126,19
11.10,20835,20516,126,3
11.11,20847,20546,126,12
11.12,20855,20572,127,8
11.13,20882,20584,127,27
11.14,20899,20599,127,17
11.15,20945,20630,127,46
11.16,20976,20647,128,31
11.17,20988,20663,128,12
11.18,21004,20675,129,16
11.19,21045,20712,129,41
11.20,21083,20729,129,38
11.21,21099,20748,129,16
11.22,21126,20777,129,27
11.23,21138,20798,131,12
11.24,21148,20819,131,10
11.25,21156,20833,131,8
11.26,21168,20843,131,12
11.27,21199,20852,131,31
11.28,21232,20873,131,33
11.29,21261,20912,131,29
11.30,21310,20947,131,49
12.01,21331,20964,132,21
12.02,21334,20981,132,3
12.03,21361,21010,132,27
12.04,21389,21022,132,28
12.05,21412,21054,132,23
12.06,21441,21090,132,29
12.07,21485,21109,132,44
12.08,21507,21150,132,22
12.09,21513,21161,132,6
12.10,21547,21176,133,34
12.11,21590,21203,133,43
12.12,21618,21234,133,28
12.13,21639,21261,133,21
12.14,21680,21298,133,41
12.15,21705,21318,133,25
12.16,21775,21335,133,70
12.17,21741,21364,133,-34
12.18,21772,21401,133,31
12.19,21845,21420,133,73
12.20,21890,21451,133,45
12.21,21918,21478,133,28
12.22,21932,21517,133,14
12.23,21942,21536,133,10
12.24,21984,21573,133,42
12.25,22071,21629,133,87
12.26,22081,21697,133,10
12.27,22081,21697,133,0
12.28,22152,21752,135,71
12.29,22176,21776,137,24
12.30,22250,21872,137,74
12.31,22366,21909,137,116
01.01,22490,21934,137,124
01.02,22563,21981,138,73
01.03,22563,21981,138,0
01.04,22648,21998,138,85
01.05,22800,22145,138,152
01.06,22855,22154,138,55
01.07,22963,22212,138,108
01.08,23173,22301,138,210
01.09,23254,22325,139,81
01.10,23482,22411,139,228
01.11,23750,22570,139,268
01.12,23894,22668,139,144
01.13,24186,22740,140,292
01.14,24369,22856,140,183
01.15,24578,22856,140,209
01.16,24856,23104,141,278
01.17,24856,23104,141,0
01.18,25241,23331,141,385
01.19,25304,23527,142,63
01.20,25383,23643,142,79
01.21,25597,23867,142,214
01.22,25751,24119,142,154
01.23,26315,24356,143,564
01.24,26612,24595,145,297
01.25,26850,24762,146,238
01.26,27096,25000,146,246
01.27,27237,25196,147,141
01.28,27455,25388,151,218
01.29,27694,25542,151,239
01.30,27934,25670,152,240
01.31,28178,25818,152,244
02.01,28399,26007,154,221
02.02,28475,26495,156,76
02.03,28607,26724,158,132
02.04,28739,26960,158,132
02.05,29102,27157,158,363
02.06,29295,27265,160,193
02.07,29567,27773,162,272
02.08,29825,27981,162,258
02.09,29967,28186,165,142
02.10,29967,28186,165,0
02.11,30240,28320,169,273
02.12,30526,28736,171,286
02.13,30717,28914,173,191
02.14,30884,29062,173,167
02.15,31140,29338,174,256
02.16,31235,29446,175,95
02.17,31365,29603,179,130
02.18,31497,29741,180,132
02.19,31612,29937,183,115
02.20,31825,30056,185,213
02.21,31914,30243,185,89
02.22,32026,30589,186,112
02.23,32039,30768,188,13
02.24,32124,31096,188,85
02.25,32295,31224,188,171
02.26,32295,31224,188,0
02.27,32478,31431,190,183
02.28,32631,31516,192,153
03.01,32754,32624,192,123
03.02,32791,31712,193,37
03.03,32929,31866,193,138
03.04,33285,32037,194,356
03.05,33976,32245,196,691
03.06,34412,32354,199,436
03.07,34935,32513,200,523
03.08,35187,32708,202,252
03.09,35331,32800,204,144
03.10,35477,32882,206,146
03.11,36028,32966,206,551
03.12,36511,33128,209,483
03.13,36824,33267,211,313
03.14,37304,33603,211,480
03.15,37653,34088,211,349
03.16,37908,34616,213,255
03.17,38120,35111,214,212
03.18,38282,35487,214,162
03.19,38923,35923,215,641
03.20,39434,36152,216,511
03.21,39913,36279,217,479
03.22,40310,36395,220,397
03.23,40601,36502,222,291
03.24,40868,36944,222,267
03.25,41307,37320,224,439
03.26,42074,37797,229,767
03.27,42468,38246,229,394
03.28,42861,38590,232,393
03.29,43180,38719,237,319
03.30,43180,38719,237,0
03.31,43180,38719,237,0
04.01,43889,40254,244,709
04.02,44326,40739,247,437
04.03,44445,41281,250,119
04.04,44618,41687,252,173
04.05,44749,42071,255,131
04.06,44841,42438,256,92
04.07,44854,43130,256,13
04.08,44880,43446,257,26
04.09,44975,43758,258,95
04.10,45089,44197,260,114
04.11,45145,44473,261,56
04.12,45206,44629,263,61
04.13,45227,44683,268,21
04.14,45265,44771,269,38
04.15,45388,44833,271,123
04.16,45444,44925,273,56
04.17,45474,44993,274,30
04.18,45519,45064,274,45
04.19,45560,45129,274,41
04.20,45570,45161,274,10
04.21,45614,45199,275,44
04.22,45697,45227,277,83
04.23,45715,45283,277,18
04.24,45765,45311,279,50
04.25,45820,45343,281,55
04.26,45852,45374,282,32
04.27,45863,45413,283,11
04.28,45885,45451,285,22
04.29,45943,45469,286,58
04.30,45998,45498,286,55
05.01,46036,45526,286,38
05.02,46114,45582,286,78
05.03,46114,45582,286,0
05.04,46154,45662,287,40
05.05,46173,45694,291,19
05.06,46231,45733,291,58
05.07,46315,45764,291,84
05.08,46344,45790,291,29
05.09,46385,45811,291,41
05.10,46442,45847,291,57
05.11,46443,45874,291,1
05.12,46484,45910,292,41
05.13,46516,45942,292,32
05.14,46520,45977,294,4
05.15,46535,46006,295,15
05.16,46619,46031,297,84
05.17,46656,46079,298,37
05.18,46661,46115,298,5
05.19,46708,46176,298,47
05.20,46777,46217,298,69
05.21,46834,46253,298,57
05.22,46874,46282,298,40
05.23,46942,46346,298,68
05.24,46942,46346,298,0
05.25,47033,46442,298,91
05.26,47036,46476,298,3
05.27,47085,46504,301,49
05.28,47146,46544,301,61
05.29,47195,46591,301,49
05.30,47233,46642,303,38
05.31,47233,46642,303,0
06.01,47292,46702,305,59
06.02,47319,46758,306,27
06.03,47356,46804,306,37
06.04,47389,46847,306,33
06.05,47435,46915,306,46
06.06,47476,46941,306,41
06.07,47490,46969,306,14
06.08,47493,46989,306,3
06.09,47511,47037,306,18
06.10,47547,47061,306,36
06.11,47605,47092,306,58
06.12,47638,47135,306,33
06.13,47662,47178,306,24
06.14,47662,47178,306,0
06.15,47760,47239,306,98
06.16,47909,47266,306,149
06.17,47933,47322,306,24
06.18,47973,47346,306,40
06.19,47973,47346,306,0
06.20,48031,47420,307,58
06.21,48044,47445,308,13
06.22,48047,47487,308,3
06.23,48058,47511,309,11
06.24,48058,47511,309,0
06.25,48058,47511,309,0
06.26,48058,47511,309,0
06.27,48176,47749,311,118
06.28,48192,47773,312,16
06.29,48203,47784,313,11
06.30,48242,47816,313,39
07.01,48305,47834,313,63
07.02,48305,47834,313,0
