,confirm,heal,dead,confirm_add
03.18,1,0,0,1
03.19,1,0,0,0
03.20,1,0,0,0
03.21,1,0,0,0
03.22,1,0,0,0
03.23,1,0,0,0
03.24,3,0,0,2
03.25,11,0,0,8
03.26,11,0,0,0
03.27,12,0,0,1
03.28,14,0,0,3
03.29,14,0,0,0
03.30,25,0,0,11
03.31,18,0,0,-7
04.01,30,0,0,12
04.02,40,0,0,10
04.03,49,8,0,9
04.04,50,8,0,1
04.05,59,9,0,9
04.06,59,9,0,0
04.07,90,9,0,31
04.08,135,25,0,45
04.09,135,25,0,0
04.10,150,36,1,15
04.11,187,36,2,37
04.12,214,36,2,27
04.13,214,36,2,0
04.14,363,53,2,149
04.15,363,53,2,0
04.16,435,71,2,72
04.17,732,76,2,297
04.18,732,76,2,0
04.19,732,76,2,0
04.20,846,102,2,114
04.21,846,102,2,0
04.22,974,183,2,128
04.23,986,252,2,12
04.24,999,330,2,13
04.25,1008,373,2,9
04.26,1023,411,2,15
04.27,1023,411,2,0
04.28,1035,477,2,12
04.29,1077,599,2,42
04.30,1089,642,2,12
05.01,1089,642,2,0
05.02,1112,686,2,23
05.03,1112,686,2,0
05.04,1116,713,2,4
05.05,1116,713,2,0
05.06,1120,745,2,4
05.07,1124,755,3,4
05.08,1133,799,3,9
05.09,1135,824,3,2
05.10,1189,834,3,54
05.11,1210,847,3,21
05.12,1227,872,3,17
05.13,1256,886,3,29
05.14,1268,900,3,12
05.15,1284,905,3,16
05.16,1309,935,4,25
05.17,1331,950,4,22
05.18,1401,972,4,70
05.19,1518,1033,7,117
05.20,1618,1033,7,100
05.21,1828,1052,9,210
05.22,2047,1055,10,219
05.23,2270,1064,10,223
05.24,2270,1064,10,0
05.25,2468,1079,14,198
05.26,2468,1079,14,0
05.27,2697,1185,18,229
05.28,2914,1241,20,217
05.29,2914,1241,20,0
05.30,3194,1286,22,280
05.31,3354,1504,24,160
06.01,3569,1521,24,215
06.02,3779,1607,25,210
06.03,3779,1607,25,0
06.04,4054,1685,26,275
06.05,4054,1685,26,0
06.06,4169,1815,26,115
06.07,4207,1877,28,38
06.08,4278,2013,31,71
06.09,4278,2013,31,0
06.10,4331,2139,34,53
06.11,4398,2519,37,67
06.12,4441,2730,38,43
06.13,4449,2823,41,8
06.14,4465,2950,43,16
06.15,4465,2950,43,0
06.16,4501,3183,43,36
06.17,4539,3324,43,38
06.18,4545,3411,43,6
06.19,4557,3527,43,12
06.20,4565,3565,45,8
06.21,4582,3859,45,17
06.22,4599,3952,48,17
06.23,4599,3952,48,0
06.24,4630,4182,52,31
06.25,4635,4269,52,5
06.26,4643,4348,52,8
06.27,4643,4348,52,0
06.28,4643,4348,52,0
06.29,4656,4433,53,13
06.30,4656,4433,53,0
07.01,4682,4524,54,26
07.02,4704,4550,55,22
07.03,4736,4580,55,32
07.04,4736,4580,55,0
07.05,4736,4580,55,0
07.06,4792,4593,55,56
07.07,4878,4621,55,86
07.08,4878,4621,55,0
07.09,4889,4644,55,11
07.10,4955,4671,56,66
07.11,4968,4689,56,13
07.12,4972,4712,56,4
07.13,4972,4712,56,0
07.14,4979,4743,56,7
07.15,4979,4743,56,0
07.16,4985,4765,56,6
07.17,5003,4809,56,18
07.18,5003,4809,56,0
07.19,5003,4809,56,0
07.20,5011,4838,56,8
07.21,5027,4884,56,16
07.22,5030,4904,58,3
07.23,5030,4904,58,0
07.24,5031,4927,58,1
07.25,5039,4949,58,8
07.26,5039,4949,58,0
07.27,5050,4966,58,11
07.28,5059,4977,58,9
07.29,5081,4999,58,22
07.30,5081,4999,58,0
07.31,5081,4999,58,0
08.01,5084,4999,58,3
08.02,5161,5019,59,77
08.03,5161,5019,59,0
08.04,5248,5044,59,87
08.05,5330,5057,59,82
08.06,5330,5057,59,0
08.07,5334,5066,59,4
08.08,5338,5083,59,4
08.09,5338,5083,59,0
08.10,5344,5106,59,6
08.11,5347,5120,59,3
08.12,5348,5133,59,1
08.13,5358,5150,59,10
08.14,5358,5167,59,0
08.15,5367,5181,59,9
08.16,5367,5181,59,0
08.17,5369,5202,59,2
08.18,5372,5211,59,3
08.19,5374,5216,59,2
08.20,5374,5216,59,0
08.21,5374,5216,59,0
08.22,5382,5233,60,8
08.23,5382,5233,60,0
08.24,5383,5273,60,1
08.25,5383,5273,60,0
08.26,5383,5282,60,0
08.27,5383,5297,60,0
08.28,5383,5307,60,0
08.29,5385,5314,60,2
08.30,5385,5319,60,0
08.31,5387,5323,60,2
09.01,5387,5323,60,0
09.02,5387,5327,60,0
09.03,5387,5327,60,0
09.04,5387,5327,60,0
09.05,5387,5327,60,0
09.06,5387,5327,60,0
09.07,5388,5327,61,1
09.08,5388,5327,61,0
09.09,5388,5327,61,0
09.10,5391,5327,61,3
09.11,5394,5327,61,3
09.12,5394,5327,61,0
09.13,5395,5330,61,1
09.14,5396,5331,61,1
09.15,5396,5331,61,0
09.16,5396,5331,61,0
09.17,5399,5333,61,3
09.18,5399,5333,61,0
09.19,5403,5333,61,4
09.20,5403,5333,61,0
09.21,5404,5336,61,1
09.22,5404,5336,61,0
09.23,5407,5338,61,3
09.24,5407,5338,61,0
09.25,5407,5339,61,0
09.26,5409,5340,61,2
09.27,5409,5340,61,0
09.28,5409,5340,61,0
09.29,5410,5340,61,1
09.30,5416,5344,61,6
10.01,5416,5344,61,0
10.02,5417,5346,61,1
10.03,5417,5346,61,0
10.04,5418,5347,61,1
10.05,5419,5349,61,1
10.06,5421,5352,61,2
10.07,5423,5353,61,2
10.08,5423,5353,61,0
10.09,5423,5355,61,0
10.10,5423,5355,61,0
10.11,5423,5355,61,0
10.12,5423,5355,61,0
10.13,5426,5360,61,3
10.14,5428,5362,61,2
10.15,5440,5366,61,12
10.16,5443,5368,61,3
10.17,5452,5373,61,9
10.18,5459,5375,61,7
10.19,5459,5375,61,0
10.20,5469,5379,61,10
10.21,5499,5384,61,30
10.22,5512,5387,61,13
10.23,5522,5389,61,10
10.24,5528,5393,61,6
10.25,5530,5398,61,2
10.26,5541,5409,61,11
10.27,5541,5409,61,0
10.28,5544,5421,61,3
10.29,5555,5427,61,11
10.30,5558,5431,61,3
10.31,5559,5437,61,1
11.01,5563,5448,61,4
11.02,5563,5448,61,0
11.03,5573,5460,61,10
11.04,5575,5467,61,2
11.05,5580,5472,61,5
11.06,5599,5479,61,19
11.07,5604,5481,61,5
11.08,5605,5485,61,1
11.09,5608,5486,61,3
11.10,5627,5492,61,19
11.11,5633,5497,61,6
11.12,5635,5501,61,2
11.13,5641,5509,61,6
11.14,5645,5519,61,4
11.15,5645,5519,61,0
11.16,5649,5525,61,4
11.17,5656,5548,61,7
11.18,5656,5548,61,0
11.19,5658,5549,61,2
11.20,5658,5550,61,0
11.21,5661,5552,61,3
11.22,5661,5552,61,0
11.23,5668,5555,61,7
11.24,5669,5569,61,1
11.25,5670,5575,61,1
11.26,5670,5575,61,0
11.27,5676,5576,61,6
11.28,5676,5577,61,0
11.29,5677,5577,61,1
11.30,5679,5584,61,2
12.01,5680,5587,61,1
12.02,5680,5587,61,0
12.03,5682,5587,61,2
12.04,5689,5591,61,7
12.05,5690,5592,61,1
12.06,5701,5593,61,11
12.07,5701,5593,61,0
12.08,5708,5596,61,7
12.09,5717,5599,61,9
12.10,5717,5599,61,0
12.11,5717,5605,61,0
12.12,5725,5612,61,8
12.13,5725,5612,61,0
12.14,5728,5618,61,3
12.15,5749,5628,61,21
12.16,5759,5628,61,10
12.17,5759,5628,61,0
12.18,5770,5635,61,11
12.19,5780,5641,61,10
12.20,5781,5649,61,1
12.21,5783,5668,61,2
12.22,5786,5676,61,3
12.23,5786,5676,61,0
12.24,5789,5681,61,3
12.25,5800,5690,61,11
12.26,5805,5699,61,5
12.27,5805,5699,61,0
12.28,5813,5706,61,8
12.29,5813,5716,61,0
12.30,5824,5723,61,11
12.31,5831,5728,61,7
01.01,5831,5728,61,0
01.02,5840,5735,61,9
01.03,5841,5738,61,1
01.04,5846,5747,61,5
01.05,5846,5747,61,0
01.06,5854,5752,61,8
01.07,5855,5758,61,1
01.08,5865,5772,61,10
01.09,5866,5774,61,1
01.10,5871,5780,61,5
01.11,5871,5780,61,0
01.12,5879,5801,61,8
01.13,5891,5808,61,12
01.14,5891,5808,61,0
01.15,5900,5813,61,9
01.16,5903,5816,61,3
01.17,5903,5819,61,0
01.18,5905,5822,61,2
01.19,5910,5825,61,5
01.20,5910,5825,61,0
01.21,5913,5828,61,3
01.22,5916,5833,61,3
01.23,5917,5837,61,1
01.24,5918,5837,61,1
01.25,5919,5837,61,1
01.26,5920,5840,61,1
01.27,5923,5841,62,3
01.28,5926,5844,62,3
01.29,5929,5845,62,3
01.30,5931,5845,62,2
01.31,5932,5845,63,1
02.01,5932,5845,63,0
02.02,5933,5845,63,1
02.03,5936,5848,63,3
02.04,5936,5848,63,0
02.05,5936,5848,63,0
02.06,5941,5849,63,5
02.07,5947,5852,63,6
02.08,5947,5852,63,0
02.09,5950,5854,63,3
02.10,5959,5854,63,9
02.11,5962,5854,63,3
02.12,5966,5854,63,4
02.13,5967,5854,63,1
02.14,5968,5856,63,1
02.15,5971,5858,63,3
02.16,5981,5865,63,10
02.17,5981,5865,63,0
