,confirm,heal,dead,confirm_add
03.23,1,0,0,0
03.24,2,0,0,1
03.25,7,0,0,5
03.26,11,0,0,4
03.27,11,0,0,0
03.28,11,0,0,0
03.29,11,0,0,0
03.30,11,0,0,0
03.31,12,0,0,1
04.01,12,0,0,0
04.02,12,0,0,0
04.03,12,0,0,0
04.04,14,0,0,2
04.05,14,0,0,0
04.06,14,0,0,0
04.07,15,1,0,1
04.08,15,1,0,0
04.09,15,1,0,0
04.10,16,5,0,1
04.11,16,5,0,0
04.12,16,5,0,0
04.13,16,8,0,0
04.14,16,8,0,0
04.15,16,8,0,0
04.16,16,8,0,0
04.17,16,8,0,0
04.18,16,8,0,0
04.19,16,8,0,0
04.20,16,8,0,0
04.21,16,8,0,0
04.22,16,9,0,0
04.23,16,9,0,0
04.24,16,9,0,0
04.25,16,10,0,0
04.26,16,13,0,0
04.27,16,13,0,0
04.28,16,13,0,0
04.29,16,13,0,0
04.30,16,13,0,0
05.01,16,13,0,0
05.02,16,13,0,0
05.03,16,13,0,0
05.04,16,13,0,0
05.05,16,13,0,0
05.06,16,14,0,0
05.07,16,14,0,0
05.08,16,14,0,0
05.09,16,14,0,0
05.10,16,14,0,0
05.11,16,15,0,0
05.12,16,15,0,0
05.13,16,15,0,0
05.14,16,15,0,0
05.15,16,15,0,0
05.16,16,15,0,0
05.17,16,15,0,0
05.18,16,16,0,0
05.19,16,16,0,0
05.20,16,16,0,0
05.21,16,16,0,0
05.22,16,16,0,0
05.23,16,16,0,0
05.24,16,16,0,0
05.25,16,16,0,0
05.26,16,16,0,0
05.27,16,16,0,0
05.28,16,16,0,0
05.29,16,16,0,0
05.30,16,16,0,0
05.31,16,16,0,0
06.01,16,16,0,0
06.02,18,16,0,2
06.03,18,16,0,0
06.04,18,16,0,0
06.05,18,16,0,0
06.06,18,16,0,0
06.07,18,16,0,0
06.08,18,16,0,0
06.09,18,16,0,0
06.10,18,16,0,0
06.11,18,16,0,0
06.12,18,16,0,0
06.13,18,16,0,0
06.14,18,16,0,0
06.15,18,16,0,0
06.16,18,16,0,0
06.17,18,16,0,0
06.18,18,18,0,0
06.19,18,18,0,0
06.20,18,18,0,0
06.21,18,18,0,0
06.22,18,18,0,0
06.23,18,18,0,0
06.24,18,18,0,0
06.25,18,18,0,0
06.26,18,18,0,0
06.27,18,18,0,0
06.28,18,18,0,0
06.29,18,18,0,0
06.30,18,18,0,0
07.01,18,18,0,0
07.02,18,18,0,0
07.03,18,18,0,0
07.04,18,18,0,0
07.05,18,18,0,0
07.06,18,18,0,0
07.07,18,18,0,0
