,confirm,heal,dead,confirm_add
03.01,1,0,0,1
03.02,1,0,0,0
03.03,1,0,0,0
03.04,1,0,0,0
03.05,1,0,0,0
03.06,1,0,0,0
03.07,1,0,0,0
03.08,1,0,0,0
03.09,1,0,0,0
03.10,5,0,0,4
03.11,5,0,0,0
03.12,5,0,0,0
03.13,5,0,0,0
03.14,5,0,0,0
03.15,5,0,0,0
03.16,5,0,0,0
03.17,21,0,1,16
03.18,21,0,1,0
03.19,21,0,1,0
03.20,34,0,2,13
03.21,112,0,2,78
03.22,112,0,3,78
03.23,202,0,3,90
03.24,312,3,6,110
03.25,312,3,6,0
03.26,392,3,10,80
03.27,581,3,20,189
03.28,719,3,28,138
03.29,859,3,39,140
03.30,901,4,42,699
03.31,1109,5,51,208
04.01,1284,9,57,175
04.02,1380,16,60,96
04.03,1488,16,68,108
04.04,1488,16,68,0
04.05,1745,17,82,257
04.06,1745,17,82,0
04.07,1828,33,86,83
04.08,1956,36,98,128
04.09,2111,50,108,155
04.10,2349,80,118,238
04.11,2620,98,126,271
04.12,2759,108,135,139
04.13,3167,152,177,408
04.14,3167,152,177,0
04.15,3614,208,189,447
04.16,3614,208,189,0
04.17,4126,215,200,512
04.18,4126,268,200,0
04.19,4680,363,226,554
04.20,4680,363,226,0
04.21,4964,416,235,284
04.22,5300,581,260,336
04.23,5543,581,265,243
04.24,5543,674,265,0
04.25,5749,763,267,206
04.26,6135,910,278,386
04.27,6135,910,278,0
04.28,6293,993,282,158
04.29,6416,1165,286,123
04.30,6972,1301,301,556
05.01,6972,1301,301,0
05.02,7288,1387,313,316
05.03,7578,1481,326,290
05.04,8235,1771,346,657
05.05,8480,1905,354,245
05.06,8807,1905,362,327
05.07,8807,1960,362,0
05.08,9376,2286,380,569
05.09,9376,2286,380,0
05.10,9882,2584,385,506
05.11,10347,2763,388,465
05.12,10634,2870,393,287
05.13,10900,3221,402,266
05.14,11196,3221,409,296
05.15,11320,3351,422,124
05.16,11739,3557,424,419
05.17,12110,3726,428,371
05.18,12314,5847,428,204
05.19,12725,6613,434,411
05.20,13223,6613,441,498
05.21,13477,7142,446,254
05.22,13657,7366,448,180
05.23,13989,7572,456,332
05.24,14422,7854,458,433
05.25,15073,8285,460,651
05.26,15073,8285,460,0
05.27,15723,8790,474,650
05.28,15723,8790,474,0
05.29,16068,8952,485,345
05.30,16531,9266,488,463
05.31,17285,10559,502,754
06.01,17285,10559,502,0
06.02,17752,11075,515,467
06.03,17752,11075,515,0
06.04,18319,11474,520,567
06.05,18319,11474,520,0
06.06,18708,11736,525,389
06.07,19600,12007,538,892
06.08,19600,12007,538,0
06.09,20415,12208,544,815
06.10,20415,12208,544,0
06.11,21437,12541,561,1022
06.12,22008,12754,568,571
06.13,22572,13084,577,564
06.14,22962,13320,592,390
06.15,23271,14025,605,309
06.16,23686,14133,615,415
06.17,23686,14133,615,0
06.18,24645,14293,635,959
06.19,25068,14605,647,423
06.20,25778,14957,655,710
06.21,26677,15138,662,899
06.22,26677,15138,662,0
06.23,27370,15338,669,693
06.24,27936,15551,675,566
06.25,29141,16223,698,1205
06.26,29764,16357,712,623
06.27,29764,16357,712,0
06.28,31373,17142,726,1609
06.29,31373,17142,726,0
06.30,31816,17280,733,443
07.01,32568,17580,747,752
07.02,33387,17904,754,819
07.03,34197,18141,765,810
07.04,36184,18602,786,1987
07.05,36184,18602,786,0
07.06,37425,18943,794,1241
07.07,38128,19489,804,703
07.08,39588,20056,829,1460
07.09,39588,20056,829,0
07.10,41915,20830,864,2327
07.11,41915,20830,864,0
07.12,44532,21459,897,2617
07.13,44532,21459,897,0
07.14,46305,23134,910,1773
07.15,47671,23459,929,1366
07.16,47671,23459,929,0
07.17,50113,24423,942,2442
07.18,50113,24423,942,0
07.19,52855,25094,981,2742
07.20,52855,25094,981,0
07.21,54797,25976,999,1942
07.22,54797,25976,999,0
07.23,56043,26466,1005,1246
07.24,57615,26905,1006,1572
07.25,60896,27980,1055,3281
07.26,62908,28603,1063,2012
07.27,62908,28603,1063,0
07.28,64156,30204,1083,1248
07.29,66182,33947,1123,2026
07.30,66182,33947,1123,0
07.31,67915,35302,1146,1733
08.01,69649,36470,1160,1734
08.02,71415,37509,1170,1766
08.03,72243,38244,1178,828
08.04,73117,38824,1183,874
08.05,75660,40122,1222,2543
08.06,75660,40122,1222,0
08.07,77709,41393,1259,2049
08.08,77709,41393,1259,0
08.09,78778,42538,1289,1069
08.10,80499,44910,1328,1721
08.11,81094,45666,1346,595
08.12,81094,45666,1346,0
08.13,83134,47946,1393,2040
08.14,83134,47946,1393,0
08.15,84488,49539,1409,1354
08.16,85545,51356,1438,1057
08.17,86309,52905,1453,764
08.18,86737,54108,1481,428
08.19,87123,55504,1489,386
08.20,89010,57734,1505,1887
08.21,89010,57734,1505,0
08.22,90561,59949,1554,1551
08.23,90561,59949,1554,0
08.24,91161,60670,1567,600
08.25,91608,61558,1573,447
08.26,92217,62460,1585,609
08.27,92964,64347,1630,747
08.28,92964,64347,1630,0
08.29,93390,65285,1648,426
08.30,94241,66776,1681,851
08.31,94241,66776,1681,0
09.01,94715,68082,1710,474
09.02,94979,68736,1738,264
09.03,95627,69519,1765,648
09.04,96629,70871,1801,1002
09.05,96629,70871,1801,0
09.06,98776,71901,1840,2147
09.07,99333,72567,1845,557
09.08,99898,73228,1864,565
09.09,100131,73795,1889,233
09.10,100937,74305,1914,806
09.11,101716,75034,1926,779
09.12,102232,75747,1941,516
09.13,103092,76531,1953,860
09.14,103660,77182,1968,568
09.15,104110,77790,1984,450
09.16,104803,78387,1998,693
09.17,105521,78891,2009,718
09.18,106136,79363,2022,615
09.19,107700,80820,2044,1564
09.20,107700,80820,2044,0
09.21,108783,82274,2054,1083
09.22,108783,82274,2054,0
09.23,109269,82741,2064,486
09.24,110122,84018,2076,853
09.25,110597,84610,2087,475
09.26,110597,84610,2087,0
09.27,111386,85965,2095,789
09.28,111386,85965,2095,0
09.29,111666,86422,2098,280
09.30,112209,87629,2105,543
10.01,112728,88205,2108,519
10.02,112728,88205,2108,0
10.03,113926,89635,2128,1198
10.04,114480,90366,2134,554
10.05,114480,90366,2134,0
10.06,115371,91569,2149,891
10.07,115371,91569,2149,0
10.08,116872,92567,2163,1501
10.09,116872,92567,2163,0
10.10,118014,93627,2167,1142
10.11,118477,94084,2173,463
10.12,118477,94084,2173,0
10.13,119008,94941,2183,531
10.14,119008,94941,2183,0
10.15,119662,95460,2186,654
10.16,120066,96152,2189,404
10.17,120925,97575,2195,859
10.18,121347,98207,2199,422
10.19,121667,98880,2203,320
10.20,121973,99271,2204,306
10.21,121973,99271,2204,0
10.22,122873,100920,2212,900
10.23,122873,100920,2212,0
10.24,124018,102353,2220,1145
10.25,124527,102651,2223,509
10.26,124527,102651,2223,0
10.27,125008,103324,2226,481
10.28,125008,103324,2226,0
10.29,125570,103412,2232,562
10.30,125913,103944,2234,343
10.31,126332,104486,2236,419
11.01,127018,104862,2245,686
11.02,127332,105289,2249,314
11.03,127591,105634,2250,259
11.04,127848,105982,2252,257
11.05,128278,106304,2257,430
11.06,129300,107038,2261,1022
11.07,129300,107038,2261,0
11.08,129645,107580,2263,345
11.09,130182,108021,2265,537
11.10,130603,108383,2267,421
11.11,131131,108765,2269,528
11.12,131265,109057,2272,134
11.13,132554,109268,2280,1289
11.14,132554,109268,2280,0
11.15,133225,109590,2282,671
11.16,133724,109981,2285,499
11.17,134697,110761,2290,973
11.18,134697,110761,2290,0
11.19,135157,110871,2293,460
11.20,136183,111527,2301,1026
11.21,136784,111681,2306,601
11.22,137770,112090,2308,986
11.23,138829,112882,2311,1059
11.24,139111,113134,2313,282
11.25,139396,113263,2315,285
11.26,139396,113263,2315,0
11.27,140922,113687,2317,1526
11.28,141777,113817,2324,855
11.29,143473,114818,2330,1696
11.30,143473,114818,2330,0
12.01,143988,115219,2331,515
12.02,144302,115530,2333,314
12.03,145197,115611,2334,895
12.04,146009,115992,2335,812
12.05,146680,116169,2343,671
12.06,147655,116329,2345,975
12.07,148453,116873,2345,798
12.08,149138,117402,2346,685
12.09,149630,118008,2350,492
12.10,150161,118770,2358,531
12.11,151721,118877,2359,1560
12.12,152452,118877,2359,731
12.13,153585,119616,2360,1133
12.14,154692,120481,2361,1107
12.15,155184,121007,2364,492
12.16,156585,121988,2372,1401
12.17,157305,122205,2375,720
12.18,157305,122406,2376,0
