,confirm,heal,dead,confirm_add
03.01,1,0,0,1
03.02,6,0,0,1
03.03,7,0,0,1
03.04,7,0,0,0
03.05,10,0,0,3
03.06,13,0,0,3
03.07,13,0,0,0
03.08,13,0,0,0
03.09,14,0,0,1
03.10,14,0,0,0
03.11,17,0,0,3
03.12,17,0,0,0
03.13,17,0,0,0
03.14,23,0,1,6
03.15,23,0,1,0
03.16,37,0,1,14
03.17,58,0,2,21
03.18,111,0,2,53
03.19,168,0,2,56
03.20,260,1,3,92
03.21,367,1,5,107
03.22,532,3,7,165
03.23,789,3,14,257
03.24,981,3,18,192
03.25,1049,3,27,68
03.26,1049,3,27,68
03.27,1382,3,34,333
03.28,1627,3,41,245
03.29,1823,3,48,196
03.30,1924,3,58,297
03.31,1966,54,62,42
04.01,2302,58,79,336
04.02,2758,58,98,456
04.03,3163,65,120,405
04.04,3368,65,145,205
04.05,3465,100,172,97
04.06,3646,100,180,181
04.07,3747,100,191,101
04.08,3995,140,220,248
04.09,4450,140,242,455
04.10,4965,339,272,515
04.11,7161,368,297,2196
04.12,7257,411,315,96
04.13,7466,501,333,209
04.14,7529,597,355,63
04.15,7603,696,369,74
04.16,7858,780,388,255
04.17,8225,838,403,367
04.18,8450,838,421,225
04.19,9022,1008,456,572
04.20,9468,1061,474,446
04.21,10128,1150,507,660
04.22,10398,1207,520,270
04.23,10850,1262,537,452
04.24,11183,1328,560,333
04.25,22719,1366,576,11536
04.26,22719,1366,576,0
04.27,22719,1366,576,0
04.28,23240,1557,663,521
04.29,24258,1557,871,1018
04.30,24675,1557,883,417
05.01,24934,1558,900,259
05.02,26336,1913,1063,1402
05.03,27464,2132,1371,1128
05.04,29538,3300,1564,2074
05.05,31881,3433,1569,2343
05.06,31881,3433,1569,0
05.07,29420,3433,1618,-2461
05.08,30298,3433,1654,878
05.09,28818,3433,1704,-1480
05.10,29071,3433,1717,253
05.11,29559,3433,2127,488
05.12,29509,3433,2145,-50
05.13,30419,3433,2327,910
05.14,30486,3433,2334,67
05.15,30502,3433,2338,16
05.16,31467,3433,2594,965
05.17,32763,3433,2688,1296
05.18,33182,3433,2736,419
05.19,33582,3433,2799,400
05.20,34151,3457,2839,569
05.21,34854,3557,2888,703
05.22,35306,3557,2939,452
05.23,35828,3557,3056,522
05.24,36258,3557,3096,430
05.25,36756,3560,3108,498
05.26,37355,18003,3203,599
05.27,37355,18003,3203,0
05.28,38103,18425,3275,748
05.29,38471,18425,3313,368
05.30,38571,19190,3334,100
05.31,38571,19190,3334,0
06.01,39098,19592,3358,527
06.02,39994,19823,3394,896
06.03,40414,20019,3438,420
06.04,40966,20019,3486,552
06.05,40966,20019,3486,0
06.06,41575,20568,3534,609
06.07,42728,21020,3608,1153
06.08,43120,21020,3621,392
06.09,43378,21020,3642,258
06.10,43917,21020,3690,539
06.11,44440,21862,3720,523
06.12,44440,21862,3720,0
06.13,45778,22679,3828,1338
06.14,46356,22865,3874,578
06.15,46751,23064,3896,395
06.16,47322,23349,3929,571
06.17,47943,23684,3970,621
06.18,48490,23881,4007,547
06.19,49097,24123,4087,607
06.20,49731,24446,4156,634
06.21,49731,24446,4156,0
06.22,50640,24991,4223,909
06.23,50640,24991,4223,0
06.24,51643,24991,4274,1003
06.25,51643,24991,4274,0
06.26,53156,26097,4343,1513
06.27,53856,26493,4406,700
06.28,54574,26920,4424,718
06.29,55255,27058,4429,681
06.30,55665,27430,4502,410
07.01,56432,27594,4527,767
07.02,58257,27887,4576,1825
07.03,59468,28032,4639,1211
07.04,60657,28391,4700,1189
07.05,61535,28507,4769,878
07.06,61958,28722,4781,423
07.07,62380,28872,4821,422
07.08,63245,29071,4873,865
07.09,64221,29184,4900,976
07.10,64221,29184,4900,0
07.11,65018,29577,4939,797
07.12,67209,30107,5031,2191
07.13,67870,30283,5047,661
07.14,68459,30369,5063,589
07.15,69570,30484,5130,1111
07.16,70329,30641,5158,759
07.17,71365,31260,5207,1036
07.18,72444,31404,5250,1079
07.19,73382,31757,5282,938
07.20,74013,31901,5313,631
07.21,74620,31955,5318,607
07.22,76217,32725,5366,1597
07.23,77257,33125,5418,1040
07.24,78148,33455,5439,891
07.25,79049,34544,5468,901
07.26,80036,34544,5507,987
07.27,80694,34896,5515,658
07.28,81161,34896,5532,467
07.29,82279,35283,5584,1118
07.30,83193,35572,5623,914
07.31,84370,35824,5657,1177
08.01,85355,36044,5702,985
08.02,86232,36213,5736,877
08.03,86524,59344,5750,292
08.04,87041,59344,5767,517
08.05,87963,70985,5808,922
08.06,88866,71168,5847,903
08.07,90537,71318,5877,1671
08.08,91969,71463,5897,1432
08.09,93572,71605,5916,1603
08.10,94459,78552,5922,887
08.11,94701,78608,5932,242
08.12,95563,78610,5951,862
08.13,97110,78887,5984,1547
08.14,98343,78957,6010,1233
08.15,99409,79176,6030,1066
08.16,100688,79354,6065,1279
08.17,101542,87022,6070,854
