,confirm,heal,dead,confirm_add
03.21,3,0,0,0
03.22,3,0,0,0
03.23,3,0,0,0
03.24,5,0,0,2
03.25,9,0,0,4
03.26,13,0,0,4
03.27,13,0,0,0
03.28,19,0,0,6
03.29,24,0,0,5
03.30,30,0,0,6
03.31,32,0,0,2
04.01,32,0,1,0
04.02,41,0,2,9
04.03,46,0,2,5
04.04,56,0,3,10
04.05,62,2,3,6
04.06,69,2,3,7
04.07,78,5,4,9
04.08,93,9,5,15
04.09,103,10,5,10
04.10,117,15,6,14
04.11,118,19,6,1
04.12,125,21,6,7
04.13,137,22,6,12
04.14,149,25,6,12
04.15,159,30,6,10
04.16,164,33,6,5
04.17,177,38,7,13
04.18,190,43,7,13
04.19,201,44,7,11
04.20,218,46,7,17
04.21,225,48,7,7
04.22,237,63,7,12
04.23,250,67,8,13
04.24,261,72,8,11
04.25,274,75,8,13
04.26,298,83,8,24
04.27,323,89,8,25
04.28,345,97,8,22
04.29,377,106,9,32
04.30,395,118,9,18
05.01,424,124,10,29
05.02,446,138,10,22
05.03,446,141,10,0
05.04,555,180,12,109
05.05,587,201,13,32
05.06,633,219,14,46
05.07,695,245,15,62
05.08,742,257,15,47
05.09,784,276,16,42
05.10,889,293,17,105
05.11,958,325,17,69
05.12,998,349,18,40
05.13,1037,374,20,39
05.14,1112,405,20,75
05.15,1210,416,23,98
05.16,1265,441,25,55
05.17,1338,462,27,73
05.18,1413,474,30,75
05.19,1498,502,30,85
05.20,1571,531,31,73
05.21,1640,540,32,69
05.22,1725,562,33,85
05.23,1819,570,33,94
05.24,1915,594,35,96
05.25,1983,698,35,68
05.26,2042,787,36,59
05.27,2109,873,37,67
05.28,2194,1002,39,85
05.29,2278,1015,42,84
05.30,2395,1026,44,117
05.31,2517,1040,46,122
06.01,2582,1063,46,65
06.02,2653,1116,46,71
06.03,2653,1116,46,0
06.04,2781,1208,51,128
06.05,2849,1249,53,68
06.06,2934,1281,53,85
06.07,3015,1305,53,81
06.08,3104,1361,55,89
06.09,3191,1413,58,87
06.10,3191,1419,60,0
06.11,3373,1497,64,182
06.12,3481,1587,68,108
06.13,3603,1738,72,122
06.14,3720,1837,72,117
06.15,3826,1912,74,106
06.16,3941,2041,76,115
06.17,4066,2137,78,125
06.18,4200,2235,82,134
06.19,4329,2310,86,129
06.20,4475,2449,93,146
06.21,4626,2535,98,151
06.22,4808,2655,107,182
06.23,4973,2814,113,165
06.24,5150,2924,119,177
06.25,5336,3116,126,186
06.26,5517,3291,133,181
06.27,5727,3447,143,210
06.28,5934,3557,152,207
06.29,6173,3648,164,239
06.30,6438,3770,174,265
07.01,6736,3964,182,298
07.02,7000,4115,191,264
07.03,7267,4268,202,267
07.04,7507,4434,210,240
07.05,7777,4573,217,270
07.06,8027,4730,223,250
07.07,8307,4929,229,280
07.08,8566,5133,235,259
07.09,8844,5289,243,278
07.10,9142,5428,249,298
07.11,9391,5516,254,249
07.12,9674,5634,260,283
07.13,9978,5732,267,304
07.14,10303,5919,278,325
07.15,10645,6120,286,342
07.16,10957,6257,298,312
07.17,11207,6422,309,250
07.18,11508,6560,324,301
07.19,11846,6705,335,338
07.20,12207,6831,344,361
07.21,12582,6965,352,375
07.22,12975,7119,363,393
07.23,13377,7276,372,402
07.24,13792,7415,379,415
07.25,14221,7549,390,429
07.26,14630,7648,400,409
07.27,15035,7778,408,405
07.28,15446,7903,417,411
07.29,15841,8071,430,395
07.30,16230,8206,439,389
07.31,16632,8362,448,402
08.01,17050,8495,459,418
08.02,17448,8634,467,398
08.03,17843,8809,477,395
08.04,17843,8845,486,0
08.05,18701,9111,498,858
08.06,18701,9157,513,0
08.07,19544,9379,520,843
08.08,19978,9515,536,434
08.09,20423,9626,549,445
08.10,20872,9720,563,449
08.11,21269,9875,570,397
08.12,21644,10056,577,375
08.13,21993,10254,584,349
08.14,22314,10455,595,321
08.15,22619,10618,603,305
08.16,22912,10807,612,293
08.17,22912,10814,618,0
08.18,23462,11179,625,550
08.19,23717,11388,633,255
08.20,23964,11558,640,247
08.21,24200,11781,646,236
08.22,24420,12021,654,220
08.23,24622,12246,661,202
08.24,24811,12492,669,189
08.25,24986,12717,678,175
08.26,25140,13046,687,154
08.27,25284,13291,694,144
08.28,25415,13570,702,131
08.29,25537,13799,708,122
08.30,25635,14013,713,98
08.31,25729,14292,717,94
09.01,25820,14570,724,91
09.02,25904,14879,731,84
09.03,26000,15119,739,96
09.04,26099,15347,744,99
09.05,26206,15587,752,107
09.06,26308,15815,759,102
09.07,26413,16137,764,105
09.08,26511,16462,765,98
09.09,26602,16786,770,91
09.10,26688,17106,774,86
09.11,26773,17433,777,85
09.12,26851,17874,782,78
09.13,26928,18397,785,77
09.14,27009,18924,788,81
09.15,27088,19450,792,79
09.16,27163,19960,796,75
09.17,27249,20392,801,86
09.18,27346,20825,804,97
09.19,27428,21247,808,82
09.20,27553,21561,811,125
09.21,27798,21782,812,245
09.22,27798,21795,814,0
09.23,27954,22113,819,156
09.24,28201,22326,823,247
09.25,28415,22643,823,214
09.26,28415,22643,826,0
09.27,28630,22879,826,215
09.28,28809,23317,831,179
09.29,28981,23685,839,172
09.30,29077,23813,843,96
10.01,29175,23930,848,98
10.02,29175,23930,848,0
10.03,29358,24175,857,183
10.04,29450,24296,863,92
10.05,29539,24406,865,89
10.06,29634,24525,869,95
10.07,29737,24643,873,103
10.08,29842,24770,877,105
10.09,29951,24995,881,109
10.10,29951,24995,887,0
10.11,30196,25438,890,245
10.12,30196,25438,894,0
10.13,30480,25857,899,284
10.14,30766,26087,904,286
10.15,31061,26311,908,295
10.16,31265,26542,912,204
10.17,31456,26769,917,191
10.18,31666,27000,922,210
10.19,31666,27000,926,0
10.20,31975,27453,929,309
10.21,32120,27670,933,145
10.22,32262,27904,936,142
10.23,32421,28127,940,159
10.24,32585,28258,944,164
10.25,32585,28258,949,0
10.26,32925,28582,953,340
10.27,32925,28582,953,0
10.28,32925,28582,957,0
10.29,33445,29186,967,520
10.30,33445,29186,971,0
10.31,33445,29186,975,0
11.01,34015,29788,979,570
11.02,34015,29788,983,0
11.03,34015,29788,987,0
11.04,34015,29788,992,0
11.05,34782,30707,997,767
11.06,34966,30941,1002,184
11.07,35145,31172,1006,179
11.08,35145,31172,1010,0
11.09,35145,31172,1014,0
11.10,35145,31172,1014,0
11.11,35145,31172,1020,0
11.12,36030,32246,1028,885
11.13,36195,32487,1033,165
11.14,36358,32721,1039,163
11.15,36358,32721,1044,0
11.16,36669,33064,1047,311
11.17,36669,33064,1052,0
11.18,36669,33064,1056,0
11.19,36965,33517,1061,296
11.20,37250,33984,1064,285
11.21,37250,33984,1070,0
11.22,37562,34297,1075,312
11.23,37562,34297,1081,0
11.24,37884,34595,1086,322
11.25,37884,34595,1086,0
11.26,37884,34595,1098,0
11.27,38405,35078,1102,521
11.28,38405,35078,1107,0
11.29,38405,35078,1111,0
11.30,38405,35078,1114,0
12.01,39130,35839,1120,725
12.02,39130,35839,1129,0
12.03,39130,35839,1134,0
12.04,39718,36286,1142,588
12.05,39718,36286,1153,0
12.06,40131,36525,1159,413
12.07,40131,36525,1164,0
12.08,40345,36735,1168,214
12.09,40741,37172,1174,396
12.10,40741,37172,1180,0
12.11,40741,37172,1186,0
12.12,41163,37471,1193,422
12.13,41394,37667,1200,231
12.14,41880,38087,1205,486
12.15,42132,38260,1212,252
12.16,42397,38481,1219,265
12.17,42397,38481,1227,0
12.18,42397,38481,1234,0
12.19,43195,39016,1242,798
12.20,43477,39142,1242,282
12.21,43772,39362,1257,295
12.22,43772,39362,1265,0
12.23,43772,39362,1274,0
12.24,43772,39362,1283,0
12.25,44619,39989,1289,847
12.26,44619,39989,1297,0
12.27,44619,39989,1305,0
12.28,44619,39989,1313,0
12.29,45415,40662,1313,796
12.30,45960,45960,1327,545
12.31,45960,45960,1327,0
01.01,45960,45960,1327,0
01.02,45960,45960,1327,0
01.03,46803,41787,1358,843
01.04,47087,42004,1364,284
01.05,47355,42225,1373,268
01.06,47355,42225,1373,0
01.07,47948,42668,1390,593
01.08,48255,42902,1398,307
01.09,48574,43134,1408,319
01.10,48905,43356,1419,331
01.11,48905,43356,1428,0
01.12,48905,43356,1437,0
01.13,49539,43810,1447,634
01.14,50157,44304,1459,618
01.15,50157,44304,1469,0
01.16,50157,44304,1479,0
01.17,50784,44777,1487,627
01.18,51437,45223,1498,653
01.19,51437,45223,1509,0
01.20,51437,45223,1521,0
01.21,51437,45223,1530,0
01.22,52672,46370,1540,1235
01.23,52672,46370,1540,0
01.24,53218,46845,1561,546
01.25,53218,46845,1572,0
01.26,53479,47073,1583,261
01.27,53989,47643,1589,510
