,confirm,heal,dead,confirm_add
03.14,1,0,0,1
03.15,1,0,0,0
03.16,1,0,0,0
03.17,1,0,0,0
03.18,3,0,0,2
03.19,4,0,0,1
03.20,6,0,0,2
03.21,6,0,0,0
03.22,6,0,0,0
03.23,9,0,0,3
03.24,9,0,0,0
03.25,9,0,0,0
03.26,11,0,0,2
03.27,12,0,0,1
03.28,13,0,0,1
03.29,12,0,0,-1
03.30,14,0,0,1
03.31,12,1,0,-2
04.01,15,1,0,3
04.02,15,1,0,0
04.03,15,1,0,0
04.04,16,1,0,1
04.05,16,1,0,0
04.06,16,1,0,0
04.07,16,3,0,0
04.08,16,3,0,0
04.09,18,3,0,2
04.10,18,3,0,0
04.11,18,3,0,0
04.12,21,3,0,3
04.13,21,3,0,0
04.14,21,4,0,0
04.15,41,4,0,20
04.16,51,4,0,10
04.17,51,4,0,0
04.18,79,4,0,28
04.19,79,4,0,0
04.20,79,4,0,0
04.21,79,7,0,0
04.22,83,7,0,4
04.23,84,7,1,1
04.24,84,7,1,0
04.25,214,7,1,130
04.26,258,8,1,44
04.27,258,8,1,0
04.28,258,9,1,0
04.29,315,9,1,57
04.30,315,9,1,0
05.01,315,9,1,0
05.02,315,9,1,0
05.03,315,9,1,0
05.04,315,13,1,0
05.05,315,13,3,0
05.06,439,13,4,124
05.07,439,13,4,0
05.08,439,13,4,0
05.09,439,13,4,0
05.10,439,13,4,0
05.11,439,13,4,0
05.12,439,13,4,0
05.13,522,13,6,83
05.14,522,13,6,0
05.15,583,13,7,61
05.16,594,22,7,11
05.17,594,22,7,0
05.18,594,22,7,0
05.19,719,22,7,125
05.20,825,22,7,106
05.21,890,22,7,65
05.22,903,22,10,13
05.23,960,165,11,57
05.24,960,165,11,0
05.25,1043,165,12,83
05.26,1043,165,12,0
05.27,1043,165,12,0
05.28,1043,165,12,0
05.29,1306,200,12,263
05.30,1306,200,12,0
05.31,1306,200,12,0
06.01,1306,200,12,0
06.02,1306,200,12,0
06.03,1306,200,12,0
06.04,1306,200,12,0
06.05,1306,200,12,0
06.06,1306,200,12,0
06.07,1306,200,12,0
06.08,1306,200,12,0
06.09,1306,200,12,0
06.10,1306,200,12,0
06.11,1306,200,12,0
06.12,1306,200,12,0
06.13,1306,200,12,0
06.14,1306,200,12,0
06.15,1306,200,12,0
06.16,1306,200,12,0
06.17,1664,515,32,358
06.18,1664,515,32,0
06.19,1664,515,32,0
06.20,1664,515,32,0
06.21,1664,515,32,0
06.22,1664,515,32,0
06.23,1664,515,32,0
06.24,1664,515,32,0
06.25,1664,515,32,0
06.26,2001,515,32,337
06.27,2001,515,32,0
06.28,2001,515,32,0
06.29,2001,515,32,0
06.30,2001,515,32,0
07.01,2001,515,32,0
07.02,2001,515,32,0
07.03,3071,842,51,1070
07.04,3071,842,51,0
07.05,3071,842,51,0
07.06,3071,842,51,0
07.07,3071,842,51,0
07.08,3071,842,51,0
07.09,3071,842,51,0
07.10,3071,842,51,0
07.11,3071,842,51,0
07.12,3071,842,51,0
07.13,3071,842,51,0
07.14,3071,842,51,0
07.15,3071,842,51,0
07.16,3071,842,51,0
07.17,3071,842,51,0
07.18,3071,842,51,0
07.19,3071,842,51,0
07.20,3071,842,51,0
07.21,3071,842,51,0
07.22,3071,842,51,0
07.23,3071,842,51,0
07.24,3071,842,51,0
07.25,3071,842,51,0
07.26,3071,842,51,0
07.27,3071,842,51,0
07.28,3071,842,51,0
07.29,3071,842,51,0
07.30,3071,842,51,0
07.31,3071,842,51,0
08.01,4821,2182,83,1750
08.02,4821,2182,83,0
08.03,4821,2182,83,0
08.04,4821,2182,83,0
08.05,4821,2182,83,0
08.06,4821,2182,83,0
08.07,4821,2182,83,0
08.08,4821,2182,83,0
08.09,4821,2182,83,0
08.10,4821,2182,83,0
08.11,4821,2182,83,0
08.12,4821,2182,83,0
08.13,4821,2182,83,0
08.14,4821,2182,83,0
08.15,4821,2182,83,0
08.16,4821,2182,83,0
08.17,4821,2182,83,0
08.18,4821,2182,83,0
08.19,4821,2182,83,0
08.20,4892,2713,83,71
08.21,4892,2713,83,0
08.22,4926,2713,83,34
08.23,4926,3795,83,0
08.24,4926,3795,83,0
08.25,4926,3795,83,0
08.26,4926,3795,83,0
08.27,4928,3798,83,2
08.28,4928,3798,83,0
08.29,4941,3884,83,13
08.30,4941,3884,83,0
08.31,4941,3884,83,0
09.01,4941,3884,83,0
09.02,4965,3884,83,24
09.03,4965,4390,83,0
09.04,4965,4390,83,0
09.05,4972,4413,83,7
09.06,4972,4413,83,0
09.07,4972,4413,83,0
09.08,4985,4454,83,13
09.09,4985,4454,83,0
09.10,4990,4479,83,5
09.11,4990,4479,83,0
09.12,4996,4490,83,6
09.13,4996,4490,83,0
09.14,4996,4490,83,0
09.15,5000,4496,83,4
09.16,5000,4496,83,0
09.17,5000,4496,83,0
09.18,5002,4509,83,2
09.19,5002,4509,83,0
09.20,5002,4509,83,0
09.21,5002,4509,83,0
09.22,5002,4509,83,0
09.23,5018,4509,83,16
09.24,5018,4509,83,0
09.25,5018,4530,83,0
09.26,5018,4530,83,0
09.27,5028,4740,83,10
09.28,5028,4740,83,0
09.29,5028,4740,83,0
09.30,5030,4769,83,2
10.01,5030,4769,83,0
10.02,5045,4879,83,15
10.03,5045,4879,83,0
10.04,5045,4879,83,0
10.05,5045,4879,83,0
10.06,5052,4894,83,7
