,confirm,heal,dead,confirm_add
03.22,1,0,0,1
03.23,1,0,0,0
03.24,1,0,0,0
03.25,1,0,0,0
03.26,4,0,0,3
03.27,6,0,0,2
03.28,6,0,0,0
03.29,6,0,0,0
03.30,12,0,0,6
03.31,15,0,0,3
04.01,15,0,0,0
04.02,18,0,0,3
04.03,22,0,0,4
04.04,22,0,0,0
04.05,29,0,0,7
04.06,29,0,0,0
04.07,31,0,0,2
04.08,31,0,0,0
04.09,33,0,0,2
04.10,33,0,0,0
04.11,34,0,0,1
04.12,34,0,0,0
04.13,34,0,0,0
04.14,34,0,0,0
04.15,35,0,0,1
04.16,35,0,0,0
04.17,35,0,0,0
04.18,35,0,0,0
04.19,39,3,0,4
04.20,39,3,0,0
04.21,39,3,0,0
04.22,39,6,0,0
04.23,39,6,0,0
04.24,39,11,0,0
04.25,39,11,0,0
04.26,39,13,0,0
04.27,39,13,0,0
04.28,39,13,0,0
04.29,39,19,0,0
04.30,39,19,0,0
05.01,39,26,0,0
05.02,39,26,0,0
05.03,39,26,0,0
05.04,39,26,0,0
05.05,39,26,0,0
05.06,39,30,0,0
05.07,39,30,0,0
05.08,39,30,0,0
05.09,39,37,0,0
05.10,39,37,0,0
05.11,39,37,0,0
05.12,39,38,0,0
05.13,39,38,0,0
05.14,39,38,0,0
05.15,39,38,0,0
05.16,39,39,0,0
05.17,39,39,0,0
05.18,39,39,0,0
05.19,39,39,0,0
05.20,39,39,0,0
05.21,39,39,0,0
05.22,39,39,0,0
05.23,39,39,0,0
05.24,39,39,0,0
05.25,39,39,0,0
05.26,39,39,0,0
05.27,39,39,0,0
05.28,39,39,0,0
05.29,39,39,0,0
05.30,39,39,0,0
05.31,39,39,0,0
06.01,39,39,0,0
06.02,39,39,0,0
06.03,39,39,0,0
06.04,39,39,0,0
06.05,39,39,0,0
06.06,39,39,0,0
06.07,39,39,0,0
06.08,39,39,0,0
06.09,39,39,0,0
06.10,39,39,0,0
06.11,41,39,0,2
06.12,41,39,0,0
06.13,41,39,0,0
06.14,65,39,0,24
06.15,96,39,0,31
06.16,109,39,0,13
06.17,121,39,0,12
06.18,131,39,0,10
06.19,142,39,0,11
06.20,142,39,0,0
06.21,143,39,0,1
06.22,143,39,0,0
06.23,143,39,0,0
06.24,143,39,0,0
06.25,144,39,0,1
06.26,144,39,0,0
06.27,167,53,0,23
06.28,191,53,0,24
06.29,191,53,0,0
06.30,191,53,0,0
07.01,203,53,0,12
07.02,203,56,0,0
07.03,215,56,0,12
07.04,215,56,0,0
07.05,215,56,0,0
07.06,215,56,0,0
07.07,215,56,0,0
07.08,215,56,0,0
07.09,215,56,0,0
07.10,232,107,0,17
07.11,232,107,0,0
07.12,232,107,0,0
07.13,232,107,0,0
07.14,232,107,0,0
07.15,232,107,0,0
07.16,232,107,0,0
07.17,251,149,0,19
07.18,251,155,0,0
07.19,251,155,0,0
07.20,251,155,0,0
07.21,251,155,0,0
07.22,251,155,0,0
07.23,251,155,0,0
07.24,261,189,0,10
07.25,261,189,0,0
07.26,263,189,0,2
07.27,263,189,0,0
07.28,265,191,0,2
07.29,265,191,0,0
07.30,265,191,0,0
07.31,279,225,0,14
08.01,279,225,0,0
08.02,279,225,0,0
08.03,279,225,0,0
08.04,282,225,0,3
08.05,282,225,0,0
08.06,282,225,0,0
08.07,282,225,0,0
08.08,285,245,0,3
08.09,285,245,0,0
08.10,285,245,0,0
08.11,285,248,0,0
08.12,285,248,0,0
08.13,285,248,0,0
08.14,285,248,0,0
08.15,285,248,0,0
08.16,285,248,0,0
08.17,285,248,0,0
08.18,285,248,0,0
08.19,304,261,0,19
08.20,304,261,0,0
08.21,306,274,0,2
08.22,306,274,0,0
08.23,306,274,0,0
08.24,306,274,0,0
08.25,306,274,0,0
08.26,315,276,0,9
08.27,315,276,0,0
