,confirm,heal,dead,confirm_add
02.27,1,0,0,1
02.28,1,0,0,0
03.01,1,0,0,0
03.02,1,0,0,0
03.03,1,0,0,0
03.04,1,0,0,0
03.05,3,0,0,2
03.06,5,0,0,2
03.07,10,0,0,5
03.08,10,0,0,0
03.09,10,0,0,0
03.10,12,0,0,2
03.11,13,0,0,1
03.12,16,0,0,3
03.13,41,0,0,25
03.14,68,0,0,27
03.15,135,0,0,67
03.16,171,0,0,36
03.17,205,0,0,34
03.18,258,0,0,53
03.19,258,0,0,0
03.20,267,0,0,9
03.21,283,0,0,16
03.22,306,0,0,23
03.23,326,0,0,20
03.24,352,0,0,26
03.25,369,0,0,17
03.26,404,4,1,35
03.27,538,4,1,134
03.28,575,11,1,37
03.29,645,20,1,70
03.30,715,20,3,70
03.31,745,26,4,30
04.01,779,33,5,34
04.02,858,45,11,79
04.03,961,48,12,103
04.04,1018,59,13,57
04.05,1097,62,15,79
04.06,1108,62,19,11
04.07,1149,69,21,41
04.08,1185,72,24,36
04.09,1207,83,24,22
04.10,1258,93,24,51
04.11,1304,93,24,46
04.12,1309,98,25,5
04.13,1332,102,27,23
04.14,1373,115,31,41
04.15,1400,117,35,27
04.16,1434,133,36,34
04.17,1459,145,38,25
04.18,1512,162,38,53
04.19,1528,164,40,16
04.20,1535,165,40,7
04.21,1552,169,43,17
04.22,1559,184,44,7
04.23,1592,192,45,33
04.24,1605,206,46,13
04.25,1635,228,46,30
04.26,1643,233,49,8
04.27,1647,233,50,4
04.28,1660,240,50,13
04.29,1666,236,50,6
04.30,1689,249,52,23
05.01,1694,253,52,5
05.02,1699,256,53,5
05.03,1699,256,53,0
05.04,1703,259,55,4
05.05,1711,261,55,8
05.06,1713,264,55,2
05.07,1720,273,56,7
05.08,1725,704,56,5
05.09,1733,747,60,8
05.10,1739,750,60,6
05.11,1741,751,61,2
05.12,1746,777,61,5
05.13,1751,777,61,5
05.14,1758,909,62,7
05.15,1766,923,63,8
05.16,1770,934,63,4
05.17,1774,938,63,4
05.18,1784,938,64,10
05.19,1791,938,64,7
05.20,1794,956,64,3
05.21,1800,963,64,6
05.22,1807,1508,64,7
05.23,1821,1526,64,14
05.24,1823,1532,64,2
05.25,1824,1538,65,1
05.26,1834,1552,65,10
05.27,1840,1561,66,6
05.28,1851,1574,66,11
05.29,1859,1610,67,8
05.30,1865,1622,67,6
05.31,1869,1624,68,4
06.01,1870,1625,68,1
06.02,1870,1632,68,0
06.03,1870,1632,68,0
06.04,1890,1663,69,20
06.05,1910,1667,69,20
06.06,1931,1675,69,21
06.07,1939,1681,69,8
06.08,1940,1683,69,1
06.09,1947,1684,69,7
06.10,1958,1690,69,11
06.11,1965,1697,69,7
06.12,1970,1703,69,5
06.13,1973,1705,69,3
06.14,1973,1705,69,0
06.15,1974,1717,69,1
06.16,1975,1728,69,1
06.17,1977,1743,69,2
06.18,1977,1748,69,0
06.19,1979,1755,69,2
06.20,1981,1758,69,2
06.21,1981,1764,69,0
06.22,1981,1765,69,0
06.23,1982,1771,69,1
06.24,1983,1783,69,1
06.25,1984,1790,69,1
06.26,1986,1797,69,2
06.27,1986,1812,69,0
06.28,1987,1818,69,1
06.29,1987,1818,69,0
06.30,1989,1829,69,2
