,confirm,heal,dead,confirm_add
03.21,1,0,0,0
03.22,2,0,0,1
03.23,3,0,0,1
03.24,4,0,0,1
03.25,5,0,0,1
03.26,5,0,0,0
03.27,5,0,0,0
03.28,5,0,0,0
03.29,5,0,0,0
03.30,5,0,0,0
03.31,5,0,0,0
04.01,5,0,0,0
04.02,7,0,0,2
04.03,7,0,0,0
04.04,12,0,0,5
04.05,12,0,0,0
04.06,14,0,0,2
04.07,15,0,0,1
04.08,15,0,0,0
04.09,15,0,0,0
04.10,16,0,0,1
04.11,16,0,0,0
04.12,16,0,0,0
04.13,16,0,0,0
04.14,16,0,0,0
04.15,16,0,0,0
04.16,17,0,0,1
04.17,17,0,0,0
04.18,17,0,0,0
04.19,17,0,0,0
04.20,18,3,0,1
04.21,18,3,0,0
04.22,18,8,0,0
04.23,18,8,0,0
04.24,18,10,0,0
04.25,18,10,0,0
04.26,18,10,0,0
04.27,18,12,0,0
04.28,18,12,0,0
04.29,18,12,0,0
04.30,18,12,0,0
05.01,18,12,0,0
05.02,18,14,0,0
05.03,18,14,0,0
05.04,18,14,0,0
05.05,18,14,0,0
05.06,18,14,0,0
05.07,18,14,0,0
05.08,18,14,0,0
05.09,18,14,0,0
05.10,18,14,0,0
05.11,18,14,0,0
05.12,18,14,0,0
05.13,18,14,0,0
05.14,18,14,0,0
05.15,18,14,0,0
05.16,18,15,0,0
05.17,18,15,0,0
05.18,18,15,0,0
05.19,18,15,0,0
05.20,18,15,0,0
05.21,18,15,0,0
05.22,18,15,0,0
05.23,18,15,0,0
05.24,18,15,0,0
05.25,18,15,0,0
05.26,18,15,0,0
05.27,18,15,0,0
05.28,18,15,0,0
05.29,18,15,0,0
05.30,18,15,0,0
05.31,18,15,0,0
06.01,18,15,0,0
06.02,18,15,0,0
06.03,18,15,0,0
06.04,18,15,0,0
06.05,18,18,0,0
06.06,18,18,0,0
06.07,18,18,0,0
06.08,18,18,0,0
06.09,18,18,0,0
06.10,18,18,0,0
06.11,18,18,0,0
06.12,18,18,0,0
06.13,18,18,0,0
06.14,18,18,0,0
06.15,18,18,0,0
06.16,18,18,0,0
06.17,18,18,0,0
06.18,18,18,0,0
06.19,18,18,0,0
06.20,18,18,0,0
06.21,18,18,0,0
06.22,18,18,0,0
06.23,18,18,0,0
06.24,18,18,0,0
06.25,18,18,0,0
06.26,18,18,0,0
06.27,18,18,0,0
06.28,18,18,0,0
06.29,18,18,0,0
06.30,18,18,0,0
07.01,18,18,0,0
07.02,18,18,0,0
07.03,18,18,0,0
07.04,18,18,0,0
07.05,18,18,0,0
07.06,19,18,0,1
07.07,21,18,0,2
07.08,21,18,0,0
07.09,21,18,0,0
07.10,26,18,0,5
07.11,26,18,0,0
07.12,26,18,0,0
07.13,26,18,0,0
07.14,26,18,0,0
07.15,26,18,0,0
07.16,26,18,0,0
