,confirm,heal,dead,confirm_add
01.30,1,0,0,0
01.31,1,0,0,0
02.01,1,0,0,0
02.02,1,0,0,0
02.03,1,0,0,0
02.04,1,0,0,0
02.05,1,0,0,0
02.06,1,1,0,0
02.07,1,1,0,0
02.08,1,1,0,0
02.09,1,1,0,0
02.10,1,1,0,0
02.11,1,1,0,0
02.12,1,1,0,0
02.13,1,1,0,0
02.14,1,1,0,0
02.15,1,1,0,0
02.16,1,1,0,0
02.17,1,1,0,0
02.18,1,1,0,0
02.19,1,1,0,0
02.20,1,1,0,0
02.21,1,1,0,0
02.22,1,1,0,0
02.23,1,1,0,0
02.24,1,1,0,0
02.25,1,1,0,0
02.26,1,1,0,0
02.27,2,1,0,1
02.28,2,1,0,0
02.29,3,1,0,1
03.01,3,1,0,0
03.02,6,1,0,3
03.03,7,1,0,1
03.04,7,1,0,0
03.05,12,1,0,5
03.06,15,1,0,3
03.07,19,1,0,4
03.08,19,1,0,0
03.09,30,1,0,11
03.10,40,1,0,7
03.11,40,1,0,0
03.12,65,1,0,25
03.13,155,1,0,90
03.14,155,1,0,0
03.15,244,1,0,89
03.16,244,1,0,0
03.17,272,1,0,28
03.18,333,1,0,51
03.19,359,10,0,26
03.20,400,10,0,41
03.21,521,10,1,121
03.22,521,10,1,0
03.23,626,10,1,105
03.24,700,10,1,74
03.25,792,10,1,92
03.26,880,10,3,88
03.27,958,10,5,78
03.28,1163,10,9,205
03.29,1240,10,11,77
03.30,1240,10,11,77
03.31,1418,10,17,178
04.01,1446,10,17,28
04.02,1518,300,19,72
04.03,1615,300,20,97
04.04,1882,300,25,267
04.05,1927,300,28,45
04.06,2176,300,27,249
04.07,2308,300,34,132
04.08,2487,300,40,179
04.09,2605,300,42,118
04.10,2769,300,48,164
04.11,2905,300,49,136
04.12,2974,300,56,69
04.13,3064,300,59,90
04.14,3161,300,64,97
04.15,3237,300,72,76
04.16,3369,1700,75,132
04.17,3489,1700,82,120
04.18,3681,1700,90,192
04.19,3783,1700,94,102
04.20,3868,1700,98,85
04.21,4014,2000,141,146
04.22,4129,2000,149,115
04.23,4284,2000,172,155
04.24,4395,2500,177,111
04.25,4475,2500,186,80
04.26,4576,2500,190,101
04.27,4695,2500,193,119
04.28,4740,2800,199,45
04.29,4906,2800,206,166
04.30,4995,3000,211,89
05.01,5051,3000,218,56
05.02,5176,3000,220,125
05.03,5176,3000,220,0
05.04,5327,3500,240,151
05.05,5412,3500,246,85
05.06,5573,3500,252,161
05.07,5673,3500,255,100
05.08,5738,4000,260,65
05.09,5880,4000,265,142
05.10,5962,4000,267,82
05.11,5984,4000,271,22
05.12,6003,4300,275,19
05.13,6054,4300,284,51
05.14,6145,4300,287,91
05.15,6228,5000,293,83
05.16,6286,5000,297,58
05.17,6347,5000,298,61
05.18,6380,5000,300,33
05.19,6399,5000,301,19
05.20,6443,5000,304,44
05.21,6493,4800,306,50
05.22,6537,4800,306,44
05.23,6568,4800,306,31
05.24,6579,4800,307,11
05.25,6599,5100,308,20
05.26,6628,5100,312,29
05.27,6692,5100,313,64
05.28,6743,5500,313,51
