,confirm,heal,dead,confirm_add
03.18,1,0,0,1
03.19,1,0,0,0
03.20,1,0,0,0
03.21,1,0,0,0
03.22,1,0,0,0
03.23,1,0,0,0
03.24,2,0,1,1
03.25,3,0,1,2
03.26,3,0,1,0
03.27,3,0,1,0
03.28,3,0,1,0
03.29,3,0,1,0
03.30,4,0,1,1
03.31,4,0,1,0
04.01,4,0,1,0
04.02,4,2,1,0
04.03,4,2,1,0
04.04,4,2,1,0
04.05,4,2,1,0
04.06,4,2,1,0
04.07,4,2,1,0
04.08,4,2,1,0
04.09,4,2,1,0
04.10,4,2,1,0
04.11,4,2,1,0
04.12,9,2,1,5
04.13,9,2,1,0
04.14,9,2,1,0
04.15,9,2,1,0
04.16,9,2,1,0
04.17,9,2,1,0
04.18,9,2,1,0
04.19,9,2,1,0
04.20,10,2,1,1
04.21,10,2,1,0
04.22,10,2,1,0
04.23,10,2,1,0
04.24,10,2,1,0
04.25,10,8,1,0
04.26,10,8,1,0
04.27,10,8,1,0
04.28,10,8,1,0
04.29,10,8,1,0
04.30,11,8,1,1
05.01,12,8,1,1
05.02,12,9,1,0
05.03,17,9,1,5
05.04,17,9,1,0
05.05,17,9,1,0
05.06,17,9,1,0
05.07,17,9,1,0
05.08,18,9,1,1
05.09,20,9,1,2
05.10,20,9,1,0
05.11,20,9,1,0
05.12,22,10,1,2
05.13,23,10,1,1
05.14,23,10,1,0
05.15,23,10,1,0
05.16,23,12,1,0
05.17,23,12,1,0
05.18,23,12,1,0
05.19,24,13,1,1
05.20,24,13,1,0
05.21,24,13,1,0
05.22,24,13,1,0
05.23,25,13,1,1
05.24,25,13,1,0
05.25,25,13,1,0
05.26,25,17,1,0
05.27,25,18,1,0
05.28,25,19,1,0
05.29,25,19,1,0
05.30,25,20,1,0
05.31,25,20,1,0
06.01,25,20,1,0
06.02,25,20,1,0
06.03,25,20,1,0
06.04,26,20,1,1
06.05,26,20,1,0
06.06,26,21,1,0
06.07,26,21,1,0
06.08,26,21,1,0
06.09,28,21,1,2
06.10,28,21,1,0
06.11,28,22,1,0
06.12,28,22,1,0
06.13,28,22,1,0
06.14,28,24,1,0
06.15,28,24,1,0
06.16,30,24,1,2
06.17,34,24,1,4
06.18,34,24,1,0
06.19,36,24,1,2
06.20,36,24,1,0
06.21,37,24,2,1
06.22,37,24,2,0
06.23,41,26,2,4
06.24,42,26,2,1
06.25,42,26,2,0
06.26,43,26,2,1
06.27,44,26,2,1
06.28,45,26,2,1
06.29,45,26,2,0
06.30,47,26,2,2
07.01,49,27,2,2
07.02,49,27,2,0
07.03,55,27,2,6
07.04,55,27,2,0
07.05,57,27,2,2
07.06,57,27,2,0
07.07,61,27,3,4
07.08,61,27,3,0
07.09,63,32,3,2
07.10,64,34,3,1
07.11,64,34,3,0
07.12,64,34,3,0
07.13,64,34,3,0
07.14,64,34,3,0
07.15,64,34,3,0
07.16,64,34,3,0
07.17,78,34,3,14
07.18,93,49,4,15
07.19,93,49,4,0
07.20,93,49,4,0
07.21,112,57,4,19
07.22,132,57,5,20
07.23,146,57,5,14
07.24,170,58,5,24
07.25,216,60,6,46
07.26,277,60,6,61
07.27,277,60,6,0
07.28,326,66,8,49
07.29,326,66,8,0
07.30,403,66,8,77
07.31,403,66,8,0
08.01,498,68,9,95
08.02,498,68,9,0
08.03,498,68,9,0
08.04,498,68,9,0
08.05,799,115,16,301
08.06,935,136,16,136
08.07,935,136,16,0
08.08,1090,146,19,155
08.09,1090,146,19,0
08.10,1235,221,23,145
08.11,1346,227,32,111
08.12,1477,247,33,131
08.13,1556,267,43,79
08.14,1623,304,50,67
08.15,1689,347,54,66
08.16,1689,347,54,0
08.17,1872,401,63,183
08.18,1872,401,63,0
08.19,2116,415,63,244
08.20,2401,435,81,285
08.21,2401,435,81,0
08.22,2437,455,84,36
08.23,2437,455,84,0
08.24,2685,490,87,248
08.25,2686,601,90,1
08.26,2686,601,90,0
08.27,2743,638,93,57
08.28,2743,638,93,0
08.29,2895,751,96,152
08.30,2895,751,96,0
08.31,2963,1032,96,68
09.01,3029,1032,96,66
09.02,3029,1032,96,0
09.03,3067,1032,97,38
09.04,3120,1295,99,53
09.05,3150,1315,99,30
09.06,3197,1315,99,47
09.07,3197,1315,99,0
09.08,3197,1315,99,0
09.09,3293,1460,99,96
09.10,3293,1460,99,0
09.11,3362,1582,100,69
09.12,3376,1617,102,14
09.13,3376,1617,102,0
09.14,3405,1723,103,29
09.15,3405,1723,103,0
09.16,3428,1737,105,23
09.17,3440,1851,107,12
09.18,3473,1951,107,33
09.19,3485,1973,108,12
09.20,3526,1992,108,41
09.21,3526,1992,108,0
09.22,3526,1992,108,0
09.23,3540,2002,110,14
09.24,3552,2012,110,12
09.25,3552,2012,110,0
09.26,3555,2034,110,3
09.27,3564,2061,110,9
09.28,3569,2161,111,5
09.29,3569,2161,111,0
09.30,3579,2161,112,10
10.01,3579,2161,112,0
10.02,3584,2216,113,5
10.03,3585,2224,115,1
10.04,3590,2226,115,5
10.05,3594,2226,115,4
10.06,3613,2233,117,19
10.07,3613,2233,117,0
10.08,3617,2437,117,4
10.09,3621,2489,117,4
10.10,3621,2489,117,0
10.11,3632,2543,117,11
10.12,3632,2543,117,0
10.13,3636,2593,118,4
10.14,3642,2595,118,6
10.15,3642,2595,118,0
10.16,3644,2646,118,2
10.17,3649,2649,118,5
10.18,3649,2649,118,0
10.19,3649,2649,118,0
10.20,3649,2649,118,0
10.21,3655,2658,118,6
10.22,3657,2658,118,2
10.23,3659,2660,119,2
10.24,3659,2660,119,0
10.25,3659,2660,119,0
10.26,3660,2660,119,1
10.27,3665,2660,119,5
10.28,3666,2666,119,1
10.29,3666,2666,119,0
10.30,3666,2666,119,0
10.31,3670,2876,119,4
11.01,3672,3196,119,2
11.02,3672,3196,119,0
11.03,3672,3196,119,0
11.04,3679,3494,120,7
11.05,3680,3504,120,1
11.06,3681,3518,120,1
11.07,3684,3527,121,3
11.08,3684,3527,121,0
11.09,3684,3533,121,0
11.10,3696,3543,122,12
11.11,3696,3543,122,0
11.12,3697,3549,122,1
11.13,3698,3557,122,1
11.14,3698,3557,122,0
11.15,3702,3567,122,4
11.16,3702,3571,122,0
11.17,3705,3573,122,3
11.18,3705,3576,122,0
11.19,3705,3578,122,0
11.20,3706,3578,122,1
11.21,3716,3581,122,10
11.22,3726,3582,123,10
11.23,3726,3582,123,0
11.24,3726,3582,123,0
11.25,3726,3585,123,0
11.26,3727,3587,123,1
11.27,3728,3588,123,1
11.28,3731,3590,123,3
11.29,3734,3591,123,3
11.30,3734,3591,123,0
12.01,3742,3601,123,8
12.02,3743,3607,123,1
12.03,3765,3609,123,22
12.04,3767,3610,123,2
12.05,3768,3613,123,1
12.06,3770,3615,123,2
12.07,3770,3615,123,0
12.08,3772,3618,123,2
12.09,3776,3631,123,4
12.10,3776,3631,123,0
12.11,3779,3645,123,3
12.12,3779,3645,123,0
12.13,3779,3645,123,0
12.14,3782,3647,123,3
12.15,3782,3647,123,0
12.16,3785,3653,123,3
12.17,3786,3653,123,1
12.18,3786,3654,123,0
12.19,3786,3654,123,0
12.20,3786,3656,123,0
12.21,3786,3656,123,0
12.22,3786,3656,123,0
12.23,3791,3659,123,5
12.24,3791,3659,123,0
12.25,3791,3659,123,0
12.26,3791,3659,123,0
12.27,3791,3659,123,0
12.28,3793,3660,123,2
12.29,3793,3660,123,0
12.30,3797,3664,124,4
12.31,3797,3664,124,0
01.01,3797,3664,124,0
01.02,3800,3669,124,3
01.03,3800,3669,124,0
01.04,3800,3669,124,0
01.05,3800,3669,124,0
01.06,3812,3677,125,12
01.07,3812,3677,125,0
01.08,3838,3677,125,26
01.09,3838,3677,125,0
01.10,3841,3677,125,3
01.11,3857,3677,125,16
01.12,3857,3677,125,0
01.13,3876,3678,125,19
01.14,3885,3679,125,9
01.15,3893,3689,126,8
01.16,3897,3689,127,4
01.17,3910,3692,127,13
01.18,3910,3692,127,0
01.19,3933,3697,128,23
01.20,3938,3697,128,5
01.21,3938,3697,128,0
01.22,3958,3703,128,20
01.23,3958,3703,128,0
01.24,3958,3703,128,0
01.25,3972,3703,128,14
01.26,4008,3722,128,36
01.27,4012,3753,128,4
01.28,4019,3780,128,7
01.29,4019,3780,128,0
01.30,4090,3792,128,71
01.31,4090,3792,128,0
02.01,4090,3792,128,0
02.02,4139,3803,131,49
02.03,4139,3803,131,0
02.04,4184,3876,132,45
02.05,4184,3876,132,0
02.06,4184,3876,132,0
02.07,4237,3886,134,53
02.08,4237,3886,134,0
02.09,4302,3891,135,65
02.10,4302,3891,135,0
02.11,4302,3891,135,0
02.12,4302,3891,135,0
02.13,4302,3891,135,0
02.14,4302,3891,135,0
02.15,4414,3901,138,112
02.16,4414,3901,138,0
02.17,4469,3912,138,55
02.18,4469,3912,138,0
02.19,4510,3923,139,41
02.20,4543,3933,143,33
02.21,4554,4011,144,11
02.22,4554,4011,144,0
02.23,4554,4011,144,0
02.24,4612,4089,146,58
02.25,4640,4089,147,28
02.26,4671,4089,147,31
02.27,4691,4089,148,20
02.28,4691,4089,148,0
03.01,4712,4089,150,21
03.02,4712,4089,150,0
03.03,4735,4111,151,23
03.04,4735,4111,151,0
03.05,4759,4143,152,24
03.06,4759,4143,152,0
03.07,4759,4143,152,0
03.08,4759,4143,152,0
03.09,4792,4203,153,33
03.10,4792,4203,153,0
03.11,4792,4203,153,0
03.12,4792,4203,153,0
03.13,4939,4360,153,147
03.14,4985,4437,153,46
03.15,4985,4437,153,0
03.16,5019,4525,153,34
03.17,5019,4525,153,0
03.18,5085,4620,158,66
03.19,5122,4686,160,37
03.20,5153,4760,160,31
03.21,5153,4760,160,0
03.22,5255,4875,161,102
03.23,5255,4875,161,0
03.24,5303,4926,161,48
03.25,5303,4926,161,0
03.26,5303,4926,161,0
03.27,5365,4990,163,62
03.28,5401,5030,163,36
03.29,5401,5030,163,0
03.30,5401,5030,163,0
03.31,5447,5060,165,46
04.01,5459,5070,165,12
04.02,5459,5070,165,0
04.03,5459,5070,165,0
04.04,5505,5086,166,46
04.05,5505,5086,166,0
04.06,5505,5086,166,0
04.07,5564,5111,166,59
04.08,5564,5111,166,0
04.09,5564,5111,166,0
04.10,5564,5111,166,0
04.11,5602,5145,168,38
04.12,5602,5145,168,0
04.13,5602,5145,168,0
04.14,5602,5145,168,0
04.15,5682,5165,170,80
04.16,5694,5176,170,12
04.17,5720,5190,170,26
04.18,5720,5190,170,0
04.19,5720,5190,170,0
04.20,5720,5190,170,0
04.21,5784,5225,170,64
04.22,5788,5248,171,4
04.23,5820,5272,173,32
04.24,5820,5272,173,0
04.25,5857,5284,173,37
04.26,5857,5284,173,0
04.27,5857,5284,173,0
04.28,5882,5309,174,25
04.29,5885,5329,174,3
04.30,5887,5341,174,2
05.01,5898,5357,174,11
05.02,5898,5357,174,0
05.03,5901,5419,175,3
05.04,5901,5419,175,0
05.05,5914,5473,175,13
05.06,5914,5473,175,0
05.07,5925,5547,175,11
05.08,5925,5547,175,0
05.09,5925,5547,175,0
05.10,5929,5598,175,4
05.11,5929,5598,175,0
05.12,5934,5648,175,5
05.13,5934,5648,175,0
05.14,5934,5648,175,0
05.15,5940,5674,175,6
05.16,5940,5674,175,0
05.17,5940,5674,175,0
05.18,5957,5701,175,17
05.19,5966,5717,175,9
05.20,5966,5717,175,0
05.21,5968,5727,175,2
05.22,5968,5727,175,0
05.23,5968,5727,175,0
05.24,5978,5754,178,10
05.25,5978,5754,178,0
05.26,5978,5754,178,0
05.27,5978,5754,178,0
05.28,5990,5767,178,12
05.29,5990,5767,178,0
05.30,5990,5767,178,0
05.31,5990,5767,178,0
06.01,5993,5780,179,3
06.02,5993,5780,179,0
06.03,5995,5786,179,2
06.04,5995,5786,179,0
06.05,5999,5796,179,4
06.06,5999,5796,179,0
06.07,5999,5796,179,0
06.08,6002,5800,179,3
06.09,6002,5800,179,0
06.10,6002,5800,179,0
06.11,6002,5800,179,0
06.12,6008,5813,180,6
06.13,6008,5813,180,0
06.14,6016,5822,180,8
06.15,6016,5822,180,0
06.16,6016,5822,180,0
06.17,6024,5827,181,8
06.18,6024,5827,181,0
06.19,6024,5827,181,0
06.20,6024,5827,181,0
06.21,6024,5827,181,0
06.22,6045,5837,181,21
06.23,6045,5837,181,0
06.24,6045,5837,181,0
06.25,6054,5844,181,9
06.26,6065,5849,181,11
06.27,6069,5855,181,4
06.28,6069,5855,181,0
06.29,6069,5855,181,0
06.30,6079,5858,181,10
07.01,6079,5858,181,0
07.02,6079,5858,181,0
