,confirm,heal,dead,confirm_add
02.27,1,0,0,1
02.28,2,0,0,1
02.29,3,0,0,1
03.01,3,0,0,0
03.02,3,0,0,0
03.03,3,0,0,0
03.04,3,0,0,0
03.05,3,0,0,0
03.06,9,0,0,6
03.07,9,0,0,0
03.08,13,0,0,4
03.09,15,0,0,2
03.10,15,0,0,0
03.11,23,0,0,8
03.12,24,0,0,1
03.13,25,0,0,1
03.14,30,0,0,5
03.15,30,0,0,0
03.16,33,0,0,3
03.17,33,0,0,0
03.18,38,0,0,5
03.19,40,1,0,2
03.20,43,1,0,3
03.21,47,1,0,4
03.22,54,3,0,7
03.23,54,3,0,7
03.24,67,9,0,13
03.25,73,9,0,6
03.26,77,10,0,4
03.27,81,13,0,4
03.28,85,14,0,4
03.29,90,18,0,5
03.30,98,18,0,8
03.31,110,21,0,12
04.01,115,23,0,5
04.02,130,26,0,15
04.03,148,27,0,18
04.04,157,28,1,9
04.05,170,36,2,13
04.06,188,36,2,18
04.07,195,45,3,7
04.08,208,48,3,13
04.09,214,50,3,6
04.10,230,54,3,16
04.11,234,56,3,4
04.12,252,63,3,18
04.13,266,67,3,14
04.14,296,68,3,30
04.15,306,69,3,10
04.16,336,74,3,30
04.17,370,79,3,34
04.18,385,84,3,15
04.19,394,86,4,9
04.20,399,93,4,5
04.21,408,95,4,9
04.22,411,98,5,3
04.23,420,111,5,9
04.24,431,132,5,11
04.25,456,139,5,25
04.26,485,139,6,29
04.27,496,149,6,11
04.28,511,156,6,15
04.29,517,168,6,6
04.30,539,178,6,22
05.01,566,184,6,27
05.02,582,207,8,16
05.03,582,207,8,0
05.04,593,223,9,11
05.05,604,240,9,11
05.06,610,269,9,6
05.07,615,275,9,5
05.08,623,288,10,8
05.09,626,297,10,3
05.10,635,309,10,9
05.11,638,317,11,3
05.12,639,349,11,1
05.13,647,372,11,8
05.14,652,383,12,5
05.15,671,393,12,19
05.16,677,419,12,6
05.17,695,425,12,18
05.18,701,432,12,6
05.19,702,456,12,1
05.20,713,475,12,11
05.21,721,485,12,8
05.22,723,495,12,2
05.23,728,509,12,5
05.24,730,522,12,2
05.25,731,526,12,1
05.26,732,537,12,1
05.27,735,557,12,3
05.28,738,573,12,3
05.29,746,576,12,8
05.30,757,600,12,11
05.31,783,605,12,26
06.01,794,624,12,11
06.02,796,634,12,2
06.03,796,634,13,0
06.04,801,644,13,5
06.05,805,650,13,4
06.06,808,663,13,3
06.07,809,674,13,1
06.08,810,683,13,1
06.09,818,686,13,8
06.10,822,690,13,4
06.11,831,694,13,9
06.12,843,697,13,12
06.13,851,702,13,8
06.14,864,703,14,13
06.15,879,704,14,15
06.16,879,724,14,0
06.17,888,731,14,9
06.18,893,739,14,5
06.19,896,741,14,3
06.20,898,752,14,2
06.21,906,755,14,8
06.22,908,761,14,2
06.23,911,761,14,3
06.24,914,771,14,3
06.25,917,776,14,3
06.26,919,780,14,2
06.27,921,781,14,2
06.28,924,785,15,3
06.29,926,791,15,2
06.30,928,794,15,2
07.01,931,794,15,3
07.02,939,817,15,8
07.03,943,821,15,4
07.04,946,825,15,3
07.05,951,828,15,5
07.06,953,830,15,2
07.07,958,838,15,5
07.08,963,841,15,5
07.09,968,844,15,5
07.10,973,846,15,5
07.11,981,851,15,8
07.12,986,857,15,5
07.13,995,857,15,9
07.14,999,870,15,4
07.15,1004,873,15,5
07.16,1006,883,15,2
07.17,1010,885,15,4
07.18,1018,895,15,8
07.19,1028,899,15,10
07.20,1039,900,16,11
07.21,1049,903,16,10
07.22,1073,907,16,24
07.23,1085,911,16,12
07.24,1104,912,16,19
07.25,1117,917,16,13
07.26,1131,920,16,14
07.27,1137,922,16,6
07.28,1145,927,16,8
07.29,1155,929,16,10
07.30,1160,935,17,5
07.31,1168,940,17,8
08.01,1171,947,17,3
08.02,1177,955,17,6
08.03,1179,959,17,2
08.04,1182,962,17,3
08.05,1197,974,17,15
08.06,1206,987,17,9
08.07,1213,994,17,7
08.08,1216,996,17,3
08.09,1225,1000,17,9
08.10,1250,1010,17,25
08.11,1264,1054,17,14
08.12,1278,1058,17,14
08.13,1283,1068,17,5
08.14,1306,1085,17,23
08.15,1321,1088,17,15
08.16,1336,1088,17,15
08.17,1341,1092,17,5
08.18,1351,1092,17,10
08.19,1361,1098,17,10
08.20,1370,1108,17,9
08.21,1385,1128,17,15
08.22,1394,1132,17,9
08.23,1411,1132,17,17
08.24,1421,1137,18,10
08.25,1429,1150,19,8
08.26,1436,1150,19,7
08.27,1447,1190,19,11
08.28,1455,1196,19,8
08.29,1462,1196,19,7
08.30,1469,1221,19,7
08.31,1487,1240,19,18
09.01,1510,1253,19,23
09.02,1548,1270,19,38
09.03,1568,1279,19,20
09.04,1596,1294,19,28
09.05,1621,1302,19,25
09.06,1650,1310,19,29
09.07,1684,1315,19,34
09.08,1729,1321,19,45
09.09,1773,1325,19,44
09.10,1830,1334,19,57
09.11,1917,1354,19,87
09.12,2075,1363,19,158
09.13,2227,1369,19,152
09.14,2392,1369,19,165
09.15,2562,1369,19,170
09.16,2758,1412,19,196
09.17,2937,1422,19,179
09.18,3119,1435,19,182
09.19,3306,1481,19,187
09.20,3502,1494,19,196
09.21,3695,1534,20,193
09.22,3913,1574,23,218
09.23,4140,1643,25,227
09.24,4399,1705,26,259
09.25,4664,1759,27,265
09.26,4960,1819,28,296
09.27,5254,1906,28,294
09.28,5552,2054,32,298
09.29,5866,2324,36,314
09.30,6192,3120,39,326
10.01,6640,3419,41,448
10.02,7093,3714,46,453
10.03,7564,3992,48,471
10.04,8118,4244,50,554
10.05,8696,4619,54,578
10.06,9245,4887,58,549
10.07,9753,5235,63,508
10.08,10225,5553,66,472
10.09,10752,5866,72,527
10.10,11271,6119,78,519
10.11,11794,6327,85,523
10.12,12272,6538,93,478
10.13,12841,6867,102,569
10.14,13521,7159,109,680
10.15,14440,7367,113,919
10.16,15327,7613,124,887
10.17,16285,7827,128,958
10.18,17477,8060,136,1192
10.19,18663,8338,143,1186
10.20,19857,8666,158,1194
10.21,21208,9003,172,1351
10.22,22803,9401,178,1595
10.23,24562,9751,183,1759
10.24,26503,10163,193,1941
10.25,28431,10767,201,1928
10.26,30303,11370,215,1872
10.27,32127,12632,238,1824
10.28,33858,14829,253,1731
10.29,35567,16904,273,1709
10.30,37263,19810,285,1696
10.31,38936,22691,307,1673
11.01,40727,25104,335,1791
11.02,42579,26800,342,1852
11.03,44522,28633,362,1943
11.04,46817,31170,381,2295
11.05,49218,33459,401,2401
11.06,51993,37019,423,2775
11.07,54852,39773,441,2859
11.08,57753,42572,475,2901
11.09,60680,45042,499,2927
11.10,60680,45042,499,0
11.11,63650,47390,521,2970
11.12,69681,52169,599,6031
11.13,73154,55511,636,3473
11.14,76658,58674,669,3504
11.15,79678,62061,703,3020
11.16,82835,65291,733,3157
11.17,85952,68929,778,3117
11.18,89395,71468,815,3443
11.19,93092,73877,853,3697
11.20,96860,77932,894,3768
11.21,100684,81783,927,3824
11.22,104732,85639,976,4048
11.23,108690,89170,1012,3958
11.24,111818,92215,1051,3128
11.25,114889,95581,1085,3071
11.26,118690,98781,1124,3801
11.27,123470,102270,1161,4780
11.28,127942,106328,1195,4472
11.29,132368,110049,1230,4426
11.30,135584,113986,1267,3216
12.01,139343,117560,1303,3759
12.02,143376,121621,1342,4033
12.03,147636,124568,1387,4260
12.04,152704,126904,1425,5068
12.05,158154,129210,1462,5450
12.06,162475,133511,1504,4321
12.07,164976,137499,1540,2501
12.08,169649,141392,1576,4673
12.09,174383,145287,1614,4734
12.10,178953,148332,1657,4570
12.11,183099,150461,1694,4146
12.12,187006,154241,1744,3907
12.13,189726,158183,1790,2720
12.14,191063,161681,1839,1337
12.15,194900,164786,1883,3837
12.16,198387,167281,1922,3487
12.17,201368,169282,1953,2981
12.18,204003,171526,2002,2635
12.19,206907,175842,2055,2904
12.20,208638,180441,2094,1731
12.21,209462,184668,2140,824
12.22,212526,188408,2182,3064
12.23,214871,191968,2233,2345
12.24,216843,194705,2276,1972
12.25,218724,196220,2313,1881
12.26,220508,200339,2352,1784
12.27,221605,203547,2377,1097
12.28,222143,206313,2418,538
12.29,224155,208951,2443,2012
12.30,225893,210445,2481,1738
12.31,227420,211727,2505,1527
01.01,228410,214992,2528,990
01.02,228752,217973,2572,342
01.03,229169,220442,2603,417
01.04,229763,222405,2628,594
01.05,232079,222787,2646,2316
01.06,233879,223276,2666,1800
01.07,235491,223695,2694,1612
01.08,236028,224189,2728,537
01.09,238086,224718,2750,2058
01.10,239229,225335,2773,1143
01.11,239780,226215,2796,551
01.12,241637,227208,2820,1857
01.13,243255,227611,2846,1618
01.14,244612,228359,2867,1357
01.15,245789,229196,2893,1177
01.16,247025,231385,2916,1236
01.17,247805,232993,2933,780
01.18,247915,234636,2958,110
01.19,249465,235130,2973,1550
01.20,249934,236922,2987,469
01.21,251071,238101,2998,1137
01.22,251974,238737,3022,903
01.23,252972,240629,3038,998
01.24,253518,242085,3055,546
01.25,253816,243396,3071,298
01.26,254822,244446,3096,1006
01.27,255564,245527,3108,742
01.28,256287,246459,3127,723
01.29,256956,247096,3148,669
01.30,257632,248537,3159,676
01.31,258111,249028,3178,479
02.01,258351,249709,3194,240
02.02,259209,250289,3208,858
02.03,259897,251077,3221,688
02.04,260480,251748,3240,583
02.05,261018,252246,3258,538
02.06,261620,252815,3269,602
02.07,262024,253614,3283,404
02.08,262228,254350,3298,204
02.09,263057,254916,3306,829
02.10,263601,255385,3311,544
02.11,264158,256024,3321,557
02.12,264665,256684,3336,507
02.13,265200,257441,3343,535
02.14,265557,258093,3352,357
02.15,265722,258732,3363,165
02.16,266462,259228,3377,740
02.17,266948,259727,3390,486
